frequency,raw
20.00,15.68
20.20,15.67
20.40,15.65
20.61,15.63
20.81,15.61
21.02,15.59
21.23,15.57
21.44,15.55
21.66,15.53
21.87,15.51
22.09,15.49
22.31,15.47
22.54,15.45
22.76,15.43
22.99,15.41
23.22,15.39
23.45,15.37
23.69,15.35
23.92,15.32
24.16,15.30
24.40,15.28
24.65,15.25
24.89,15.23
25.14,15.20
25.39,15.18
25.65,15.15
25.91,15.13
26.16,15.10
26.43,15.07
26.69,15.05
26.96,15.02
27.23,15.00
27.50,14.97
27.77,14.94
28.05,14.91
28.33,14.88
28.62,14.85
28.90,14.82
29.19,14.79
29.48,14.77
29.78,14.74
30.08,14.71
30.38,14.68
30.68,14.64
30.99,14.61
31.30,14.57
31.61,14.54
31.93,14.50
32.24,14.47
32.57,14.44
32.89,14.40
33.22,14.37
33.55,14.33
33.89,14.30
34.23,14.26
34.57,14.23
34.92,14.19
35.27,14.15
35.62,14.11
35.97,14.08
36.33,14.04
36.70,14.00
37.06,13.96
37.43,13.92
37.81,13.88
38.19,13.85
38.57,13.80
38.95,13.76
39.34,13.72
39.74,13.68
40.14,13.64
40.54,13.59
40.94,13.55
41.35,13.51
41.76,13.47
42.18,13.43
42.60,13.38
43.03,13.34
43.46,13.29
43.90,13.25
44.33,13.20
44.78,13.16
45.23,13.12
45.68,13.07
46.13,13.02
46.60,12.97
47.06,12.92
47.53,12.87
48.01,12.83
48.49,12.78
48.97,12.73
49.46,12.68
49.96,12.64
50.46,12.59
50.96,12.54
51.47,12.49
51.99,12.44
52.51,12.39
53.03,12.34
53.56,12.29
54.10,12.24
54.64,12.18
55.18,12.13
55.74,12.08
56.29,12.03
56.86,11.97
57.42,11.92
58.00,11.86
58.58,11.81
59.16,11.76
59.76,11.70
60.35,11.65
60.96,11.60
61.57,11.54
62.18,11.48
62.80,11.43
63.43,11.37
64.07,11.32
64.71,11.26
65.35,11.20
66.01,11.15
66.67,11.09
67.33,11.03
68.01,10.98
68.69,10.92
69.37,10.86
70.07,10.80
70.77,10.75
71.48,10.69
72.19,10.63
72.91,10.57
73.64,10.51
74.38,10.45
75.12,10.39
75.87,10.33
76.63,10.27
77.40,10.21
78.17,10.15
78.95,10.09
79.74,10.03
80.54,9.97
81.35,9.91
82.16,9.85
82.98,9.79
83.81,9.72
84.65,9.66
85.50,9.59
86.35,9.53
87.22,9.47
88.09,9.41
88.97,9.35
89.86,9.29
90.76,9.22
91.66,9.16
92.58,9.10
93.51,9.04
94.44,8.97
95.39,8.91
96.34,8.84
97.30,8.78
98.28,8.71
99.26,8.65
100.25,8.59
101.25,8.52
102.27,8.46
103.29,8.39
104.32,8.33
105.37,8.26
106.42,8.20
107.48,8.13
108.56,8.07
109.64,8.00
110.74,7.94
111.85,7.87
112.97,7.81
114.10,7.74
115.24,7.67
116.39,7.61
117.55,7.54
118.73,7.48
119.92,7.41
