frequency,raw
20.00,9.46
20.20,9.47
20.40,9.48
20.61,9.49
20.81,9.50
21.02,9.51
21.23,9.52
21.44,9.53
21.66,9.55
21.87,9.56
22.09,9.56
22.31,9.57
22.54,9.58
22.76,9.58
22.99,9.58
23.22,9.59
23.45,9.59
23.69,9.60
23.92,9.60
24.16,9.61
24.40,9.62
24.65,9.62
24.89,9.63
25.14,9.63
25.39,9.63
25.65,9.63
25.91,9.63
26.16,9.64
26.43,9.64
26.69,9.63
26.96,9.63
27.23,9.63
27.50,9.63
27.77,9.63
28.05,9.63
28.33,9.64
28.62,9.64
28.90,9.64
29.19,9.64
29.48,9.64
29.78,9.63
30.08,9.63
30.38,9.63
30.68,9.63
30.99,9.62
31.30,9.62
31.61,9.61
31.93,9.60
32.24,9.60
32.57,9.59
32.89,9.58
33.22,9.58
33.55,9.57
33.89,9.57
34.23,9.56
34.57,9.55
34.92,9.54
35.27,9.54
35.62,9.53
35.97,9.52
36.33,9.51
36.70,9.50
37.06,9.49
37.43,9.48
37.81,9.47
38.19,9.46
38.57,9.45
38.95,9.44
39.34,9.42
39.74,9.41
40.14,9.40
40.54,9.39
40.94,9.38
41.35,9.36
41.76,9.34
42.18,9.33
42.60,9.31
43.03,9.30
43.46,9.28
43.90,9.27
44.33,9.25
44.78,9.24
45.23,9.22
45.68,9.21
46.13,9.19
46.60,9.17
47.06,9.15
47.53,9.13
48.01,9.11
48.49,9.09
48.97,9.07
49.46,9.04
49.96,9.03
50.46,9.02
50.96,9.00
51.47,8.97
51.99,8.93
52.51,8.89
53.03,8.86
53.56,8.86
54.10,8.85
54.64,8.82
55.18,8.79
55.74,8.77
56.29,8.75
56.86,8.73
57.42,8.70
58.00,8.68
58.58,8.66
59.16,8.63
59.76,8.61
60.35,8.58
60.96,8.55
61.57,8.52
62.18,8.49
62.80,8.46
63.43,8.43
64.07,8.41
64.71,8.37
65.35,8.34
66.01,8.31
66.67,8.29
67.33,8.25
68.01,8.22
68.69,8.19
69.37,8.16
70.07,8.13
70.77,8.09
71.48,8.06
72.19,8.02
72.91,7.99
