frequency,raw
20.00,9.09
20.20,9.10
20.40,9.11
20.61,9.12
20.81,9.12
21.02,9.13
21.23,9.13
21.44,9.14
21.66,9.15
21.87,9.15
22.09,9.16
22.31,9.17
22.54,9.18
22.76,9.19
22.99,9.19
23.22,9.19
23.45,9.19
23.69,9.19
23.92,9.19
24.16,9.19
24.40,9.19
24.65,9.20
24.89,9.20
25.14,9.20
25.39,9.20
25.65,9.20
25.91,9.20
26.16,9.20
26.43,9.19
26.69,9.19
26.96,9.19
27.23,9.19
27.50,9.19
27.77,9.19
28.05,9.18
28.33,9.18
28.62,9.18
28.90,9.17
29.19,9.17
29.48,9.17
29.78,9.17
30.08,9.16
30.38,9.15
30.68,9.14
30.99,9.13
31.30,9.12
31.61,9.12
31.93,9.11
32.24,9.11
32.57,9.10
32.89,9.09
33.22,9.08
33.55,9.07
33.89,9.06
34.23,9.05
34.57,9.04
34.92,9.03
35.27,9.02
35.62,9.01
35.97,8.99
36.33,8.98
36.70,8.97
37.06,8.96
37.43,8.95
37.81,8.93
38.19,8.92
38.57,8.90
38.95,8.89
39.34,8.87
39.74,8.85
40.14,8.84
40.54,8.82
40.94,8.81
41.35,8.79
41.76,8.78
42.18,8.76
42.60,8.74
43.03,8.72
43.46,8.70
43.90,8.68
44.33,8.66
44.78,8.64
45.23,8.62
45.68,8.60
46.13,8.57
46.60,8.55
47.06,8.53
47.53,8.51
48.01,8.48
48.49,8.46
48.97,8.44
49.46,8.42
49.96,8.39
50.46,8.37
50.96,8.34
51.47,8.32
51.99,8.29
52.51,8.27
53.03,8.24
53.56,8.22
54.10,8.19
54.64,8.17
55.18,8.14
55.74,8.11
56.29,8.08
56.86,8.05
57.42,8.03
58.00,8.00
58.58,7.97
59.16,7.93
59.76,7.90
60.35,7.87
60.96,7.84
61.57,7.81
62.18,7.78
62.80,7.75
63.43,7.71
64.07,7.68
64.71,7.65
65.35,7.62
66.01,7.58
66.67,7.55
67.33,7.51
68.01,7.48
68.69,7.44
69.37,7.40
70.07,7.37
70.77,7.33
71.48,7.30
72.19,7.26
72.91,7.22
73.64,7.19
74.38,7.15
75.12,7.11
75.87,7.08
76.63,7.04
77.40,6.99
78.17,6.95
78.95,6.91
79.74,6.87
80.54,6.83
81.35,6.79
82.16,6.75
82.98,6.71
83.81,6.67
84.65,6.63
85.50,6.59
86.35,6.55
87.22,6.50
88.09,6.46
88.97,6.42
89.86,6.37
90.76,6.33
91.66,6.28
92.58,6.24
93.51,6.20
94.44,6.15
95.39,6.11
96.34,6.06
97.30,6.02
98.28,5.97
99.26,5.92
100.25,5.88
101.25,5.83
102.27,5.79
103.29,5.74
104.32,5.69
105.37,5.64
106.42,5.60
107.48,5.55
108.56,5.50
109.64,5.45
110.74,5.41
111.85,5.36
112.97,5.31
114.10,5.26
115.24,5.21
116.39,5.16
117.55,5.11
118.73,5.06
119.92,5.01
121.12,4.96
122.33,4.91
123.55,4.86
124.79,4.81
126.03,4.76
127.29,4.71
128.57,4.66
129.85,4.61
131.15,4.56
132.46,4.51
133.79,4.46
135.12,4.40
136.48,4.35
137.84,4.30
139.22,4.25
140.61,4.20
142.02,4.15
143.44,4.10
144.87,4.05
146.32,4.00
147.78,3.94
149.26,3.90
150.75,3.85
152.26,3.81
153.78,3.76
155.32,3.72
156.88,3.67
158.44,3.62
160.03,3.57
161.63,3.52
163.24,3.48
164.88,3.43
166.53,3.38
168.19,3.34
169.87,3.29
171.57,3.24
173.29,3.19
175.02,3.14
176.77,3.09
178.54,3.05
180.32,3.00
182.13,2.95
183.95,2.91
185.79,2.86
187.65,2.81
189.52,2.77
191.42,2.72
193.33,2.67
195.27,2.62
197.22,2.57
199.19,2.53
201.18,2.48
203.19,2.43
205.23,2.38
207.28,2.34
209.35,2.29
211.44,2.24
213.56,2.20
215.69,2.15
217.85,2.11
220.03,2.06
222.23,2.02
224.45,1.98
226.70,1.93
228.96,1.89
231.25,1.84
233.57,1.80
235.90,1.75
238.26,1.70
240.64,1.66
243.05,1.61
245.48,1.57
247.93,1.53
250.41,1.48
252.92,1.44
255.45,1.39
258.00,1.35
260.58,1.31
263.19,1.26
265.82,1.22
268.48,1.18
271.16,1.13
273.87,1.09
276.61,1.05
279.38,1.01
282.17,0.97
284.99,0.93
287.84,0.89
290.72,0.85
293.63,0.81
296.57,0.77
299.53,0.73
302.53,0.69
305.55,0.65
308.61,0.61
311.69,0.57
314.81,0.53
317.96,0.49
321.14,0.46
324.35,0.42
327.59,0.38
330.87,0.35
334.18,0.31
337.52,0.28
340.90,0.24
344.30,0.21
347.75,0.18
351.23,0.15
354.74,0.12
358.28,0.09
361.87,0.06
365.49,0.02
369.14,-0.01
372.83,-0.04
376.56,-0.07
380.33,-0.10
384.13,-0.13
387.97,-0.16
391.85,-0.19
395.77,-0.22
399.73,-0.25
403.72,-0.28
407.76,-0.31
411.84,-0.33
415.96,-0.36
420.12,-0.39
424.32,-0.41
428.56,-0.44
432.85,-0.47
437.18,-0.50
441.55,-0.52
445.96,-0.55
450.42,-0.57
454.93,-0.60
459.48,-0.62
464.07,-0.64
468.71,-0.67
473.40,-0.69
478.13,-0.71
482.91,-0.73
487.74,-0.75
492.62,-0.77
497.55,-0.79
502.52,-0.81
507.55,-0.84
512.62,-0.85
517.75,-0.87
522.93,-0.89
528.16,-0.90
533.44,-0.92
538.77,-0.94
544.16,-0.95
549.60,-0.97
555.10,-0.98
560.65,-1.00
566.25,-1.01
571.92,-1.02
577.64,-1.04
583.41,-1.05
589.25,-1.06
595.14,-1.07
601.09,-1.08
607.10,-1.09
613.17,-1.10
619.30,-1.11
625.50,-1.11
631.75,-1.12
638.07,-1.13
644.45,-1.13
650.89,-1.13
657.40,-1.13
663.98,-1.14
670.62,-1.14
677.32,-1.15
684.10,-1.15
690.94,-1.14
697.85,-1.14
704.83,-1.14
711.87,-1.14
718.99,-1.13
726.18,-1.13
733.44,-1.12
740.78,-1.11
748.19,-1.10
755.67,-1.09
763.23,-1.08
770.86,-1.06
778.57,-1.05
786.35,-1.03
794.22,-1.01
802.16,-0.99
810.18,-0.97
818.28,-0.95
826.46,-0.93
834.73,-0.90
843.08,-0.87
851.51,-0.84
860.02,-0.81
868.62,-0.77
877.31,-0.73
886.08,-0.69
894.94,-0.65
903.89,-0.60
912.93,-0.56
922.06,-0.51
931.28,-0.46
940.59,-0.40
950.00,-0.34
959.50,-0.28
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.30
1049.39,0.38
1059.88,0.47
1070.48,0.56
1081.19,0.65
1092.00,0.74
1102.92,0.84
1113.95,0.93
1125.09,1.03
1136.34,1.13
1147.70,1.22
1159.18,1.32
1170.77,1.43
1182.48,1.53
1194.30,1.63
1206.25,1.73
1218.31,1.83
1230.49,1.93
1242.80,2.03
1255.22,2.14
1267.78,2.24
1280.45,2.34
1293.26,2.44
1306.19,2.54
1319.25,2.64
1332.45,2.75
1345.77,2.85
1359.23,2.95
1372.82,3.05
1386.55,3.16
1400.41,3.26
1414.42,3.37
1428.56,3.47
1442.85,3.58
1457.28,3.68
1471.85,3.79
1486.57,3.90
1501.43,4.01
1516.45,4.12
1531.61,4.24
1546.93,4.35
1562.40,4.46
1578.02,4.57
1593.80,4.69
1609.74,4.80
1625.84,4.91
1642.10,5.02
1658.52,5.13
1675.10,5.24
1691.85,5.35
1708.77,5.46
1725.86,5.56
1743.12,5.66
1760.55,5.76
1778.15,5.85
1795.94,5.94
1813.90,6.02
1832.03,6.10
1850.36,6.18
1868.86,6.25
1887.55,6.30
1906.42,6.35
1925.49,6.39
1944.74,6.40
1964.19,6.40
1983.83,6.39
2003.67,6.37
2023.71,6.33
2043.94,6.28
2064.38,6.23
2085.03,6.18
2105.88,6.12
2126.94,6.06
2148.20,5.99
2169.69,5.92
2191.38,5.85
2213.30,5.77
2235.43,5.70
2257.78,5.63
2280.36,5.55
2303.17,5.47
2326.20,5.38
2349.46,5.28
2372.95,5.16
2396.68,5.03
2420.65,4.90
2444.86,4.76
2469.31,4.62
2494.00,4.48
2518.94,4.33
2544.13,4.18
2569.57,4.03
2595.27,3.87
2621.22,3.70
2647.43,3.51
2673.90,3.32
2700.64,3.11
2727.65,2.90
2754.93,2.70
2782.48,2.53
2810.30,2.37
2838.40,2.24
2866.79,2.14
2895.46,2.06
2924.41,2.02
2953.65,1.99
2983.19,1.99
3013.02,2.00
3043.15,2.02
3073.58,2.04
3104.32,2.06
3135.36,2.08
3166.72,2.10
3198.38,2.11
3230.37,2.12
3262.67,2.14
3295.30,2.17
3328.25,2.21
3361.53,2.25
3395.15,2.29
3429.10,2.35
3463.39,2.40
3498.03,2.46
3533.01,2.51
3568.34,2.57
3604.02,2.64
3640.06,2.71
3676.46,2.79
3713.22,2.88
3750.36,2.97
3787.86,3.07
3825.74,3.16
3864.00,3.24
3902.64,3.31
3941.66,3.37
3981.08,3.43
4020.89,3.49
4061.10,3.55
4101.71,3.62
4142.73,3.69
4184.15,3.77
4226.00,3.83
4268.26,3.88
4310.94,3.92
4354.05,3.93
4397.59,3.91
4441.56,3.89
4485.98,3.83
4530.84,3.77
4576.15,3.69
4621.91,3.60
4668.13,3.49
4714.81,3.38
4761.96,3.25
4809.58,3.11
4857.67,2.97
4906.25,2.81
4955.31,2.66
5004.87,2.51
5054.91,2.41
5105.46,2.37
5156.52,2.41
5208.08,2.55
5260.16,2.74
5312.77,2.95
5365.89,3.16
5419.55,3.36
5473.75,3.53
5528.49,3.68
5583.77,3.79
5639.61,3.89
5696.00,3.98
5752.96,4.07
5810.49,4.16
5868.60,4.24
5927.28,4.30
5986.56,4.34
6046.42,4.35
6106.89,4.34
6167.96,4.30
6229.64,4.25
6291.93,4.18
6354.85,4.12
6418.40,4.07
6482.58,4.03
6547.41,4.00
6612.88,3.99
6679.01,3.99
6745.80,4.00
6813.26,4.01
6881.39,4.05
6950.21,4.10
7019.71,4.18
7089.91,4.27
7160.81,4.38
7232.41,4.49
7304.74,4.61
7377.79,4.71
7451.56,4.76
7526.08,4.76
7601.34,4.68
7677.35,4.45
7754.13,4.17
7831.67,3.69
7909.98,3.18
7989.08,2.64
8068.98,2.55
8149.67,2.68
8231.16,3.06
8313.47,3.30
8396.61,3.45
8480.57,3.45
8565.38,3.35
8651.03,3.22
8737.54,3.06
8824.92,2.91
8913.17,2.80
9002.30,2.71
9092.32,2.70
9183.25,2.72
9275.08,2.79
9367.83,2.90
9461.51,3.06
9556.12,3.25
9651.68,3.48
9748.20,3.73
9845.68,3.99
9944.14,4.22
10043.58,4.35
10144.02,4.38
10245.46,4.12
10347.91,3.69
10451.39,3.08
10555.91,2.28
10661.46,1.43
10768.08,0.54
10875.76,-0.32
10984.52,-1.13
11094.36,-1.87
11205.31,-2.51
11317.36,-3.01
11430.53,-3.45
11544.84,-3.79
11660.29,-4.08
11776.89,-4.36
11894.66,-4.56
12013.60,-4.75
12133.74,-4.86
12255.08,-4.85
12377.63,-4.78
12501.41,-4.57
12626.42,-4.23
12752.68,-3.83
12880.21,-3.33
13009.01,-2.77
13139.10,-2.22
13270.49,-1.61
13403.20,-0.98
13537.23,-0.36
13672.60,0.17
13809.33,0.60
13947.42,0.81
14086.90,0.83
14227.77,0.74
14370.04,0.60
14513.74,0.42
14658.88,0.32
14805.47,0.27
14953.52,0.33
15103.06,0.57
15254.09,0.89
15406.63,1.49
15560.70,2.21
15716.30,3.10
15873.47,4.10
16032.20,5.07
16192.52,5.77
16354.45,5.93
16517.99,5.75
16683.17,5.13
16850.01,4.48
17018.51,3.82
17188.69,3.21
17360.58,2.58
17534.18,1.89
17709.53,1.09
17886.62,0.06
18065.49,-1.15
18246.14,-2.57
18428.60,-4.16
18612.89,-5.79
18799.02,-7.44
18987.01,-9.08
19176.88,-10.74
19368.65,-12.38
19562.33,-14.08
19757.96,-15.98
19955.54,-17.87
