frequency,raw
20.00,7.96
20.20,7.96
20.40,7.95
20.61,7.95
20.81,7.94
21.02,7.94
21.23,7.93
21.44,7.92
21.66,7.92
21.87,7.91
22.09,7.91
22.31,7.90
22.54,7.90
22.76,7.89
22.99,7.88
23.22,7.87
23.45,7.86
23.69,7.85
23.92,7.84
24.16,7.83
24.40,7.82
24.65,7.80
24.89,7.79
25.14,7.78
25.39,7.76
25.65,7.75
25.91,7.74
26.16,7.72
26.43,7.71
26.69,7.70
26.96,7.68
27.23,7.67
27.50,7.65
27.77,7.64
28.05,7.62
28.33,7.60
28.62,7.59
28.90,7.57
29.19,7.55
29.48,7.53
29.78,7.51
30.08,7.49
30.38,7.47
30.68,7.45
30.99,7.43
31.30,7.40
31.61,7.38
31.93,7.36
32.24,7.34
32.57,7.32
32.89,7.29
33.22,7.27
33.55,7.25
33.89,7.23
34.23,7.20
34.57,7.18
34.92,7.16
35.27,7.14
35.62,7.11
35.97,7.09
36.33,7.06
36.70,7.03
37.06,6.99
37.43,6.96
37.81,6.93
38.19,6.90
38.57,6.87
38.95,6.84
39.34,6.81
39.74,6.78
40.14,6.75
40.54,6.72
40.94,6.69
41.35,6.66
41.76,6.63
42.18,6.60
42.60,6.56
43.03,6.53
43.46,6.49
43.90,6.45
44.33,6.42
44.78,6.39
45.23,6.35
45.68,6.32
46.13,6.29
46.60,6.25
47.06,6.21
47.53,6.18
48.01,6.14
48.49,6.10
48.97,6.06
49.46,6.02
49.96,5.99
50.46,5.95
50.96,5.91
51.47,5.87
51.99,5.82
52.51,5.78
53.03,5.74
53.56,5.70
54.10,5.66
54.64,5.62
55.18,5.58
55.74,5.54
56.29,5.49
56.86,5.44
57.42,5.40
58.00,5.35
58.58,5.31
59.16,5.27
59.76,5.23
60.35,5.18
60.96,5.14
61.57,5.09
62.18,5.05
62.80,5.00
63.43,4.95
64.07,4.90
64.71,4.85
65.35,4.80
66.01,4.75
66.67,4.71
67.33,4.66
68.01,4.61
68.69,4.56
69.37,4.51
70.07,4.46
70.77,4.41
71.48,4.36
72.19,4.31
72.91,4.26
73.64,4.21
74.38,4.16
75.12,4.11
75.87,4.05
76.63,4.00
77.40,3.95
78.17,3.90
