frequency,raw
20.00,9.05
20.20,9.05
20.40,9.05
20.61,9.06
20.81,9.05
21.02,9.05
21.23,9.05
21.44,9.04
21.66,9.04
21.87,9.04
22.09,9.03
22.31,9.03
22.54,9.03
22.76,9.03
22.99,9.02
23.22,9.02
23.45,9.02
23.69,9.02
23.92,9.02
24.16,9.01
24.40,9.01
24.65,9.00
24.89,8.99
25.14,8.99
25.39,8.98
25.65,8.98
25.91,8.97
26.16,8.97
26.43,8.96
26.69,8.96
26.96,8.95
27.23,8.95
27.50,8.94
27.77,8.92
28.05,8.91
28.33,8.90
28.62,8.88
28.90,8.87
29.19,8.86
29.48,8.85
29.78,8.84
30.08,8.83
30.38,8.82
30.68,8.81
30.99,8.80
31.30,8.78
31.61,8.77
31.93,8.76
32.24,8.74
32.57,8.72
32.89,8.71
33.22,8.69
33.55,8.68
33.89,8.66
34.23,8.65
34.57,8.63
34.92,8.61
35.27,8.60
35.62,8.58
35.97,8.56
36.33,8.54
36.70,8.52
37.06,8.50
37.43,8.48
37.81,8.46
38.19,8.44
38.57,8.42
38.95,8.40
39.34,8.38
39.74,8.36
40.14,8.34
40.54,8.32
40.94,8.30
41.35,8.27
41.76,8.25
42.18,8.23
42.60,8.21
43.03,8.18
43.46,8.16
43.90,8.13
44.33,8.11
44.78,8.08
45.23,8.06
45.68,8.03
46.13,8.00
46.60,7.97
47.06,7.94
47.53,7.92
48.01,7.89
48.49,7.86
48.97,7.84
49.46,7.81
49.96,7.78
50.46,7.75
50.96,7.72
51.47,7.69
51.99,7.66
52.51,7.63
53.03,7.60
53.56,7.57
54.10,7.54
54.64,7.50
55.18,7.47
55.74,7.43
56.29,7.40
56.86,7.36
57.42,7.33
58.00,7.30
58.58,7.26
59.16,7.23
59.76,7.19
60.35,7.16
60.96,7.12
61.57,7.09
62.18,7.05
62.80,7.01
63.43,6.98
64.07,6.94
64.71,6.90
65.35,6.86
66.01,6.83
66.67,6.79
67.33,6.75
68.01,6.71
68.69,6.67
69.37,6.63
70.07,6.59
70.77,6.55
71.48,6.51
72.19,6.47
72.91,6.43
73.64,6.39
74.38,6.34
75.12,6.30
75.87,6.26
76.63,6.22
77.40,6.17
78.17,6.13
78.95,6.09
79.74,6.04
80.54,6.00
81.35,5.96
82.16,5.92
82.98,5.87
83.81,5.82
84.65,5.78
85.50,5.73
86.35,5.69
87.22,5.64
88.09,5.60
88.97,5.55
89.86,5.50
90.76,5.46
91.66,5.41
92.58,5.36
93.51,5.31
94.44,5.27
95.39,5.22
96.34,5.17
97.30,5.12
98.28,5.08
99.26,5.03
100.25,4.98
101.25,4.93
102.27,4.88
103.29,4.83
104.32,4.78
105.37,4.73
106.42,4.68
107.48,4.63
108.56,4.58
109.64,4.53
110.74,4.49
111.85,4.43
112.97,4.39
114.10,4.34
115.24,4.28
116.39,4.23
117.55,4.19
118.73,4.13
119.92,4.05
121.12,4.00
122.33,3.98
123.55,3.93
124.79,3.87
126.03,3.82
127.29,3.77
128.57,3.72
129.85,3.67
131.15,3.62
132.46,3.57
133.79,3.52
135.12,3.47
136.48,3.41
137.84,3.36
139.22,3.31
140.61,3.26
142.02,3.21
143.44,3.16
144.87,3.10
146.32,3.05
147.78,3.00
149.26,2.95
150.75,2.90
152.26,2.84
153.78,2.79
155.32,2.74
156.88,2.69
158.44,2.63
160.03,2.58
161.63,2.53
163.24,2.48
164.88,2.42
166.53,2.37
168.19,2.32
169.87,2.27
171.57,2.23
173.29,2.18
175.02,2.14
176.77,2.10
178.54,2.06
180.32,2.02
182.13,1.97
183.95,1.93
185.79,1.89
187.65,1.84
189.52,1.80
191.42,1.76
193.33,1.71
195.27,1.67
197.22,1.62
199.19,1.58
201.18,1.53
203.19,1.48
205.23,1.43
207.28,1.39
209.35,1.34
211.44,1.29
213.56,1.24
215.69,1.20
217.85,1.15
220.03,1.10
222.23,1.06
224.45,1.01
226.70,0.97
228.96,0.92
231.25,0.88
233.57,0.83
235.90,0.79
238.26,0.75
240.64,0.70
243.05,0.66
245.48,0.62
247.93,0.58
250.41,0.54
252.92,0.49
255.45,0.45
258.00,0.41
260.58,0.38
263.19,0.34
265.82,0.30
268.48,0.26
271.16,0.22
273.87,0.18
276.61,0.15
279.38,0.11
282.17,0.07
284.99,0.04
287.84,0.00
290.72,-0.03
293.63,-0.07
296.57,-0.10
299.53,-0.14
302.53,-0.17
305.55,-0.20
308.61,-0.23
311.69,-0.26
314.81,-0.29
317.96,-0.32
321.14,-0.35
324.35,-0.38
327.59,-0.41
330.87,-0.44
334.18,-0.47
337.52,-0.49
340.90,-0.52
344.30,-0.54
347.75,-0.57
351.23,-0.59
354.74,-0.62
358.28,-0.64
361.87,-0.66
365.49,-0.68
369.14,-0.70
372.83,-0.72
376.56,-0.74
380.33,-0.76
384.13,-0.77
387.97,-0.79
391.85,-0.80
395.77,-0.81
399.73,-0.83
403.72,-0.84
407.76,-0.85
411.84,-0.85
415.96,-0.86
420.12,-0.87
424.32,-0.88
428.56,-0.89
432.85,-0.90
437.18,-0.91
441.55,-0.92
445.96,-0.92
450.42,-0.93
454.93,-0.94
459.48,-0.95
464.07,-0.95
468.71,-0.96
473.40,-0.97
478.13,-0.97
482.91,-0.98
487.74,-0.98
492.62,-0.98
497.55,-0.99
502.52,-0.99
507.55,-0.99
512.62,-0.99
517.75,-0.99
522.93,-1.00
528.16,-1.00
533.44,-1.00
538.77,-1.00
544.16,-1.00
549.60,-1.00
555.10,-1.00
560.65,-1.00
566.25,-1.00
571.92,-1.00
577.64,-1.00
583.41,-1.00
589.25,-1.00
595.14,-1.00
601.09,-1.00
607.10,-1.00
613.17,-1.00
619.30,-1.00
625.50,-1.00
631.75,-1.00
638.07,-1.00
644.45,-1.00
650.89,-1.00
657.40,-1.00
663.98,-1.01
670.62,-1.00
677.32,-1.00
684.10,-1.00
690.94,-1.00
697.85,-1.00
704.83,-1.00
711.87,-1.00
718.99,-1.00
726.18,-1.00
733.44,-1.00
740.78,-0.99
748.19,-0.99
755.67,-0.98
763.23,-0.98
770.86,-0.97
778.57,-0.96
786.35,-0.96
794.22,-0.95
802.16,-0.93
810.18,-0.92
818.28,-0.91
826.46,-0.89
834.73,-0.87
843.08,-0.85
851.51,-0.82
860.02,-0.80
868.62,-0.77
877.31,-0.74
886.08,-0.70
894.94,-0.66
903.89,-0.62
912.93,-0.58
922.06,-0.53
931.28,-0.47
940.59,-0.42
950.00,-0.36
959.50,-0.30
969.09,-0.23
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.23
1039.00,0.32
1049.39,0.40
1059.88,0.49
1070.48,0.58
1081.19,0.67
1092.00,0.77
1102.92,0.86
1113.95,0.95
1125.09,1.04
1136.34,1.14
1147.70,1.23
1159.18,1.32
1170.77,1.41
1182.48,1.50
1194.30,1.58
1206.25,1.67
1218.31,1.75
1230.49,1.83
1242.80,1.90
1255.22,1.98
1267.78,2.05
1280.45,2.12
1293.26,2.18
1306.19,2.25
1319.25,2.32
1332.45,2.38
1345.77,2.44
1359.23,2.49
1372.82,2.55
1386.55,2.60
1400.41,2.65
1414.42,2.70
1428.56,2.75
1442.85,2.80
1457.28,2.85
1471.85,2.89
1486.57,2.94
1501.43,2.98
1516.45,3.03
1531.61,3.07
1546.93,3.12
1562.40,3.16
1578.02,3.20
1593.80,3.25
1609.74,3.29
1625.84,3.34
1642.10,3.39
1658.52,3.44
1675.10,3.49
1691.85,3.54
1708.77,3.59
1725.86,3.64
1743.12,3.69
1760.55,3.74
1778.15,3.79
1795.94,3.85
1813.90,3.90
1832.03,3.95
1850.36,4.00
1868.86,4.05
1887.55,4.10
1906.42,4.15
1925.49,4.19
1944.74,4.23
1964.19,4.27
1983.83,4.30
2003.67,4.33
2023.71,4.35
2043.94,4.37
2064.38,4.38
2085.03,4.39
2105.88,4.39
2126.94,4.38
2148.20,4.36
2169.69,4.34
2191.38,4.31
2213.30,4.27
2235.43,4.23
2257.78,4.18
2280.36,4.13
2303.17,4.07
2326.20,4.00
2349.46,3.94
2372.95,3.87
2396.68,3.80
2420.65,3.73
2444.86,3.66
2469.31,3.59
2494.00,3.53
2518.94,3.46
2544.13,3.40
2569.57,3.34
2595.27,3.29
2621.22,3.24
2647.43,3.19
2673.90,3.16
2700.64,3.12
2727.65,3.10
2754.93,3.08
2782.48,3.08
2810.30,3.08
2838.40,3.10
2866.79,3.13
2895.46,3.16
2924.41,3.21
2953.65,3.28
2983.19,3.36
3013.02,3.45
3043.15,3.55
3073.58,3.66
3104.32,3.78
3135.36,3.91
3166.72,4.03
3198.38,4.15
3230.37,4.26
3262.67,4.35
3295.30,4.43
3328.25,4.48
3361.53,4.51
3395.15,4.52
3429.10,4.50
3463.39,4.46
3498.03,4.40
3533.01,4.32
3568.34,4.23
3604.02,4.13
3640.06,4.03
3676.46,3.93
3713.22,3.85
3750.36,3.77
3787.86,3.72
3825.74,3.68
3864.00,3.67
3902.64,3.69
3941.66,3.71
3981.08,3.75
4020.89,3.82
4061.10,3.90
4101.71,3.99
4142.73,4.10
4184.15,4.20
4226.00,4.32
4268.26,4.44
4310.94,4.56
4354.05,4.68
4397.59,4.79
4441.56,4.89
4485.98,4.97
4530.84,5.04
4576.15,5.09
4621.91,5.13
4668.13,5.14
4714.81,5.13
4761.96,5.12
4809.58,5.09
4857.67,5.04
4906.25,4.98
4955.31,4.92
5004.87,4.86
5054.91,4.78
5105.46,4.71
5156.52,4.63
5208.08,4.55
5260.16,4.47
5312.77,4.39
5365.89,4.32
5419.55,4.25
5473.75,4.19
5528.49,4.14
5583.77,4.09
5639.61,4.06
5696.00,4.04
5752.96,4.04
5810.49,4.04
5868.60,4.07
5927.28,4.11
5986.56,4.16
6046.42,4.23
6106.89,4.32
6167.96,4.43
6229.64,4.55
6291.93,4.69
6354.85,4.84
6418.40,5.00
6482.58,5.17
6547.41,5.34
6612.88,5.51
6679.01,5.67
6745.80,5.83
6813.26,5.97
6881.39,6.09
6950.21,6.17
7019.71,6.24
7089.91,6.27
7160.81,6.27
7232.41,6.25
7304.74,6.22
7377.79,6.15
7451.56,6.07
7526.08,5.97
7601.34,5.87
7677.35,5.76
7754.13,5.66
7831.67,5.56
7909.98,5.46
7989.08,5.36
8068.98,5.25
8149.67,5.14
8231.16,5.01
8313.47,4.85
8396.61,4.68
8480.57,4.46
8565.38,4.19
8651.03,3.88
8737.54,3.52
8824.92,3.11
8913.17,2.65
9002.30,2.18
9092.32,1.69
9183.25,1.21
9275.08,0.75
9367.83,0.31
9461.51,-0.08
9556.12,-0.44
9651.68,-0.75
9748.20,-1.01
9845.68,-1.22
9944.14,-1.39
10043.58,-1.53
10144.02,-1.63
10245.46,-1.70
10347.91,-1.76
10451.39,-1.80
10555.91,-1.81
10661.46,-1.82
10768.08,-1.80
10875.76,-1.76
10984.52,-1.69
11094.36,-1.59
11205.31,-1.46
11317.36,-1.31
11430.53,-1.17
11544.84,-1.08
11660.29,-1.05
11776.89,-1.09
11894.66,-1.32
12013.60,-1.59
12133.74,-1.94
12255.08,-2.31
12377.63,-2.66
12501.41,-2.96
12626.42,-3.19
12752.68,-3.27
12880.21,-3.13
13009.01,-2.88
13139.10,-2.62
13270.49,-2.18
13403.20,-1.68
13537.23,-1.10
13672.60,-0.50
13809.33,0.10
13947.42,0.64
14086.90,1.06
14227.77,1.41
14370.04,1.68
14513.74,1.85
14658.88,1.94
14805.47,2.01
