frequency,raw
20.00,9.59
20.20,9.59
20.40,9.58
20.61,9.58
20.81,9.58
21.02,9.58
21.23,9.58
21.44,9.57
21.66,9.57
21.87,9.57
22.09,9.56
22.31,9.56
22.54,9.55
22.76,9.55
22.99,9.54
23.22,9.54
23.45,9.54
23.69,9.54
23.92,9.54
24.16,9.53
24.40,9.53
24.65,9.52
24.89,9.51
25.14,9.49
25.39,9.48
25.65,9.47
25.91,9.45
26.16,9.44
26.43,9.44
26.69,9.43
26.96,9.42
27.23,9.41
27.50,9.40
27.77,9.39
28.05,9.38
28.33,9.36
28.62,9.35
28.90,9.34
29.19,9.33
29.48,9.32
29.78,9.31
30.08,9.29
30.38,9.28
30.68,9.26
30.99,9.25
31.30,9.24
31.61,9.22
31.93,9.20
32.24,9.18
32.57,9.16
32.89,9.14
33.22,9.12
33.55,9.10
33.89,9.10
34.23,9.09
34.57,9.07
34.92,9.06
35.27,9.04
35.62,9.01
35.97,8.99
36.33,8.97
36.70,8.94
37.06,8.92
37.43,8.89
37.81,8.87
38.19,8.85
38.57,8.83
38.95,8.81
39.34,8.78
39.74,8.75
40.14,8.73
40.54,8.70
40.94,8.68
41.35,8.66
41.76,8.63
42.18,8.61
42.60,8.58
43.03,8.56
43.46,8.53
43.90,8.50
44.33,8.47
44.78,8.44
45.23,8.42
45.68,8.39
46.13,8.35
46.60,8.31
47.06,8.28
47.53,8.26
48.01,8.24
48.49,8.21
48.97,8.18
49.46,8.15
49.96,8.11
50.46,8.08
50.96,8.04
51.47,8.01
51.99,7.99
52.51,7.97
53.03,7.94
53.56,7.90
54.10,7.86
54.64,7.82
55.18,7.78
55.74,7.75
56.29,7.71
56.86,7.68
57.42,7.64
58.00,7.61
58.58,7.57
59.16,7.54
59.76,7.51
60.35,7.47
60.96,7.44
61.57,7.39
62.18,7.35
62.80,7.31
63.43,7.27
64.07,7.23
64.71,7.19
65.35,7.15
66.01,7.11
66.67,7.07
67.33,7.03
68.01,6.99
68.69,6.95
69.37,6.91
70.07,6.87
70.77,6.83
71.48,6.79
72.19,6.74
72.91,6.70
73.64,6.66
74.38,6.62
75.12,6.58
75.87,6.53
76.63,6.49
77.40,6.45
78.17,6.40
78.95,6.36
79.74,6.31
80.54,6.27
81.35,6.22
82.16,6.18
82.98,6.14
83.81,6.09
84.65,6.05
85.50,6.00
86.35,5.96
87.22,5.91
88.09,5.86
88.97,5.82
89.86,5.77
90.76,5.73
91.66,5.68
92.58,5.64
93.51,5.59
94.44,5.55
95.39,5.50
96.34,5.45
97.30,5.41
98.28,5.36
99.26,5.31
100.25,5.27
101.25,5.22
102.27,5.17
103.29,5.12
104.32,5.07
