frequency,raw
20.00,14.07
20.20,14.06
20.40,14.05
20.61,14.04
20.81,14.03
21.02,14.02
21.23,14.00
21.44,13.99
21.66,13.98
21.87,13.96
22.09,13.95
22.31,13.93
22.54,13.92
22.76,13.91
22.99,13.89
23.22,13.88
23.45,13.87
23.69,13.86
23.92,13.84
24.16,13.83
24.40,13.81
24.65,13.80
24.89,13.78
25.14,13.75
25.39,13.73
25.65,13.71
25.91,13.69
26.16,13.67
26.43,13.65
26.69,13.63
26.96,13.62
27.23,13.60
27.50,13.58
27.77,13.55
28.05,13.53
28.33,13.50
28.62,13.47
28.90,13.44
29.19,13.43
29.48,13.41
29.78,13.40
30.08,13.38
30.38,13.35
30.68,13.31
30.99,13.26
31.30,13.21
31.61,13.17
31.93,13.13
32.24,13.10
32.57,13.07
32.89,13.04
33.22,13.01
33.55,12.97
33.89,12.93
34.23,12.89
34.57,12.85
34.92,12.81
35.27,12.78
35.62,12.74
35.97,12.70
36.33,12.66
36.70,12.62
37.06,12.58
37.43,12.54
37.81,12.50
38.19,12.46
38.57,12.41
38.95,12.37
39.34,12.32
39.74,12.27
40.14,12.22
40.54,12.18
40.94,12.13
41.35,12.08
41.76,12.04
42.18,11.99
42.60,11.94
43.03,11.90
43.46,11.84
43.90,11.79
44.33,11.73
44.78,11.68
45.23,11.63
45.68,11.58
46.13,11.53
46.60,11.48
47.06,11.42
47.53,11.37
48.01,11.31
48.49,11.24
48.97,11.18
49.46,11.12
49.96,11.07
50.46,11.01
50.96,10.95
51.47,10.89
51.99,10.83
52.51,10.78
53.03,10.73
53.56,10.66
54.10,10.59
54.64,10.52
55.18,10.46
55.74,10.39
56.29,10.33
56.86,10.26
57.42,10.20
58.00,10.14
58.58,10.08
59.16,10.01
59.76,9.93
60.35,9.85
60.96,9.78
61.57,9.71
62.18,9.66
62.80,9.59
63.43,9.52
64.07,9.44
64.71,9.37
65.35,9.29
66.01,9.22
66.67,9.15
67.33,9.08
68.01,9.01
68.69,8.94
69.37,8.87
70.07,8.79
70.77,8.71
71.48,8.64
72.19,8.57
72.91,8.49
73.64,8.41
74.38,8.34
75.12,8.26
75.87,8.18
76.63,8.10
77.40,8.02
78.17,7.94
78.95,7.87
79.74,7.79
80.54,7.72
81.35,7.64
82.16,7.55
82.98,7.47
83.81,7.39
84.65,7.31
85.50,7.23
86.35,7.15
87.22,7.07
88.09,6.99
88.97,6.91
89.86,6.83
90.76,6.75
91.66,6.67
92.58,6.58
93.51,6.50
94.44,6.42
95.39,6.34
96.34,6.25
97.30,6.19
98.28,6.11
99.26,6.02
100.25,5.92
101.25,5.85
102.27,5.77
103.29,5.69
104.32,5.60
105.37,5.52
106.42,5.44
107.48,5.35
108.56,5.27
109.64,5.19
110.74,5.10
111.85,5.02
112.97,4.94
114.10,4.86
115.24,4.78
116.39,4.70
117.55,4.61
118.73,4.53
119.92,4.45
121.12,4.37
122.33,4.29
123.55,4.21
124.79,4.12
126.03,4.05
127.29,3.97
128.57,3.88
129.85,3.81
131.15,3.73
132.46,3.64
133.79,3.54
135.12,3.48
136.48,3.42
137.84,3.35
139.22,3.29
140.61,3.22
142.02,3.13
143.44,3.04
144.87,2.98
146.32,2.91
147.78,2.84
149.26,2.79
150.75,2.73
152.26,2.65
153.78,2.57
155.32,2.50
156.88,2.42
158.44,2.35
160.03,2.28
161.63,2.21
163.24,2.15
164.88,2.08
166.53,2.03
168.19,1.96
169.87,1.87
171.57,1.80
173.29,1.74
175.02,1.69
