frequency,raw
20.00,14.04
20.20,14.04
20.40,14.03
20.61,14.02
20.81,14.01
21.02,14.00
21.23,13.99
21.44,13.99
21.66,13.98
21.87,13.97
22.09,13.96
22.31,13.96
22.54,13.94
22.76,13.93
22.99,13.92
23.22,13.91
23.45,13.90
23.69,13.89
23.92,13.89
24.16,13.88
24.40,13.86
24.65,13.85
24.89,13.83
25.14,13.81
25.39,13.79
25.65,13.78
25.91,13.76
26.16,13.75
26.43,13.74
26.69,13.73
26.96,13.72
27.23,13.71
27.50,13.69
27.77,13.66
28.05,13.64
28.33,13.61
28.62,13.58
28.90,13.56
29.19,13.53
29.48,13.51
29.78,13.48
30.08,13.46
30.38,13.44
30.68,13.42
30.99,13.40
31.30,13.38
31.61,13.36
31.93,13.33
32.24,13.31
32.57,13.27
32.89,13.25
33.22,13.22
33.55,13.20
33.89,13.17
34.23,13.14
34.57,13.11
34.92,13.07
35.27,13.04
35.62,13.01
35.97,12.98
36.33,12.95
36.70,12.92
37.06,12.88
37.43,12.85
37.81,12.81
38.19,12.77
38.57,12.73
38.95,12.70
39.34,12.66
39.74,12.62
40.14,12.58
40.54,12.54
40.94,12.50
41.35,12.46
41.76,12.42
42.18,12.38
42.60,12.34
43.03,12.30
43.46,12.25
43.90,12.20
44.33,12.16
44.78,12.11
45.23,12.07
45.68,12.03
46.13,11.98
46.60,11.93
47.06,11.88
47.53,11.83
48.01,11.78
48.49,11.73
48.97,11.68
49.46,11.63
49.96,11.59
50.46,11.53
50.96,11.48
51.47,11.42
51.99,11.36
52.51,11.31
53.03,11.27
53.56,11.22
54.10,11.17
54.64,11.12
55.18,11.05
55.74,10.98
56.29,10.91
56.86,10.85
57.42,10.80
58.00,10.75
58.58,10.70
59.16,10.64
59.76,10.57
60.35,10.50
60.96,10.44
61.57,10.37
62.18,10.31
62.80,10.25
63.43,10.19
64.07,10.12
64.71,10.06
65.35,10.00
66.01,9.93
66.67,9.86
67.33,9.79
68.01,9.72
68.69,9.66
69.37,9.59
70.07,9.52
70.77,9.45
71.48,9.38
72.19,9.31
72.91,9.24
73.64,9.17
74.38,9.10
75.12,9.03
75.87,8.96
76.63,8.89
77.40,8.82
78.17,8.74
78.95,8.67
79.74,8.59
80.54,8.52
81.35,8.44
82.16,8.37
82.98,8.29
83.81,8.22
84.65,8.14
85.50,8.07
86.35,7.99
87.22,7.92
88.09,7.84
88.97,7.77
89.86,7.69
90.76,7.61
91.66,7.53
92.58,7.45
93.51,7.38
94.44,7.30
95.39,7.22
96.34,7.15
97.30,7.07
98.28,6.99
99.26,6.90
100.25,6.82
101.25,6.75
102.27,6.67
103.29,6.59
104.32,6.52
105.37,6.43
106.42,6.35
107.48,6.27
108.56,6.19
109.64,6.11
110.74,6.03
111.85,5.96
112.97,5.87
114.10,5.79
115.24,5.72
116.39,5.64
117.55,5.56
118.73,5.48
119.92,5.40
121.12,5.32
122.33,5.24
123.55,5.16
124.79,5.08
126.03,4.99
127.29,4.91
128.57,4.83
129.85,4.76
131.15,4.68
132.46,4.60
133.79,4.52
135.12,4.44
136.48,4.37
137.84,4.29
139.22,4.22
140.61,4.15
142.02,4.08
143.44,4.00
144.87,3.92
146.32,3.87
147.78,3.82
149.26,3.74
150.75,3.66
152.26,3.59
153.78,3.51
155.32,3.44
156.88,3.38
158.44,3.31
160.03,3.24
161.63,3.17
163.24,3.11
164.88,3.05
166.53,2.97
168.19,2.89
169.87,2.81
171.57,2.75
173.29,2.69
175.02,2.63
176.77,2.55
178.54,2.48
180.32,2.42
182.13,2.34
183.95,2.28
185.79,2.22
187.65,2.15
189.52,2.09
191.42,2.02
193.33,1.96
195.27,1.90
197.22,1.84
199.19,1.78
201.18,1.72
203.19,1.65
205.23,1.60
207.28,1.55
209.35,1.49
211.44,1.42
213.56,1.36
215.69,1.30
217.85,1.24
220.03,1.19
222.23,1.13
224.45,1.08
226.70,1.02
228.96,0.96
231.25,0.90
233.57,0.85
235.90,0.80
238.26,0.74
240.64,0.69
243.05,0.63
245.48,0.58
247.93,0.53
250.41,0.49
252.92,0.44
255.45,0.39
258.00,0.34
260.58,0.28
263.19,0.23
265.82,0.19
268.48,0.14
271.16,0.10
273.87,0.05
276.61,0.00
279.38,-0.04
282.17,-0.08
284.99,-0.13
287.84,-0.17
290.72,-0.21
293.63,-0.26
296.57,-0.30
299.53,-0.34
302.53,-0.38
305.55,-0.42
308.61,-0.46
311.69,-0.50
314.81,-0.53
317.96,-0.56
321.14,-0.60
324.35,-0.64
327.59,-0.68
330.87,-0.71
334.18,-0.74
337.52,-0.78
340.90,-0.82
344.30,-0.85
347.75,-0.88
351.23,-0.91
354.74,-0.94
358.28,-0.97
361.87,-1.00
365.49,-1.03
369.14,-1.06
372.83,-1.09
376.56,-1.11
380.33,-1.13
384.13,-1.16
387.97,-1.18
391.85,-1.21
395.77,-1.23
399.73,-1.26
403.72,-1.28
407.76,-1.29
411.84,-1.31
415.96,-1.33
420.12,-1.35
424.32,-1.38
428.56,-1.39
432.85,-1.41
437.18,-1.43
441.55,-1.44
445.96,-1.46
450.42,-1.47
454.93,-1.49
459.48,-1.50
464.07,-1.51
468.71,-1.53
473.40,-1.54
478.13,-1.55
482.91,-1.56
487.74,-1.57
492.62,-1.57
497.55,-1.58
502.52,-1.59
507.55,-1.60
512.62,-1.60
517.75,-1.61
522.93,-1.61
528.16,-1.62
533.44,-1.62
538.77,-1.62
544.16,-1.62
549.60,-1.62
555.10,-1.62
560.65,-1.62
566.25,-1.61
571.92,-1.61
577.64,-1.61
583.41,-1.60
589.25,-1.59
595.14,-1.58
601.09,-1.58
607.10,-1.57
613.17,-1.56
619.30,-1.55
625.50,-1.54
631.75,-1.52
638.07,-1.51
644.45,-1.50
650.89,-1.48
657.40,-1.47
663.98,-1.45
670.62,-1.43
677.32,-1.41
684.10,-1.39
690.94,-1.36
697.85,-1.35
704.83,-1.32
711.87,-1.30
718.99,-1.28
726.18,-1.25
733.44,-1.23
740.78,-1.20
748.19,-1.17
755.67,-1.15
763.23,-1.12
770.86,-1.09
778.57,-1.06
786.35,-1.04
794.22,-1.00
802.16,-0.97
810.18,-0.94
818.28,-0.91
826.46,-0.88
834.73,-0.85
843.08,-0.81
851.51,-0.78
860.02,-0.74
868.62,-0.70
877.31,-0.66
886.08,-0.62
894.94,-0.58
903.89,-0.54
912.93,-0.49
922.06,-0.44
931.28,-0.40
940.59,-0.34
950.00,-0.28
959.50,-0.23
969.09,-0.18
978.78,-0.12
988.57,-0.05
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.23
1039.00,0.31
1049.39,0.39
1059.88,0.47
1070.48,0.55
1081.19,0.63
1092.00,0.71
1102.92,0.79
1113.95,0.87
1125.09,0.95
1136.34,1.04
1147.70,1.11
1159.18,1.19
