frequency,raw
20.00,13.87
20.20,13.86
20.40,13.86
20.61,13.85
20.81,13.84
21.02,13.84
21.23,13.83
21.44,13.83
21.66,13.83
21.87,13.82
22.09,13.81
22.31,13.80
22.54,13.79
22.76,13.77
22.99,13.76
23.22,13.75
23.45,13.74
23.69,13.73
23.92,13.72
24.16,13.72
24.40,13.71
24.65,13.70
24.89,13.69
25.14,13.68
25.39,13.67
25.65,13.66
25.91,13.64
26.16,13.63
26.43,13.61
26.69,13.59
26.96,13.57
27.23,13.55
27.50,13.52
27.77,13.50
28.05,13.47
28.33,13.45
28.62,13.43
28.90,13.42
29.19,13.39
29.48,13.37
29.78,13.35
30.08,13.33
30.38,13.30
30.68,13.28
30.99,13.26
31.30,13.24
31.61,13.22
31.93,13.19
32.24,13.16
32.57,13.13
32.89,13.10
33.22,13.07
33.55,13.04
33.89,13.01
34.23,12.99
34.57,12.96
34.92,12.93
35.27,12.90
35.62,12.87
35.97,12.83
36.33,12.80
36.70,12.77
37.06,12.73
37.43,12.70
37.81,12.66
38.19,12.62
38.57,12.59
38.95,12.55
39.34,12.51
39.74,12.47
40.14,12.43
40.54,12.40
40.94,12.36
41.35,12.32
41.76,12.28
42.18,12.23
42.60,12.19
43.03,12.15
43.46,12.11
43.90,12.06
44.33,12.02
44.78,11.98
45.23,11.93
45.68,11.88
46.13,11.84
46.60,11.79
47.06,11.74
47.53,11.69
48.01,11.64
48.49,11.59
48.97,11.54
49.46,11.50
49.96,11.45
50.46,11.40
50.96,11.35
51.47,11.30
51.99,11.24
52.51,11.18
53.03,11.12
53.56,11.06
54.10,11.01
54.64,10.95
55.18,10.89
55.74,10.84
56.29,10.78
56.86,10.73
57.42,10.67
58.00,10.60
58.58,10.54
59.16,10.49
59.76,10.43
60.35,10.36
60.96,10.30
61.57,10.24
62.18,10.18
62.80,10.11
63.43,10.04
64.07,9.98
64.71,9.91
65.35,9.85
66.01,9.79
66.67,9.73
67.33,9.66
68.01,9.59
68.69,9.52
69.37,9.45
70.07,9.38
70.77,9.32
71.48,9.25
72.19,9.18
72.91,9.11
73.64,9.04
74.38,8.97
75.12,8.89
75.87,8.82
76.63,8.75
77.40,8.68
78.17,8.61
78.95,8.54
79.74,8.46
80.54,8.39
81.35,8.31
82.16,8.24
82.98,8.17
83.81,8.09
84.65,8.01
85.50,7.94
86.35,7.87
87.22,7.79
88.09,7.71
88.97,7.64
89.86,7.56
90.76,7.48
91.66,7.40
92.58,7.33
93.51,7.25
94.44,7.18
95.39,7.10
96.34,7.02
97.30,6.93
98.28,6.86
99.26,6.78
100.25,6.70
101.25,6.62
102.27,6.55
103.29,6.47
104.32,6.39
105.37,6.31
106.42,6.23
107.48,6.15
108.56,6.07
109.64,5.99
110.74,5.90
111.85,5.83
112.97,5.75
114.10,5.67
115.24,5.59
116.39,5.51
117.55,5.43
118.73,5.35
119.92,5.27
121.12,5.19
122.33,5.11
123.55,5.03
124.79,4.95
126.03,4.87
127.29,4.79
128.57,4.71
129.85,4.63
131.15,4.55
132.46,4.47
133.79,4.40
135.12,4.33
136.48,4.25
137.84,4.19
139.22,4.11
140.61,4.04
142.02,3.98
143.44,3.90
144.87,3.83
146.32,3.76
147.78,3.69
149.26,3.63
150.75,3.56
152.26,3.48
153.78,3.42
155.32,3.35
156.88,3.28
158.44,3.20
160.03,3.11
161.63,3.05
163.24,2.99
164.88,2.92
166.53,2.85
168.19,2.78
169.87,2.72
171.57,2.66
173.29,2.59
175.02,2.51
176.77,2.45
178.54,2.38
180.32,2.31
182.13,2.25
183.95,2.19
185.79,2.12
187.65,2.06
189.52,1.99
191.42,1.92
193.33,1.86
195.27,1.80
197.22,1.74
199.19,1.67
201.18,1.60
203.19,1.54
205.23,1.49
207.28,1.44
209.35,1.38
211.44,1.32
213.56,1.26
215.69,1.20
217.85,1.14
220.03,1.07
222.23,1.03
224.45,0.98
226.70,0.91
228.96,0.86
231.25,0.80
233.57,0.75
235.90,0.70
238.26,0.65
240.64,0.60
243.05,0.54
245.48,0.49
247.93,0.44
250.41,0.39
252.92,0.33
255.45,0.29
258.00,0.24
260.58,0.18
263.19,0.13
265.82,0.10
268.48,0.06
271.16,0.01
273.87,-0.04
276.61,-0.09
279.38,-0.13
282.17,-0.17
284.99,-0.22
287.84,-0.26
290.72,-0.30
293.63,-0.35
296.57,-0.39
299.53,-0.43
302.53,-0.46
