frequency,raw
20.00,15.54
20.20,15.53
20.40,15.52
20.61,15.52
20.81,15.51
21.02,15.50
21.23,15.49
21.44,15.48
21.66,15.47
21.87,15.46
22.09,15.45
22.31,15.44
22.54,15.43
22.76,15.42
22.99,15.41
23.22,15.40
23.45,15.39
23.69,15.37
23.92,15.36
24.16,15.34
24.40,15.33
24.65,15.31
24.89,15.30
25.14,15.29
25.39,15.27
25.65,15.26
25.91,15.25
26.16,15.24
26.43,15.23
26.69,15.21
26.96,15.19
27.23,15.16
27.50,15.14
27.77,15.11
28.05,15.09
28.33,15.07
28.62,15.05
28.90,15.03
29.19,15.01
29.48,14.98
29.78,14.96
30.08,14.93
30.38,14.91
30.68,14.88
30.99,14.86
31.30,14.84
31.61,14.82
31.93,14.80
32.24,14.77
32.57,14.74
32.89,14.71
33.22,14.68
33.55,14.65
33.89,14.62
34.23,14.59
34.57,14.56
34.92,14.52
35.27,14.49
35.62,14.46
35.97,14.43
36.33,14.40
36.70,14.36
37.06,14.32
37.43,14.28
37.81,14.24
38.19,14.20
38.57,14.17
38.95,14.13
39.34,14.09
39.74,14.06
40.14,14.02
40.54,13.97
40.94,13.93
41.35,13.89
41.76,13.84
42.18,13.80
42.60,13.75
43.03,13.71
43.46,13.66
43.90,13.62
44.33,13.58
44.78,13.53
45.23,13.48
45.68,13.43
46.13,13.38
46.60,13.34
47.06,13.29
47.53,13.23
48.01,13.17
48.49,13.12
48.97,13.07
49.46,13.02
49.96,12.96
50.46,12.90
50.96,12.85
51.47,12.80
51.99,12.74
52.51,12.69
53.03,12.62
53.56,12.57
54.10,12.52
54.64,12.47
55.18,12.41
55.74,12.33
56.29,12.26
56.86,12.20
57.42,12.14
58.00,12.09
58.58,12.03
59.16,11.97
59.76,11.90
60.35,11.84
60.96,11.77
61.57,11.71
62.18,11.64
62.80,11.57
63.43,11.50
64.07,11.43
64.71,11.37
65.35,11.30
66.01,11.23
66.67,11.16
67.33,11.09
68.01,11.01
68.69,10.94
69.37,10.86
70.07,10.79
70.77,10.72
71.48,10.65
72.19,10.58
72.91,10.50
73.64,10.42
74.38,10.35
75.12,10.27
75.87,10.19
76.63,10.12
77.40,10.04
78.17,9.96
78.95,9.88
79.74,9.81
80.54,9.73
81.35,9.65
82.16,9.57
82.98,9.49
83.81,9.41
84.65,9.32
85.50,9.24
86.35,9.16
87.22,9.07
88.09,8.99
88.97,8.91
89.86,8.83
90.76,8.75
91.66,8.67
92.58,8.58
93.51,8.50
94.44,8.41
95.39,8.32
96.34,8.23
97.30,8.16
98.28,8.07
99.26,7.99
100.25,7.91
101.25,7.83
102.27,7.73
103.29,7.64
104.32,7.56
105.37,7.47
106.42,7.39
107.48,7.30
108.56,7.21
109.64,7.12
110.74,7.03
111.85,6.95
112.97,6.86
114.10,6.77
115.24,6.68
116.39,6.60
117.55,6.51
118.73,6.42
119.92,6.33
121.12,6.24
122.33,6.16
123.55,6.07
124.79,5.98
126.03,5.89
127.29,5.80
128.57,5.71
129.85,5.63
131.15,5.55
132.46,5.46
133.79,5.37
135.12,5.28
136.48,5.19
137.84,5.12
139.22,5.04
140.61,4.96
142.02,4.86
143.44,4.78
144.87,4.71
146.32,4.64
147.78,4.56
149.26,4.48
150.75,4.40
152.26,4.32
153.78,4.24
155.32,4.16
156.88,4.07
158.44,3.99
160.03,3.90
161.63,3.81
163.24,3.73
164.88,3.66
166.53,3.57
168.19,3.49
169.87,3.42
171.57,3.35
173.29,3.28
175.02,3.20
176.77,3.12
178.54,3.04
180.32,2.97
182.13,2.90
183.95,2.82
185.79,2.74
187.65,2.67
189.52,2.60
191.42,2.52
193.33,2.44
195.27,2.38
197.22,2.31
199.19,2.24
201.18,2.16
203.19,2.08
205.23,1.99
207.28,1.92
209.35,1.86
211.44,1.79
213.56,1.73
215.69,1.67
217.85,1.60
220.03,1.52
222.23,1.46
224.45,1.40
226.70,1.33
228.96,1.25
231.25,1.18
233.57,1.12
235.90,1.07
238.26,1.00
240.64,0.94
243.05,0.88
245.48,0.82
247.93,0.76
250.41,0.69
252.92,0.64
255.45,0.57
258.00,0.50
260.58,0.46
263.19,0.41
265.82,0.35
268.48,0.29
271.16,0.23
273.87,0.18
276.61,0.13
279.38,0.07
282.17,0.02
284.99,-0.03
287.84,-0.09
290.72,-0.15
293.63,-0.20
296.57,-0.25
299.53,-0.29
302.53,-0.34
305.55,-0.39
308.61,-0.43
311.69,-0.47
314.81,-0.52
317.96,-0.56
321.14,-0.60
324.35,-0.65
327.59,-0.69
330.87,-0.73
334.18,-0.77
337.52,-0.81
340.90,-0.85
344.30,-0.89
347.75,-0.94
351.23,-0.98
354.74,-1.01
358.28,-1.05
361.87,-1.08
365.49,-1.11
369.14,-1.15
372.83,-1.18
376.56,-1.21
380.33,-1.25
384.13,-1.28
387.97,-1.30
391.85,-1.33
395.77,-1.36
399.73,-1.39
403.72,-1.42
407.76,-1.44
411.84,-1.46
415.96,-1.49
420.12,-1.51
424.32,-1.53
428.56,-1.55
432.85,-1.57
437.18,-1.59
441.55,-1.60
445.96,-1.62
450.42,-1.64
454.93,-1.66
459.48,-1.68
464.07,-1.69
468.71,-1.70
473.40,-1.71
478.13,-1.73
482.91,-1.74
487.74,-1.75
492.62,-1.76
497.55,-1.78
502.52,-1.79
507.55,-1.79
512.62,-1.80
517.75,-1.80
522.93,-1.81
528.16,-1.81
533.44,-1.82
538.77,-1.82
544.16,-1.82
549.60,-1.81
555.10,-1.81
560.65,-1.81
566.25,-1.81
571.92,-1.80
577.64,-1.80
583.41,-1.79
589.25,-1.78
595.14,-1.77
601.09,-1.76
607.10,-1.76
613.17,-1.74
619.30,-1.73
625.50,-1.72
631.75,-1.71
638.07,-1.69
644.45,-1.67
650.89,-1.66
657.40,-1.64
663.98,-1.62
670.62,-1.60
677.32,-1.58
684.10,-1.55
690.94,-1.53
