frequency,raw
20.00,11.00
20.20,10.97
20.40,10.95
20.61,10.93
20.81,10.90
21.02,10.87
21.23,10.84
21.44,10.82
21.66,10.80
21.87,10.78
22.09,10.77
22.31,10.76
22.54,10.74
22.76,10.72
22.99,10.70
23.22,10.67
23.45,10.65
23.69,10.61
23.92,10.58
24.16,10.55
24.40,10.52
24.65,10.49
24.89,10.46
25.14,10.42
25.39,10.39
25.65,10.35
25.91,10.31
26.16,10.27
26.43,10.23
26.69,10.20
26.96,10.18
27.23,10.15
27.50,10.13
27.77,10.10
28.05,10.06
28.33,10.00
28.62,9.94
28.90,9.88
29.19,9.83
29.48,9.78
29.78,9.74
30.08,9.71
30.38,9.68
30.68,9.65
30.99,9.62
31.30,9.58
31.61,9.54
31.93,9.50
32.24,9.45
32.57,9.40
32.89,9.35
33.22,9.30
33.55,9.26
33.89,9.22
34.23,9.17
34.57,9.13
34.92,9.08
35.27,9.03
35.62,8.97
35.97,8.91
36.33,8.86
36.70,8.81
37.06,8.76
37.43,8.71
37.81,8.65
38.19,8.60
38.57,8.55
38.95,8.50
39.34,8.45
39.74,8.40
40.14,8.34
40.54,8.28
40.94,8.22
41.35,8.16
41.76,8.10
42.18,8.05
42.60,7.99
43.03,7.94
43.46,7.88
43.90,7.81
44.33,7.75
44.78,7.69
45.23,7.63
45.68,7.58
46.13,7.53
46.60,7.46
47.06,7.40
47.53,7.34
48.01,7.28
48.49,7.23
48.97,7.17
49.46,7.12
49.96,7.05
50.46,6.97
50.96,6.90
51.47,6.83
51.99,6.77
52.51,6.71
53.03,6.66
53.56,6.60
54.10,6.54
54.64,6.47
55.18,6.40
55.74,6.32
56.29,6.25
56.86,6.18
57.42,6.12
58.00,6.06
58.58,5.99
59.16,5.91
59.76,5.84
60.35,5.78
60.96,5.71
61.57,5.64
62.18,5.58
62.80,5.52
63.43,5.45
64.07,5.38
64.71,5.32
65.35,5.25
66.01,5.18
66.67,5.11
67.33,5.05
68.01,4.98
68.69,4.91
69.37,4.85
70.07,4.79
70.77,4.72
71.48,4.65
72.19,4.58
72.91,4.50
73.64,4.44
74.38,4.37
75.12,4.30
75.87,4.24
76.63,4.17
77.40,4.10
78.17,4.03
78.95,3.97
79.74,3.90
80.54,3.83
81.35,3.76
82.16,3.69
82.98,3.62
83.81,3.55
84.65,3.51
85.50,3.44
86.35,3.36
87.22,3.31
88.09,3.23
88.97,3.16
89.86,3.11
90.76,3.03
91.66,2.96
92.58,2.92
93.51,2.84
94.44,2.79
95.39,2.73
96.34,2.64
97.30,2.56
98.28,2.52
99.26,2.48
100.25,2.41
101.25,2.35
102.27,2.27
103.29,2.19
104.32,2.14
105.37,2.08
106.42,2.02
107.48,1.96
108.56,1.89
109.64,1.83
110.74,1.77
111.85,1.71
112.97,1.64
114.10,1.58
115.24,1.52
116.39,1.45
117.55,1.39
118.73,1.33
119.92,1.27
121.12,1.21
122.33,1.16
123.55,1.10
124.79,1.04
126.03,0.98
127.29,0.92
128.57,0.86
129.85,0.80
131.15,0.75
132.46,0.72
133.79,0.68
135.12,0.61
136.48,0.54
137.84,0.47
139.22,0.41
140.61,0.35
142.02,0.30
143.44,0.24
144.87,0.18
146.32,0.18
