frequency,raw
20.00,4.67
20.20,4.68
20.40,4.68
20.61,4.69
20.81,4.69
21.02,4.69
21.23,4.69
21.44,4.70
21.66,4.70
21.87,4.71
22.09,4.72
22.31,4.73
22.54,4.74
22.76,4.74
22.99,4.75
23.22,4.75
23.45,4.75
23.69,4.76
23.92,4.76
24.16,4.77
24.40,4.78
24.65,4.79
24.89,4.80
25.14,4.81
25.39,4.82
25.65,4.82
25.91,4.82
26.16,4.82
26.43,4.83
26.69,4.84
26.96,4.84
27.23,4.85
27.50,4.85
27.77,4.84
28.05,4.83
28.33,4.82
28.62,4.82
28.90,4.81
29.19,4.82
29.48,4.82
29.78,4.83
30.08,4.84
30.38,4.84
30.68,4.84
30.99,4.84
31.30,4.84
31.61,4.84
31.93,4.84
32.24,4.84
32.57,4.84
32.89,4.83
33.22,4.83
33.55,4.83
33.89,4.82
34.23,4.82
34.57,4.82
34.92,4.82
35.27,4.82
35.62,4.82
35.97,4.82
36.33,4.81
36.70,4.80
37.06,4.79
37.43,4.79
37.81,4.78
38.19,4.78
38.57,4.78
38.95,4.77
39.34,4.77
39.74,4.77
40.14,4.77
40.54,4.76
40.94,4.76
41.35,4.76
41.76,4.75
42.18,4.74
42.60,4.74
43.03,4.73
43.46,4.72
43.90,4.72
44.33,4.71
44.78,4.70
45.23,4.69
45.68,4.69
46.13,4.68
46.60,4.67
47.06,4.66
47.53,4.66
48.01,4.65
48.49,4.63
48.97,4.62
49.46,4.61
49.96,4.60
50.46,4.60
50.96,4.59
51.47,4.57
51.99,4.56
52.51,4.56
53.03,4.56
53.56,4.55
54.10,4.54
54.64,4.53
55.18,4.53
55.74,4.53
56.29,4.52
56.86,4.50
57.42,4.47
58.00,4.44
58.58,4.42
59.16,4.40
59.76,4.41
60.35,4.40
60.96,4.39
61.57,4.37
62.18,4.36
62.80,4.34
63.43,4.33
64.07,4.32
64.71,4.31
65.35,4.29
66.01,4.27
66.67,4.26
67.33,4.24
68.01,4.22
68.69,4.21
69.37,4.19
70.07,4.18
70.77,4.16
71.48,4.15
72.19,4.13
72.91,4.12
73.64,4.10
74.38,4.08
75.12,4.06
75.87,4.04
76.63,4.02
77.40,4.00
78.17,3.99
78.95,3.97
79.74,3.95
80.54,3.93
81.35,3.91
82.16,3.89
82.98,3.87
83.81,3.85
84.65,3.82
85.50,3.80
86.35,3.78
87.22,3.76
88.09,3.74
88.97,3.71
89.86,3.69
90.76,3.67
91.66,3.65
92.58,3.63
93.51,3.60
94.44,3.58
95.39,3.56
96.34,3.53
97.30,3.51
98.28,3.49
99.26,3.46
100.25,3.44
101.25,3.41
102.27,3.38
103.29,3.36
104.32,3.33
105.37,3.31
106.42,3.28
107.48,3.25
108.56,3.23
109.64,3.20
110.74,3.17
111.85,3.15
112.97,3.12
114.10,3.09
115.24,3.06
116.39,3.03
117.55,3.00
118.73,2.97
119.92,2.93
121.12,2.91
122.33,2.90
123.55,2.87
124.79,2.83
126.03,2.81
127.29,2.78
128.57,2.75
129.85,2.72
131.15,2.69
132.46,2.66
133.79,2.63
135.12,2.60
136.48,2.57
137.84,2.54
139.22,2.51
140.61,2.48
142.02,2.45
143.44,2.42
144.87,2.38
146.32,2.35
147.78,2.32
149.26,2.29
150.75,2.26
152.26,2.23
153.78,2.19
155.32,2.16
156.88,2.13
158.44,2.10
160.03,2.07
161.63,2.03
163.24,1.99
164.88,1.96
166.53,1.93
168.19,1.89
169.87,1.86
171.57,1.82
173.29,1.78
175.02,1.74
176.77,1.71
178.54,1.66
180.32,1.61
182.13,1.60
183.95,1.57
185.79,1.55
187.65,1.53
189.52,1.53
191.42,1.52
193.33,1.52
195.27,1.51
197.22,1.49
199.19,1.47
201.18,1.44
203.19,1.42
205.23,1.39
207.28,1.36
209.35,1.33
211.44,1.30
213.56,1.27
215.69,1.24
217.85,1.22
220.03,1.19
222.23,1.16
224.45,1.13
226.70,1.10
228.96,1.07
231.25,1.04
233.57,1.01
235.90,0.98
238.26,0.95
240.64,0.92
243.05,0.89
245.48,0.86
247.93,0.83
250.41,0.80
252.92,0.77
255.45,0.74
258.00,0.71
260.58,0.68
263.19,0.66
265.82,0.63
268.48,0.60
271.16,0.57
273.87,0.54
276.61,0.52
279.38,0.49
282.17,0.46
284.99,0.44
287.84,0.41
290.72,0.38
293.63,0.36
296.57,0.33
299.53,0.31
302.53,0.28
305.55,0.25
308.61,0.23
311.69,0.20
314.81,0.17
317.96,0.15
321.14,0.12
324.35,0.10
327.59,0.08
330.87,0.05
334.18,0.03
337.52,0.00
340.90,-0.02
344.30,-0.04
347.75,-0.07
351.23,-0.09
354.74,-0.12
358.28,-0.14
361.87,-0.16
365.49,-0.18
369.14,-0.21
372.83,-0.23
376.56,-0.25
380.33,-0.27
384.13,-0.28
387.97,-0.30
391.85,-0.32
395.77,-0.34
399.73,-0.35
403.72,-0.37
407.76,-0.39
411.84,-0.41
415.96,-0.43
420.12,-0.45
424.32,-0.46
428.56,-0.48
432.85,-0.49
437.18,-0.50
441.55,-0.52
445.96,-0.53
450.42,-0.55
454.93,-0.56
459.48,-0.58
464.07,-0.59
468.71,-0.61
473.40,-0.63
478.13,-0.64
482.91,-0.65
487.74,-0.67
