frequency,raw
20.00,4.55
20.20,4.56
20.40,4.57
20.61,4.58
20.81,4.58
21.02,4.59
21.23,4.59
21.44,4.59
21.66,4.60
21.87,4.60
22.09,4.61
22.31,4.61
22.54,4.61
22.76,4.62
22.99,4.62
23.22,4.62
23.45,4.62
23.69,4.63
23.92,4.63
24.16,4.64
24.40,4.64
24.65,4.65
24.89,4.66
25.14,4.66
25.39,4.67
25.65,4.68
25.91,4.69
26.16,4.69
26.43,4.70
26.69,4.70
26.96,4.70
27.23,4.70
27.50,4.70
27.77,4.69
28.05,4.69
28.33,4.69
28.62,4.69
28.90,4.69
29.19,4.70
29.48,4.72
29.78,4.72
30.08,4.73
30.38,4.73
30.68,4.73
30.99,4.72
31.30,4.72
31.61,4.71
31.93,4.71
32.24,4.71
32.57,4.70
32.89,4.70
33.22,4.70
33.55,4.70
33.89,4.70
34.23,4.70
34.57,4.69
34.92,4.68
35.27,4.68
35.62,4.68
35.97,4.68
36.33,4.69
36.70,4.69
37.06,4.69
37.43,4.68
37.81,4.67
38.19,4.66
38.57,4.66
38.95,4.65
39.34,4.64
39.74,4.64
40.14,4.64
40.54,4.63
40.94,4.63
41.35,4.62
41.76,4.61
42.18,4.60
42.60,4.60
43.03,4.60
43.46,4.60
43.90,4.60
44.33,4.59
44.78,4.58
45.23,4.57
45.68,4.57
46.13,4.56
46.60,4.55
47.06,4.54
47.53,4.53
48.01,4.52
48.49,4.51
48.97,4.51
49.46,4.52
49.96,4.53
50.46,4.51
50.96,4.48
51.47,4.45
51.99,4.44
52.51,4.44
53.03,4.45
53.56,4.43
54.10,4.40
54.64,4.38
55.18,4.38
55.74,4.38
56.29,4.37
56.86,4.36
57.42,4.36
58.00,4.36
58.58,4.34
59.16,4.32
59.76,4.30
60.35,4.28
60.96,4.26
61.57,4.24
62.18,4.23
62.80,4.23
63.43,4.22
64.07,4.20
64.71,4.19
65.35,4.17
66.01,4.16
66.67,4.13
67.33,4.12
68.01,4.10
68.69,4.09
69.37,4.07
70.07,4.06
70.77,4.04
71.48,4.02
72.19,4.00
72.91,3.98
73.64,3.97
74.38,3.95
75.12,3.93
75.87,3.91
76.63,3.90
77.40,3.89
78.17,3.86
78.95,3.84
79.74,3.82
80.54,3.80
81.35,3.78
82.16,3.76
82.98,3.74
83.81,3.72
84.65,3.69
85.50,3.67
86.35,3.65
87.22,3.63
88.09,3.61
88.97,3.59
89.86,3.57
90.76,3.54
91.66,3.52
92.58,3.50
93.51,3.47
94.44,3.45
95.39,3.43
96.34,3.40
97.30,3.38
98.28,3.35
99.26,3.33
100.25,3.31
101.25,3.28
102.27,3.25
103.29,3.23
104.32,3.20
105.37,3.18
106.42,3.15
107.48,3.13
108.56,3.10
109.64,3.07
110.74,3.05
111.85,3.02
112.97,2.99
114.10,2.96
115.24,2.93
116.39,2.91
117.55,2.88
118.73,2.84
119.92,2.81
121.12,2.78
122.33,2.77
123.55,2.74
124.79,2.71
126.03,2.68
127.29,2.65
128.57,2.62
129.85,2.59
131.15,2.56
132.46,2.53
133.79,2.50
135.12,2.47
136.48,2.44
137.84,2.41
139.22,2.38
140.61,2.35
142.02,2.32
143.44,2.29
144.87,2.25
146.32,2.22
147.78,2.19
149.26,2.16
150.75,2.13
152.26,2.10
153.78,2.07
155.32,2.04
156.88,2.00
158.44,1.97
160.03,1.93
161.63,1.91
163.24,1.88
164.88,1.84
166.53,1.81
168.19,1.77
169.87,1.73
171.57,1.70
173.29,1.67
175.02,1.63
176.77,1.59
178.54,1.55
180.32,1.52
182.13,1.50
183.95,1.47
185.79,1.44
187.65,1.42
189.52,1.41
191.42,1.39
193.33,1.37
195.27,1.35
197.22,1.32
199.19,1.30
201.18,1.27
203.19,1.25
205.23,1.22
207.28,1.20
209.35,1.17
211.44,1.15
213.56,1.13
215.69,1.10
217.85,1.08
220.03,1.05
222.23,1.03
224.45,1.00
226.70,0.97
228.96,0.94
231.25,0.92
233.57,0.89
235.90,0.86
238.26,0.82
240.64,0.79
243.05,0.77
245.48,0.74
247.93,0.71
250.41,0.68
252.92,0.65
255.45,0.63
258.00,0.60
260.58,0.57
263.19,0.54
265.82,0.51
268.48,0.49
271.16,0.45
273.87,0.43
276.61,0.40
279.38,0.38
282.17,0.35
284.99,0.32
287.84,0.29
290.72,0.27
293.63,0.24
296.57,0.21
