frequency,raw
20.00,4.87
20.20,4.87
20.40,4.87
20.61,4.88
20.81,4.87
21.02,4.87
21.23,4.86
21.44,4.87
21.66,4.87
21.87,4.88
22.09,4.89
22.31,4.91
22.54,4.92
22.76,4.94
22.99,4.95
23.22,4.96
23.45,4.97
23.69,4.98
23.92,4.99
24.16,5.00
24.40,5.00
24.65,5.00
24.89,4.99
25.14,4.99
25.39,4.98
25.65,4.97
25.91,4.97
26.16,4.97
26.43,4.99
26.69,5.01
26.96,5.02
27.23,5.04
27.50,5.05
27.77,5.04
28.05,5.04
28.33,5.03
28.62,5.02
28.90,5.01
29.19,5.02
29.48,5.02
29.78,5.03
30.08,5.03
30.38,5.03
30.68,5.03
30.99,5.03
31.30,5.03
31.61,5.03
31.93,5.03
32.24,5.03
32.57,5.03
32.89,5.02
33.22,5.02
33.55,5.02
33.89,5.01
34.23,5.01
34.57,5.01
34.92,5.00
35.27,5.00
35.62,5.00
35.97,4.99
36.33,4.99
36.70,4.99
37.06,4.98
37.43,4.98
37.81,4.98
38.19,4.97
38.57,4.97
38.95,4.97
39.34,4.97
39.74,4.97
40.14,4.96
40.54,4.96
40.94,4.95
41.35,4.95
41.76,4.94
42.18,4.93
42.60,4.92
43.03,4.92
43.46,4.91
43.90,4.90
44.33,4.89
44.78,4.89
45.23,4.89
45.68,4.89
46.13,4.88
46.60,4.85
47.06,4.83
47.53,4.82
48.01,4.84
48.49,4.85
48.97,4.84
49.46,4.82
49.96,4.79
50.46,4.79
50.96,4.78
51.47,4.77
51.99,4.74
52.51,4.73
53.03,4.72
53.56,4.72
54.10,4.72
54.64,4.71
55.18,4.70
55.74,4.69
56.29,4.69
56.86,4.68
57.42,4.67
58.00,4.65
58.58,4.64
59.16,4.63
59.76,4.61
60.35,4.60
60.96,4.58
61.57,4.57
62.18,4.55
62.80,4.54
63.43,4.52
64.07,4.50
64.71,4.49
65.35,4.48
66.01,4.47
66.67,4.45
67.33,4.44
68.01,4.42
68.69,4.40
69.37,4.39
70.07,4.37
70.77,4.36
71.48,4.34
72.19,4.32
72.91,4.30
73.64,4.28
74.38,4.27
75.12,4.25
75.87,4.23
76.63,4.22
77.40,4.19
78.17,4.18
78.95,4.16
79.74,4.14
80.54,4.12
81.35,4.10
82.16,4.07
82.98,4.05
83.81,4.03
84.65,4.01
85.50,3.99
86.35,3.97
87.22,3.95
88.09,3.93
88.97,3.91
89.86,3.88
90.76,3.86
91.66,3.84
92.58,3.82
93.51,3.79
94.44,3.77
95.39,3.74
96.34,3.72
97.30,3.70
98.28,3.67
99.26,3.65
100.25,3.62
101.25,3.60
102.27,3.57
103.29,3.55
104.32,3.52
105.37,3.50
106.42,3.47
107.48,3.44
108.56,3.42
109.64,3.39
110.74,3.36
111.85,3.33
112.97,3.31
114.10,3.28
115.24,3.25
116.39,3.22
117.55,3.20
118.73,3.17
119.92,3.12
121.12,3.10
122.33,3.08
123.55,3.05
124.79,3.02
126.03,2.99
127.29,2.96
128.57,2.93
129.85,2.90
131.15,2.87
132.46,2.84
133.79,2.81
135.12,2.78
136.48,2.75
137.84,2.72
139.22,2.69
140.61,2.66
142.02,2.63
143.44,2.60
144.87,2.56
146.32,2.53
147.78,2.50
149.26,2.47
150.75,2.44
152.26,2.41
153.78,2.38
155.32,2.35
156.88,2.31
158.44,2.28
160.03,2.24
161.63,2.21
163.24,2.17
164.88,2.14
166.53,2.11
168.19,2.08
169.87,2.05
171.57,2.02
173.29,1.98
175.02,1.95
176.77,1.92
178.54,1.90
180.32,1.87
182.13,1.83
183.95,1.79
185.79,1.77
187.65,1.74
189.52,1.73
191.42,1.72
193.33,1.70
195.27,1.69
197.22,1.67
199.19,1.64
201.18,1.61
203.19,1.59
205.23,1.56
207.28,1.53
209.35,1.51
211.44,1.48
213.56,1.45
215.69,1.43
217.85,1.40
220.03,1.37
222.23,1.34
224.45,1.31
226.70,1.28
228.96,1.25
231.25,1.22
233.57,1.19
235.90,1.16
238.26,1.14
240.64,1.11
243.05,1.07
245.48,1.04
247.93,1.01
250.41,0.98
252.92,0.95
255.45,0.92
258.00,0.89
260.58,0.86
263.19,0.83
265.82,0.81
268.48,0.78
271.16,0.75
273.87,0.72
276.61,0.70
279.38,0.67
282.17,0.64
284.99,0.61
287.84,0.59
290.72,0.56
293.63,0.54
296.57,0.51
299.53,0.50
302.53,0.46
305.55,0.43
308.61,0.40
311.69,0.38
314.81,0.35
317.96,0.33
321.14,0.30
324.35,0.27
327.59,0.25
330.87,0.22
334.18,0.20
337.52,0.18
340.90,0.15
344.30,0.13
347.75,0.10
351.23,0.08
354.74,0.06
358.28,0.04
361.87,0.01
365.49,-0.01
369.14,-0.03
372.83,-0.05
376.56,-0.08
380.33,-0.09
384.13,-0.11
387.97,-0.13
391.85,-0.14
395.77,-0.16
399.73,-0.17
403.72,-0.19
407.76,-0.21
411.84,-0.23
415.96,-0.25
420.12,-0.26
424.32,-0.28
428.56,-0.29
