frequency,raw
20.00,9.84
20.20,9.84
20.40,9.84
20.61,9.84
20.81,9.84
21.02,9.84
21.23,9.84
21.44,9.84
21.66,9.84
21.87,9.84
22.09,9.84
22.31,9.84
22.54,9.85
22.76,9.85
22.99,9.86
23.22,9.86
23.45,9.86
23.69,9.86
23.92,9.85
24.16,9.84
24.40,9.83
24.65,9.81
24.89,9.80
25.14,9.79
25.39,9.79
25.65,9.78
25.91,9.78
26.16,9.77
26.43,9.76
26.69,9.75
26.96,9.74
27.23,9.73
27.50,9.73
27.77,9.72
28.05,9.72
28.33,9.72
28.62,9.72
28.90,9.71
29.19,9.70
29.48,9.69
29.78,9.68
30.08,9.67
30.38,9.66
30.68,9.64
30.99,9.63
31.30,9.61
31.61,9.60
31.93,9.58
32.24,9.57
32.57,9.56
32.89,9.54
33.22,9.53
33.55,9.52
33.89,9.50
34.23,9.48
34.57,9.47
34.92,9.45
35.27,9.44
35.62,9.42
35.97,9.40
36.33,9.39
36.70,9.37
37.06,9.35
37.43,9.34
37.81,9.32
38.19,9.30
38.57,9.28
38.95,9.26
39.34,9.24
39.74,9.22
40.14,9.20
40.54,9.17
40.94,9.15
41.35,9.12
41.76,9.10
42.18,9.08
42.60,9.06
43.03,9.04
43.46,9.02
43.90,8.99
44.33,8.97
44.78,8.94
45.23,8.91
45.68,8.88
46.13,8.86
46.60,8.84
47.06,8.81
47.53,8.78
48.01,8.75
48.49,8.74
48.97,8.71
49.46,8.67
49.96,8.62
50.46,8.59
50.96,8.57
51.47,8.56
51.99,8.55
52.51,8.52
53.03,8.49
53.56,8.44
54.10,8.40
54.64,8.37
55.18,8.35
55.74,8.31
56.29,8.26
56.86,8.21
57.42,8.17
58.00,8.15
58.58,8.12
59.16,8.08
59.76,8.05
60.35,8.02
60.96,7.98
61.57,7.94
62.18,7.89
62.80,7.85
63.43,7.82
64.07,7.79
64.71,7.75
65.35,7.72
66.01,7.68
66.67,7.64
67.33,7.59
68.01,7.55
68.69,7.51
69.37,7.47
70.07,7.42
70.77,7.38
71.48,7.34
72.19,7.30
72.91,7.25
73.64,7.21
74.38,7.16
75.12,7.12
75.87,7.07
76.63,7.03
77.40,6.98
78.17,6.94
78.95,6.90
79.74,6.85
80.54,6.81
81.35,6.76
82.16,6.72
82.98,6.67
83.81,6.63
84.65,6.58
85.50,6.53
