frequency,raw
20.00,7.20
20.20,7.20
20.40,7.20
20.61,7.20
20.81,7.20
21.02,7.19
21.23,7.18
21.44,7.18
21.66,7.18
21.87,7.17
22.09,7.16
22.31,7.16
22.54,7.15
22.76,7.14
22.99,7.12
23.22,7.11
23.45,7.11
23.69,7.10
23.92,7.10
24.16,7.10
24.40,7.10
24.65,7.10
24.89,7.10
25.14,7.10
25.39,7.10
25.65,7.10
25.91,7.09
26.16,7.09
26.43,7.08
26.69,7.07
26.96,7.06
27.23,7.05
27.50,7.03
27.77,7.01
28.05,6.99
28.33,6.98
28.62,6.97
28.90,6.96
29.19,6.96
29.48,6.96
29.78,6.96
30.08,6.95
30.38,6.94
30.68,6.92
30.99,6.90
31.30,6.88
31.61,6.86
31.93,6.85
32.24,6.84
32.57,6.83
32.89,6.82
33.22,6.80
33.55,6.79
33.89,6.77
34.23,6.75
34.57,6.74
34.92,6.73
35.27,6.72
35.62,6.70
35.97,6.68
36.33,6.66
36.70,6.64
37.06,6.62
37.43,6.60
37.81,6.58
38.19,6.57
38.57,6.54
38.95,6.53
39.34,6.51
39.74,6.49
40.14,6.48
40.54,6.46
40.94,6.44
41.35,6.42
41.76,6.40
42.18,6.38
42.60,6.36
43.03,6.34
43.46,6.31
43.90,6.29
44.33,6.27
44.78,6.25
45.23,6.23
45.68,6.20
46.13,6.18
46.60,6.17
47.06,6.15
47.53,6.13
48.01,6.10
48.49,6.08
48.97,6.05
49.46,6.03
49.96,6.00
50.46,5.98
50.96,5.96
51.47,5.95
51.99,5.94
52.51,5.92
53.03,5.89
53.56,5.84
54.10,5.81
54.64,5.79
55.18,5.78
55.74,5.74
56.29,5.72
56.86,5.70
57.42,5.67
58.00,5.63
58.58,5.58
59.16,5.55
59.76,5.54
60.35,5.53
60.96,5.51
61.57,5.47
62.18,5.45
62.80,5.42
63.43,5.40
64.07,5.37
64.71,5.34
65.35,5.31
66.01,5.27
66.67,5.25
67.33,5.23
68.01,5.20
68.69,5.17
69.37,5.14
70.07,5.11
70.77,5.08
71.48,5.05
72.19,5.02
72.91,4.99
73.64,4.97
74.38,4.94
75.12,4.91
75.87,4.87
76.63,4.84
77.40,4.81
78.17,4.79
78.95,4.76
79.74,4.72
80.54,4.69
81.35,4.66
82.16,4.63
82.98,4.60
83.81,4.57
84.65,4.53
85.50,4.50
86.35,4.47
87.22,4.44
88.09,4.41
88.97,4.38
89.86,4.35
90.76,4.31
91.66,4.28
92.58,4.25
93.51,4.22
94.44,4.18
95.39,4.15
96.34,4.12
97.30,4.08
98.28,4.05
99.26,4.02
100.25,3.98
101.25,3.95
102.27,3.91
103.29,3.88
104.32,3.85
105.37,3.81
106.42,3.78
107.48,3.74
108.56,3.71
109.64,3.67
110.74,3.64
111.85,3.61
112.97,3.57
114.10,3.54
115.24,3.50
116.39,3.47
117.55,3.43
118.73,3.40
119.92,3.37
121.12,3.33
122.33,3.29
123.55,3.25
124.79,3.22
126.03,3.18
127.29,3.15
128.57,3.11
129.85,3.07
131.15,3.04
132.46,3.00
133.79,2.96
135.12,2.93
136.48,2.89
137.84,2.85
139.22,2.81
140.61,2.77
142.02,2.75
143.44,2.72
144.87,2.69
146.32,2.65
147.78,2.60
149.26,2.57
150.75,2.54
152.26,2.50
153.78,2.46
155.32,2.43
156.88,2.39
158.44,2.35
160.03,2.31
161.63,2.28
163.24,2.24
164.88,2.19
166.53,2.15
168.19,2.10
169.87,2.06
171.57,2.02
173.29,1.98
175.02,1.94
176.77,1.90
178.54,1.85
180.32,1.80
182.13,1.78
183.95,1.76
185.79,1.75
187.65,1.74
