frequency,raw
20.00,7.56
20.20,7.61
20.40,7.66
20.61,7.71
20.81,7.76
21.02,7.80
21.23,7.84
21.44,7.88
21.66,7.92
21.87,7.97
22.09,8.01
22.31,8.05
22.54,8.09
22.76,8.14
22.99,8.17
23.22,8.20
23.45,8.23
23.69,8.25
23.92,8.26
24.16,8.27
24.40,8.28
24.65,8.29
24.89,8.30
25.14,8.31
25.39,8.33
25.65,8.35
25.91,8.38
26.16,8.40
26.43,8.43
26.69,8.46
26.96,8.50
27.23,8.53
27.50,8.56
27.77,8.58
28.05,8.61
28.33,8.62
28.62,8.64
28.90,8.65
29.19,8.66
29.48,8.68
29.78,8.70
30.08,8.72
30.38,8.74
30.68,8.76
30.99,8.77
31.30,8.79
31.61,8.80
31.93,8.81
32.24,8.82
32.57,8.83
32.89,8.84
33.22,8.84
33.55,8.85
33.89,8.86
34.23,8.87
34.57,8.89
34.92,8.90
35.27,8.91
35.62,8.92
35.97,8.94
36.33,8.95
36.70,8.96
37.06,8.97
37.43,8.97
37.81,8.98
38.19,8.98
38.57,8.99
38.95,8.99
39.34,9.00
39.74,9.00
40.14,8.99
40.54,8.98
40.94,8.98
41.35,8.98
41.76,8.99
42.18,9.00
42.60,9.01
43.03,9.01
43.46,9.01
43.90,9.01
44.33,9.00
44.78,9.00
45.23,9.00
45.68,9.00
46.13,9.00
46.60,9.00
47.06,8.99
47.53,8.99
48.01,8.98
48.49,8.98
48.97,8.97
49.46,8.96
49.96,8.96
50.46,8.95
50.96,8.94
51.47,8.93
51.99,8.91
52.51,8.88
53.03,8.86
53.56,8.86
54.10,8.86
54.64,8.86
55.18,8.85
55.74,8.84
56.29,8.83
56.86,8.82
57.42,8.81
58.00,8.79
58.58,8.78
59.16,8.77
59.76,8.75
60.35,8.73
60.96,8.72
61.57,8.71
62.18,8.70
62.80,8.68
63.43,8.66
64.07,8.64
64.71,8.62
65.35,8.60
66.01,8.58
66.67,8.56
67.33,8.54
68.01,8.52
68.69,8.49
69.37,8.46
70.07,8.44
70.77,8.42
71.48,8.39
72.19,8.37
72.91,8.34
73.64,8.31
74.38,8.29
75.12,8.26
75.87,8.24
76.63,8.21
77.40,8.17
78.17,8.14
78.95,8.11
79.74,8.08
80.54,8.05
81.35,8.02
82.16,7.99
82.98,7.95
83.81,7.92
84.65,7.89
85.50,7.86
86.35,7.82
87.22,7.79
88.09,7.75
88.97,7.71
89.86,7.68
90.76,7.64
91.66,7.60
92.58,7.56
93.51,7.52
94.44,7.48
95.39,7.44
96.34,7.40
97.30,7.36
98.28,7.31
99.26,7.27
100.25,7.23
101.25,7.18
102.27,7.14
103.29,7.09
104.32,7.04
105.37,6.99
106.42,6.94
107.48,6.89
