frequency,raw
20.00,1.02
20.20,1.07
20.40,1.13
20.61,1.19
20.81,1.26
21.02,1.33
21.23,1.41
21.44,1.47
21.66,1.53
21.87,1.59
22.09,1.63
22.31,1.68
22.54,1.72
22.76,1.76
22.99,1.80
23.22,1.85
23.45,1.90
23.69,1.95
23.92,2.00
24.16,2.04
24.40,2.08
24.65,2.11
24.89,2.14
25.14,2.17
25.39,2.21
25.65,2.26
25.91,2.30
26.16,2.35
26.43,2.40
26.69,2.44
26.96,2.48
27.23,2.51
27.50,2.54
27.77,2.58
28.05,2.61
28.33,2.65
28.62,2.69
28.90,2.73
29.19,2.77
29.48,2.81
29.78,2.84
30.08,2.88
30.38,2.91
30.68,2.94
30.99,2.98
31.30,3.01
31.61,3.03
31.93,3.06
32.24,3.09
32.57,3.12
32.89,3.15
33.22,3.18
33.55,3.22
33.89,3.25
34.23,3.28
34.57,3.31
34.92,3.33
35.27,3.35
35.62,3.38
35.97,3.40
36.33,3.43
36.70,3.45
37.06,3.48
37.43,3.50
37.81,3.52
38.19,3.54
38.57,3.57
38.95,3.59
39.34,3.61
39.74,3.63
40.14,3.65
40.54,3.67
40.94,3.70
41.35,3.72
41.76,3.75
42.18,3.78
42.60,3.80
43.03,3.81
43.46,3.82
43.90,3.83
44.33,3.85
44.78,3.87
45.23,3.89
45.68,3.91
46.13,3.94
46.60,3.96
47.06,3.99
47.53,4.00
48.01,3.99
48.49,3.98
48.97,3.98
49.46,3.99
49.96,4.03
50.46,4.07
50.96,4.11
51.47,4.12
51.99,4.12
52.51,4.12
53.03,4.13
53.56,4.16
54.10,4.17
54.64,4.18
55.18,4.19
55.74,4.21
56.29,4.23
56.86,4.23
57.42,4.24
58.00,4.24
58.58,4.24
59.16,4.24
59.76,4.24
60.35,4.26
60.96,4.29
61.57,4.31
62.18,4.32
62.80,4.32
63.43,4.32
64.07,4.33
64.71,4.34
65.35,4.35
66.01,4.36
66.67,4.36
67.33,4.37
68.01,4.37
68.69,4.37
69.37,4.38
70.07,4.40
70.77,4.40
71.48,4.40
72.19,4.41
72.91,4.41
73.64,4.41
74.38,4.41
75.12,4.42
75.87,4.42
76.63,4.42
77.40,4.42
78.17,4.43
78.95,4.43
79.74,4.44
80.54,4.44
81.35,4.44
82.16,4.44
82.98,4.44
83.81,4.44
84.65,4.44
85.50,4.45
86.35,4.45
87.22,4.45
88.09,4.45
88.97,4.45
89.86,4.45
90.76,4.45
91.66,4.44
92.58,4.44
93.51,4.44
94.44,4.44
95.39,4.44
96.34,4.44
97.30,4.43
98.28,4.43
99.26,4.43
100.25,4.42
101.25,4.42
102.27,4.42
103.29,4.41
104.32,4.41
105.37,4.40
106.42,4.40
107.48,4.40
108.56,4.39
109.64,4.38
110.74,4.38
111.85,4.37
112.97,4.37
114.10,4.36
115.24,4.35
116.39,4.35
117.55,4.34
118.73,4.33
119.92,4.32
121.12,4.31
122.33,4.31
123.55,4.30
124.79,4.29
126.03,4.28
127.29,4.27
128.57,4.26
129.85,4.25
131.15,4.24
132.46,4.23
133.79,4.22
135.12,4.21
136.48,4.20
137.84,4.19
139.22,4.18
140.61,4.16
142.02,4.15
143.44,4.14
144.87,4.13
146.32,4.11
147.78,4.10
149.26,4.08
150.75,4.07
152.26,4.05
153.78,4.04
155.32,4.02
156.88,4.00
158.44,3.99
160.03,3.96
161.63,3.95
163.24,3.93
164.88,3.91
166.53,3.89
168.19,3.87
169.87,3.84
171.57,3.82
173.29,3.80
175.02,3.77
176.77,3.75
178.54,3.72
180.32,3.69
182.13,3.67
183.95,3.65
185.79,3.64
187.65,3.62
189.52,3.61
191.42,3.59
193.33,3.58
195.27,3.56
197.22,3.55
199.19,3.53
201.18,3.52
203.19,3.51
205.23,3.50
207.28,3.49
209.35,3.48
211.44,3.46
213.56,3.45
215.69,3.43
217.85,3.41
220.03,3.39
222.23,3.36
224.45,3.34
226.70,3.31
228.96,3.29
231.25,3.26
233.57,3.24
235.90,3.21
238.26,3.19
240.64,3.16
243.05,3.13
245.48,3.10
247.93,3.07
250.41,3.05
252.92,3.02
255.45,2.99
258.00,2.96
260.58,2.93
263.19,2.90
265.82,2.87
268.48,2.84
271.16,2.81
273.87,2.78
276.61,2.75
279.38,2.72
282.17,2.69
284.99,2.65
287.84,2.62
290.72,2.59
293.63,2.56
296.57,2.53
299.53,2.49
302.53,2.46
305.55,2.43
308.61,2.39
311.69,2.36
314.81,2.33
317.96,2.29
321.14,2.26
324.35,2.23
327.59,2.20
330.87,2.16
334.18,2.13
337.52,2.09
340.90,2.05
344.30,2.02
347.75,1.98
351.23,1.94
354.74,1.91
358.28,1.87
361.87,1.83
365.49,1.79
369.14,1.76
372.83,1.73
376.56,1.69
380.33,1.66
384.13,1.62
387.97,1.59
391.85,1.56
395.77,1.52
399.73,1.49
403.72,1.46
407.76,1.43
411.84,1.39
415.96,1.36
420.12,1.32
424.32,1.29
428.56,1.25
432.85,1.21
437.18,1.18
441.55,1.14
445.96,1.11
450.42,1.07
454.93,1.03
459.48,1.00
464.07,0.96
468.71,0.93
473.40,0.89
478.13,0.85
482.91,0.82
487.74,0.78
492.62,0.75
497.55,0.71
502.52,0.68
507.55,0.64
512.62,0.61
517.75,0.57
522.93,0.54
528.16,0.50
533.44,0.47
538.77,0.43
544.16,0.40
549.60,0.37
555.10,0.33
560.65,0.30
566.25,0.27
571.92,0.23
577.64,0.20
583.41,0.17
589.25,0.14
595.14,0.11
601.09,0.08
607.10,0.04
613.17,0.01
619.30,-0.02
625.50,-0.04
631.75,-0.07
638.07,-0.10
644.45,-0.13
650.89,-0.16
657.40,-0.18
663.98,-0.21
670.62,-0.23
677.32,-0.26
684.10,-0.28
690.94,-0.30
697.85,-0.33
704.83,-0.35
711.87,-0.37
718.99,-0.39
726.18,-0.41
733.44,-0.43
740.78,-0.44
748.19,-0.46
755.67,-0.48
763.23,-0.50
770.86,-0.51
778.57,-0.53
786.35,-0.55
794.22,-0.56
802.16,-0.58
810.18,-0.59
818.28,-0.60
826.46,-0.60
834.73,-0.59
843.08,-0.59
851.51,-0.58
860.02,-0.56
868.62,-0.55
877.31,-0.53
886.08,-0.51
894.94,-0.48
903.89,-0.45
912.93,-0.42
922.06,-0.39
931.28,-0.35
940.59,-0.31
950.00,-0.27
959.50,-0.22
969.09,-0.17
978.78,-0.12
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.33
1059.88,0.41
1070.48,0.49
1081.19,0.57
1092.00,0.66
1102.92,0.74
1113.95,0.83
1125.09,0.92
1136.34,1.01
1147.70,1.10
1159.18,1.20
1170.77,1.29
1182.48,1.38
1194.30,1.47
1206.25,1.57
1218.31,1.66
1230.49,1.75
1242.80,1.85
1255.22,1.94
1267.78,2.03
1280.45,2.12
1293.26,2.21
1306.19,2.30
1319.25,2.39
1332.45,2.48
1345.77,2.56
1359.23,2.65
1372.82,2.74
1386.55,2.83
1400.41,2.92
1414.42,3.01
1428.56,3.10
1442.85,3.19
1457.28,3.28
1471.85,3.37
1486.57,3.47
1501.43,3.57
1516.45,3.67
1531.61,3.77
1546.93,3.88
1562.40,3.99
1578.02,4.10
1593.80,4.22
1609.74,4.34
1625.84,4.46
1642.10,4.59
1658.52,4.73
1675.10,4.87
1691.85,5.01
1708.77,5.16
1725.86,5.30
1743.12,5.45
1760.55,5.60
1778.15,5.74
1795.94,5.88
1813.90,6.01
1832.03,6.13
1850.36,6.23
1868.86,6.32
1887.55,6.40
1906.42,6.47
1925.49,6.52
1944.74,6.56
1964.19,6.59
1983.83,6.60
2003.67,6.61
2023.71,6.60
2043.94,6.59
2064.38,6.56
2085.03,6.53
2105.88,6.49
2126.94,6.44
2148.20,6.38
2169.69,6.32
2191.38,6.25
2213.30,6.17
2235.43,6.08
2257.78,5.99
2280.36,5.90
2303.17,5.80
2326.20,5.69
2349.46,5.59
2372.95,5.47
2396.68,5.36
2420.65,5.24
2444.86,5.12
2469.31,5.00
2494.00,4.88
2518.94,4.76
2544.13,4.63
2569.57,4.51
2595.27,4.39
2621.22,4.27
2647.43,4.15
2673.90,4.03
2700.64,3.92
2727.65,3.81
2754.93,3.70
2782.48,3.59
2810.30,3.49
2838.40,3.40
2866.79,3.31
2895.46,3.22
2924.41,3.13
2953.65,3.05
2983.19,2.98
3013.02,2.91
3043.15,2.84
3073.58,2.78
3104.32,2.73
3135.36,2.68
3166.72,2.64
3198.38,2.60
3230.37,2.57
3262.67,2.54
3295.30,2.52
3328.25,2.50
3361.53,2.49
3395.15,2.48
3429.10,2.48
3463.39,2.48
3498.03,2.49
3533.01,2.51
3568.34,2.52
3604.02,2.54
3640.06,2.57
3676.46,2.60
3713.22,2.64
3750.36,2.68
3787.86,2.72
3825.74,2.77
3864.00,2.83
3902.64,2.89
3941.66,2.95
3981.08,3.03
4020.89,3.11
4061.10,3.19
4101.71,3.29
4142.73,3.40
4184.15,3.52
4226.00,3.66
4268.26,3.80
4310.94,3.96
4354.05,4.13
4397.59,4.32
4441.56,4.51
4485.98,4.71
4530.84,4.91
4576.15,5.12
4621.91,5.33
4668.13,5.54
4714.81,5.75
4761.96,5.96
4809.58,6.16
4857.67,6.35
4906.25,6.51
4955.31,6.65
5004.87,6.77
5054.91,6.83
5105.46,6.86
5156.52,6.84
5208.08,6.78
5260.16,6.66
5312.77,6.52
5365.89,6.34
5419.55,6.14
5473.75,5.92
5528.49,5.69
5583.77,5.45
5639.61,5.23
5696.00,5.01
5752.96,4.80
5810.49,4.60
5868.60,4.43
5927.28,4.27
5986.56,4.12
6046.42,3.99
6106.89,3.88
6167.96,3.77
6229.64,3.68
6291.93,3.59
6354.85,3.51
6418.40,3.44
6482.58,3.38
6547.41,3.33
6612.88,3.29
6679.01,3.27
6745.80,3.27
6813.26,3.28
6881.39,3.33
6950.21,3.41
7019.71,3.52
7089.91,3.67
7160.81,3.88
7232.41,4.13
7304.74,4.42
7377.79,4.78
7451.56,5.19
7526.08,5.66
7601.34,6.18
7677.35,6.77
7754.13,7.38
7831.67,7.97
7909.98,8.46
7989.08,8.81
8068.98,8.74
8149.67,8.41
8231.16,7.72
8313.47,6.80
8396.61,5.78
8480.57,4.68
8565.38,3.59
8651.03,2.52
8737.54,1.48
8824.92,0.49
8913.17,-0.43
9002.30,-1.31
9092.32,-2.11
9183.25,-2.85
9275.08,-3.55
9367.83,-4.19
9461.51,-4.77
9556.12,-5.30
9651.68,-5.77
9748.20,-6.18
9845.68,-6.52
9944.14,-6.82
10043.58,-7.06
10144.02,-7.26
10245.46,-7.36
10347.91,-7.42
10451.39,-7.43
10555.91,-7.37
10661.46,-7.29
10768.08,-7.20
10875.76,-7.12
10984.52,-7.10
11094.36,-7.09
11205.31,-7.10
11317.36,-7.10
11430.53,-7.07
11544.84,-6.96
11660.29,-6.78
11776.89,-6.55
11894.66,-6.15
12013.60,-5.72
12133.74,-5.19
12255.08,-4.49
12377.63,-3.67
12501.41,-2.68
12626.42,-1.43
12752.68,0.03
12880.21,1.46
13009.01,2.84
13139.10,4.23
13270.49,4.02
13403.20,3.19
13537.23,1.65
13672.60,0.20
13809.33,-1.16
13947.42,-2.20
14086.90,-3.00
14227.77,-3.66
14370.04,-4.14
14513.74,-4.41
14658.88,-4.43
14805.47,-4.36
14953.52,-4.14
15103.06,-3.93
15254.09,-3.70
15406.63,-3.00
15560.70,-2.17
15716.30,-1.12
15873.47,-0.92
16032.20,-1.28
16192.52,-2.95
16354.45,-4.80
16517.99,-6.71
16683.17,-8.24
16850.01,-9.60
17018.51,-10.83
17188.69,-11.89
17360.58,-12.80
17534.18,-13.59
17709.53,-14.18
17886.62,-14.61
18065.49,-14.93
18246.14,-15.13
18428.60,-15.24
18612.89,-15.25
18799.02,-15.17
18987.01,-14.96
19176.88,-14.64
19368.65,-14.49
19562.33,-14.75
19757.96,-15.66
19955.54,-16.57
