frequency,raw
20.00,11.72
20.20,11.71
20.40,11.71
20.61,11.70
20.81,11.69
21.02,11.69
21.23,11.68
21.44,11.68
21.66,11.69
21.87,11.70
22.09,11.70
22.31,11.71
22.54,11.71
22.76,11.70
22.99,11.68
23.22,11.66
23.45,11.63
23.69,11.60
23.92,11.58
24.16,11.57
24.40,11.57
24.65,11.57
24.89,11.58
25.14,11.60
25.39,11.61
25.65,11.61
25.91,11.60
26.16,11.58
26.43,11.55
26.69,11.52
26.96,11.49
27.23,11.47
27.50,11.44
27.77,11.43
28.05,11.41
28.33,11.40
28.62,11.39
28.90,11.38
29.19,11.37
29.48,11.35
29.78,11.34
30.08,11.32
30.38,11.30
30.68,11.27
30.99,11.25
31.30,11.22
31.61,11.19
31.93,11.17
32.24,11.14
32.57,11.12
32.89,11.09
33.22,11.07
33.55,11.05
33.89,11.03
34.23,11.01
34.57,10.99
34.92,10.96
35.27,10.93
35.62,10.90
35.97,10.87
36.33,10.84
36.70,10.82
37.06,10.79
37.43,10.76
37.81,10.73
38.19,10.69
38.57,10.66
38.95,10.63
39.34,10.61
39.74,10.57
40.14,10.54
40.54,10.50
40.94,10.46
41.35,10.43
41.76,10.39
42.18,10.36
42.60,10.34
43.03,10.31
43.46,10.27
43.90,10.23
44.33,10.19
44.78,10.16
45.23,10.12
45.68,10.08
46.13,10.05
46.60,10.01
47.06,9.97
47.53,9.93
48.01,9.89
48.49,9.85
48.97,9.81
49.46,9.78
49.96,9.74
50.46,9.69
50.96,9.64
51.47,9.60
51.99,9.56
52.51,9.52
53.03,9.47
53.56,9.42
54.10,9.38
54.64,9.33
55.18,9.30
55.74,9.26
56.29,9.22
56.86,9.17
57.42,9.12
58.00,9.05
58.58,9.02
59.16,8.99
59.76,8.96
60.35,8.90
60.96,8.84
61.57,8.78
62.18,8.74
62.80,8.68
63.43,8.63
64.07,8.58
64.71,8.54
65.35,8.49
66.01,8.44
66.67,8.39
67.33,8.34
68.01,8.30
68.69,8.25
69.37,8.20
70.07,8.15
70.77,8.09
71.48,8.04
72.19,7.99
72.91,7.94
73.64,7.88
74.38,7.82
75.12,7.77
75.87,7.73
76.63,7.68
77.40,7.63
78.17,7.57
78.95,7.51
79.74,7.46
80.54,7.41
81.35,7.35
82.16,7.30
82.98,7.25
83.81,7.21
84.65,7.15
85.50,7.09
86.35,7.03
87.22,6.99
88.09,6.94
88.97,6.89
89.86,6.83
90.76,6.77
91.66,6.72
92.58,6.67
93.51,6.62
94.44,6.57
95.39,6.51
96.34,6.45
97.30,6.39
98.28,6.34
99.26,6.29
100.25,6.24
101.25,6.19
102.27,6.13
103.29,6.08
104.32,6.02
105.37,5.97
106.42,5.92
107.48,5.87
108.56,5.81
109.64,5.76
110.74,5.70
111.85,5.66
112.97,5.60
114.10,5.55
115.24,5.49
116.39,5.43
117.55,5.38
118.73,5.32
119.92,5.26
121.12,5.21
122.33,5.18
123.55,5.13
124.79,5.07
126.03,5.02
127.29,4.97
128.57,4.92
129.85,4.87
131.15,4.81
132.46,4.76
133.79,4.73
135.12,4.67
136.48,4.61
137.84,4.55
139.22,4.50
140.61,4.44
142.02,4.40
143.44,4.35
144.87,4.31
146.32,4.25
147.78,4.20
149.26,4.16
150.75,4.12
152.26,4.05
153.78,4.00
155.32,3.96
156.88,3.91
158.44,3.86
160.03,3.79
161.63,3.74
163.24,3.69
164.88,3.66
166.53,3.61
168.19,3.57
169.87,3.53
171.57,3.48
173.29,3.43
175.02,3.38
176.77,3.33
178.54,3.28
180.32,3.23
182.13,3.18
183.95,3.14
185.79,3.10
187.65,3.06
189.52,3.00
191.42,2.96
193.33,2.91
195.27,2.86
197.22,2.84
199.19,2.78
201.18,2.74
203.19,2.70
205.23,2.66
207.28,2.61
209.35,2.56
211.44,2.52
213.56,2.50
215.69,2.47
217.85,2.43
220.03,2.39
222.23,2.35
224.45,2.31
226.70,2.27
228.96,2.23
231.25,2.19
233.57,2.15
235.90,2.12
238.26,2.11
240.64,2.08
243.05,2.00
245.48,1.97
247.93,1.94
250.41,1.92
252.92,1.89
255.45,1.87
258.00,1.84
260.58,1.79
263.19,1.75
265.82,1.71
268.48,1.69
271.16,1.64
273.87,1.61
276.61,1.58
279.38,1.54
282.17,1.51
284.99,1.47
287.84,1.43
290.72,1.40
293.63,1.36
296.57,1.32
299.53,1.29
302.53,1.26
305.55,1.22
308.61,1.18
311.69,1.15
314.81,1.11
317.96,1.07
321.14,1.03
324.35,0.99
327.59,0.96
330.87,0.93
334.18,0.90
337.52,0.86
340.90,0.83
344.30,0.79
347.75,0.76
351.23,0.73
354.74,0.69
358.28,0.66
361.87,0.63
365.49,0.60
369.14,0.57
372.83,0.54
376.56,0.51
380.33,0.48
384.13,0.45
387.97,0.42
391.85,0.39
395.77,0.37
399.73,0.34
403.72,0.31
407.76,0.29
411.84,0.26
415.96,0.23
420.12,0.20
424.32,0.17
428.56,0.14
432.85,0.11
437.18,0.09
441.55,0.06
445.96,0.03
450.42,0.00
454.93,-0.03
459.48,-0.05
464.07,-0.07
468.71,-0.10
473.40,-0.12
478.13,-0.15
482.91,-0.17
487.74,-0.20
492.62,-0.22
497.55,-0.24
502.52,-0.26
507.55,-0.28
512.62,-0.30
517.75,-0.32
522.93,-0.34
528.16,-0.36
533.44,-0.38
538.77,-0.40
544.16,-0.43
549.60,-0.45
555.10,-0.47
560.65,-0.49
566.25,-0.50
571.92,-0.52
577.64,-0.54
583.41,-0.56
589.25,-0.58
595.14,-0.60
601.09,-0.61
607.10,-0.64
613.17,-0.65
619.30,-0.67
625.50,-0.68
631.75,-0.70
638.07,-0.72
644.45,-0.73
650.89,-0.75
657.40,-0.77
663.98,-0.78
670.62,-0.80
677.32,-0.81
684.10,-0.82
690.94,-0.83
697.85,-0.83
704.83,-0.84
711.87,-0.85
718.99,-0.86
726.18,-0.86
733.44,-0.87
740.78,-0.87
748.19,-0.88
755.67,-0.88
763.23,-0.88
770.86,-0.88
778.57,-0.88
786.35,-0.87
794.22,-0.87
802.16,-0.86
810.18,-0.85
818.28,-0.83
826.46,-0.82
834.73,-0.81
843.08,-0.79
851.51,-0.76
860.02,-0.74
868.62,-0.71
877.31,-0.68
886.08,-0.65
894.94,-0.61
903.89,-0.57
912.93,-0.53
922.06,-0.48
931.28,-0.44
940.59,-0.38
950.00,-0.33
959.50,-0.27
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.30
1049.39,0.38
1059.88,0.47
1070.48,0.56
1081.19,0.65
1092.00,0.75
1102.92,0.84
1113.95,0.93
1125.09,1.03
1136.34,1.12
1147.70,1.22
1159.18,1.32
1170.77,1.41
1182.48,1.51
1194.30,1.60
1206.25,1.69
1218.31,1.79
1230.49,1.88
1242.80,1.97
1255.22,2.05
1267.78,2.14
1280.45,2.22
1293.26,2.30
1306.19,2.38
1319.25,2.45
1332.45,2.53
1345.77,2.61
1359.23,2.68
1372.82,2.75
1386.55,2.82
1400.41,2.88
1414.42,2.95
1428.56,3.02
1442.85,3.09
1457.28,3.15
1471.85,3.21
1486.57,3.27
1501.43,3.34
1516.45,3.40
1531.61,3.47
1546.93,3.53
1562.40,3.59
1578.02,3.66
1593.80,3.72
1609.74,3.78
1625.84,3.85
1642.10,3.91
1658.52,3.97
1675.10,4.04
1691.85,4.11
1708.77,4.18
1725.86,4.25
1743.12,4.32
1760.55,4.39
1778.15,4.46
1795.94,4.53
1813.90,4.61
1832.03,4.68
1850.36,4.76
1868.86,4.84
1887.55,4.92
1906.42,5.00
1925.49,5.09
1944.74,5.17
1964.19,5.25
1983.83,5.34
2003.67,5.43
2023.71,5.51
2043.94,5.61
2064.38,5.71
2085.03,5.80
2105.88,5.89
2126.94,5.99
2148.20,6.08
2169.69,6.18
2191.38,6.28
2213.30,6.38
2235.43,6.48
2257.78,6.58
2280.36,6.68
2303.17,6.78
2326.20,6.88
2349.46,6.98
2372.95,7.09
2396.68,7.19
2420.65,7.30
2444.86,7.40
2469.31,7.50
2494.00,7.60
2518.94,7.71
2544.13,7.81
2569.57,7.91
2595.27,8.00
2621.22,8.10
2647.43,8.20
2673.90,8.30
2700.64,8.39
2727.65,8.48
2754.93,8.57
2782.48,8.66
2810.30,8.75
2838.40,8.83
2866.79,8.92
2895.46,9.00
2924.41,9.07
2953.65,9.15
2983.19,9.22
3013.02,9.28
3043.15,9.35
3073.58,9.40
3104.32,9.46
3135.36,9.51
3166.72,9.56
3198.38,9.60
3230.37,9.63
3262.67,9.66
3295.30,9.68
3328.25,9.70
3361.53,9.70
