frequency,raw
20.00,7.14
20.20,7.18
20.40,7.22
20.61,7.25
20.81,7.29
21.02,7.33
21.23,7.36
21.44,7.40
21.66,7.44
21.87,7.47
22.09,7.51
22.31,7.54
22.54,7.57
22.76,7.60
22.99,7.63
23.22,7.66
23.45,7.69
23.69,7.73
23.92,7.76
24.16,7.80
24.40,7.83
24.65,7.86
24.89,7.89
25.14,7.92
25.39,7.95
25.65,7.99
25.91,8.03
26.16,8.06
26.43,8.10
26.69,8.13
26.96,8.16
27.23,8.19
27.50,8.21
27.77,8.24
28.05,8.27
28.33,8.30
28.62,8.33
28.90,8.36
29.19,8.39
29.48,8.42
29.78,8.45
30.08,8.47
30.38,8.50
30.68,8.53
30.99,8.56
31.30,8.59
31.61,8.62
31.93,8.65
32.24,8.68
32.57,8.71
32.89,8.73
33.22,8.76
33.55,8.79
33.89,8.82
34.23,8.85
34.57,8.87
34.92,8.89
35.27,8.91
35.62,8.93
35.97,8.96
36.33,8.98
36.70,9.00
37.06,9.03
37.43,9.05
37.81,9.08
38.19,9.11
38.57,9.13
38.95,9.15
39.34,9.16
39.74,9.18
40.14,9.20
40.54,9.23
40.94,9.25
41.35,9.28
41.76,9.30
42.18,9.31
42.60,9.33
43.03,9.34
43.46,9.36
43.90,9.38
44.33,9.40
44.78,9.41
45.23,9.43
45.68,9.44
46.13,9.46
46.60,9.47
47.06,9.49
47.53,9.50
48.01,9.52
48.49,9.53
48.97,9.55
49.46,9.56
49.96,9.56
50.46,9.57
50.96,9.58
51.47,9.60
51.99,9.61
52.51,9.62
53.03,9.63
53.56,9.64
54.10,9.65
54.64,9.65
55.18,9.66
55.74,9.66
56.29,9.67
56.86,9.67
57.42,9.68
58.00,9.68
58.58,9.69
59.16,9.69
59.76,9.69
60.35,9.69
60.96,9.69
61.57,9.69
62.18,9.69
62.80,9.69
63.43,9.69
64.07,9.69
64.71,9.68
65.35,9.68
66.01,9.68
66.67,9.67
67.33,9.67
68.01,9.66
68.69,9.65
69.37,9.65
70.07,9.63
70.77,9.63
71.48,9.62
72.19,9.61
72.91,9.60
73.64,9.59
74.38,9.58
75.12,9.57
75.87,9.55
76.63,9.53
