frequency,raw
20.00,3.09
20.20,3.12
20.40,3.16
20.61,3.20
20.81,3.23
21.02,3.26
21.23,3.29
21.44,3.31
21.66,3.34
21.87,3.37
22.09,3.39
22.31,3.42
22.54,3.45
22.76,3.49
22.99,3.53
23.22,3.57
23.45,3.61
23.69,3.65
23.92,3.69
24.16,3.73
24.40,3.77
24.65,3.80
24.89,3.84
25.14,3.87
25.39,3.89
25.65,3.92
25.91,3.96
26.16,3.99
26.43,4.02
26.69,4.06
26.96,4.09
27.23,4.12
27.50,4.15
27.77,4.18
28.05,4.20
28.33,4.23
28.62,4.26
28.90,4.29
29.19,4.32
29.48,4.35
29.78,4.39
30.08,4.42
30.38,4.45
30.68,4.47
30.99,4.49
31.30,4.52
31.61,4.54
31.93,4.57
32.24,4.60
32.57,4.63
32.89,4.66
33.22,4.68
33.55,4.71
33.89,4.73
34.23,4.76
34.57,4.78
34.92,4.81
35.27,4.83
35.62,4.86
35.97,4.88
36.33,4.90
36.70,4.92
37.06,4.94
37.43,4.96
37.81,4.99
38.19,5.01
38.57,5.04
38.95,5.06
39.34,5.08
39.74,5.10
40.14,5.12
40.54,5.13
40.94,5.15
41.35,5.17
41.76,5.19
42.18,5.21
42.60,5.24
43.03,5.25
43.46,5.27
43.90,5.28
44.33,5.29
44.78,5.30
45.23,5.32
45.68,5.34
46.13,5.35
46.60,5.37
47.06,5.39
47.53,5.41
48.01,5.42
48.49,5.43
48.97,5.43
49.46,5.42
49.96,5.42
50.46,5.44
50.96,5.47
51.47,5.49
51.99,5.49
52.51,5.50
53.03,5.50
53.56,5.51
54.10,5.52
54.64,5.53
55.18,5.54
55.74,5.54
56.29,5.54
56.86,5.54
57.42,5.55
58.00,5.55
58.58,5.55
59.16,5.56
59.76,5.59
60.35,5.59
60.96,5.58
61.57,5.54
62.18,5.54
62.80,5.55
63.43,5.55
64.07,5.54
64.71,5.53
65.35,5.53
66.01,5.52
66.67,5.52
67.33,5.51
68.01,5.50
68.69,5.49
69.37,5.48
70.07,5.48
70.77,5.46
71.48,5.45
72.19,5.44
72.91,5.42
73.64,5.41
