frequency,raw
20.00,10.73
20.20,10.76
20.40,10.79
20.61,10.83
20.81,10.85
21.02,10.87
21.23,10.89
21.44,10.91
21.66,10.92
21.87,10.94
22.09,10.96
22.31,10.98
22.54,11.00
22.76,11.02
22.99,11.04
23.22,11.06
23.45,11.09
23.69,11.11
23.92,11.12
24.16,11.14
24.40,11.16
24.65,11.17
24.89,11.19
25.14,11.21
25.39,11.23
25.65,11.25
25.91,11.27
26.16,11.29
26.43,11.30
26.69,11.32
26.96,11.34
27.23,11.35
27.50,11.37
27.77,11.38
28.05,11.40
28.33,11.42
28.62,11.43
28.90,11.45
29.19,11.46
29.48,11.47
29.78,11.48
30.08,11.49
30.38,11.51
30.68,11.52
30.99,11.54
31.30,11.56
31.61,11.57
31.93,11.58
32.24,11.59
32.57,11.60
32.89,11.61
33.22,11.62
33.55,11.64
33.89,11.65
34.23,11.65
34.57,11.66
34.92,11.67
35.27,11.67
35.62,11.68
35.97,11.68
36.33,11.69
36.70,11.70
37.06,11.71
37.43,11.72
37.81,11.72
38.19,11.73
38.57,11.73
38.95,11.73
39.34,11.74
39.74,11.74
40.14,11.74
40.54,11.74
40.94,11.74
41.35,11.74
41.76,11.74
42.18,11.74
42.60,11.75
43.03,11.75
43.46,11.75
43.90,11.74
44.33,11.74
44.78,11.73
45.23,11.73
45.68,11.73
46.13,11.72
46.60,11.72
47.06,11.72
47.53,11.71
48.01,11.70
48.49,11.70
48.97,11.69
49.46,11.68
49.96,11.68
50.46,11.67
50.96,11.65
51.47,11.64
51.99,11.63
52.51,11.62
53.03,11.61
53.56,11.60
54.10,11.58
54.64,11.57
55.18,11.56
55.74,11.54
56.29,11.53
56.86,11.51
57.42,11.49
58.00,11.47
58.58,11.47
59.16,11.47
59.76,11.48
60.35,11.46
60.96,11.41
61.57,11.35
62.18,11.33
62.80,11.32
63.43,11.29
64.07,11.26
64.71,11.24
65.35,11.22
66.01,11.20
66.67,11.17
67.33,11.14
68.01,11.11
68.69,11.08
69.37,11.05
70.07,11.02
70.77,10.99
71.48,10.96
72.19,10.93
72.91,10.90
73.64,10.86
74.38,10.82
75.12,10.79
