frequency,raw
20.00,6.73
20.20,6.75
20.40,6.77
20.61,6.79
20.81,6.81
21.02,6.82
21.23,6.83
21.44,6.85
21.66,6.86
21.87,6.88
22.09,6.90
22.31,6.93
22.54,6.95
22.76,6.98
22.99,7.01
23.22,7.03
23.45,7.06
23.69,7.08
23.92,7.09
24.16,7.11
24.40,7.12
24.65,7.14
24.89,7.15
25.14,7.17
25.39,7.19
25.65,7.21
25.91,7.23
26.16,7.24
26.43,7.26
26.69,7.28
26.96,7.29
27.23,7.31
27.50,7.32
27.77,7.34
28.05,7.36
28.33,7.37
28.62,7.39
28.90,7.40
29.19,7.41
29.48,7.42
29.78,7.43
30.08,7.45
30.38,7.46
30.68,7.48
30.99,7.49
31.30,7.50
31.61,7.51
31.93,7.53
32.24,7.54
32.57,7.55
32.89,7.56
33.22,7.57
33.55,7.57
33.89,7.58
34.23,7.59
34.57,7.59
34.92,7.60
35.27,7.61
35.62,7.62
35.97,7.63
36.33,7.63
36.70,7.64
37.06,7.64
37.43,7.65
37.81,7.66
38.19,7.66
38.57,7.66
38.95,7.66
39.34,7.66
39.74,7.66
40.14,7.67
40.54,7.67
40.94,7.67
41.35,7.67
41.76,7.67
42.18,7.67
42.60,7.66
43.03,7.66
43.46,7.66
43.90,7.66
44.33,7.66
44.78,7.65
45.23,7.65
45.68,7.65
46.13,7.64
46.60,7.64
47.06,7.63
47.53,7.62
48.01,7.61
48.49,7.60
48.97,7.59
49.46,7.58
49.96,7.57
50.46,7.56
50.96,7.55
51.47,7.55
51.99,7.53
52.51,7.52
53.03,7.50
53.56,7.49
54.10,7.47
54.64,7.46
55.18,7.44
55.74,7.42
56.29,7.41
56.86,7.40
57.42,7.37
58.00,7.34
58.58,7.34
59.16,7.32
59.76,7.29
60.35,7.24
60.96,7.21
61.57,7.20
62.18,7.21
62.80,7.17
63.43,7.13
64.07,7.10
64.71,7.08
65.35,7.05
66.01,7.03
66.67,7.01
67.33,6.99
68.01,6.95
68.69,6.92
69.37,6.88
70.07,6.84
70.77,6.80
71.48,6.78
72.19,6.75
72.91,6.71
73.64,6.67
74.38,6.63
75.12,6.59
75.87,6.55
76.63,6.51
77.40,6.47
78.17,6.43
78.95,6.38
79.74,6.34
80.54,6.29
81.35,6.25
82.16,6.20
82.98,6.15
83.81,6.11
84.65,6.06
85.50,6.02
86.35,5.96
87.22,5.91
88.09,5.86
88.97,5.80
89.86,5.74
90.76,5.69
91.66,5.63
92.58,5.57
93.51,5.51
94.44,5.45
95.39,5.39
96.34,5.33
97.30,5.26
98.28,5.20
99.26,5.13
100.25,5.07
101.25,5.00
102.27,4.93
103.29,4.86
104.32,4.80
105.37,4.72
106.42,4.64
107.48,4.57
108.56,4.49
109.64,4.42
110.74,4.34
111.85,4.26
112.97,4.18
114.10,4.10
115.24,4.02
116.39,3.94
117.55,3.85
118.73,3.76
119.92,3.67
121.12,3.59
122.33,3.49
123.55,3.39
124.79,3.31
126.03,3.22
127.29,3.12
128.57,3.03
129.85,2.94
131.15,2.85
132.46,2.74
133.79,2.65
135.12,2.55
136.48,2.44
137.84,2.33
139.22,2.23
140.61,2.13
142.02,2.02
143.44,1.91
144.87,1.81
146.32,1.69
147.78,1.58
149.26,1.46
150.75,1.34
152.26,1.23
153.78,1.11
155.32,0.99
156.88,0.87
158.44,0.75
160.03,0.64
161.63,0.48
163.24,0.36
164.88,0.27
166.53,0.14
168.19,0.01
169.87,-0.11
171.57,-0.24
173.29,-0.36
175.02,-0.50
176.77,-0.62
178.54,-0.75
180.32,-0.86
182.13,-0.99
183.95,-1.12
185.79,-1.25
187.65,-1.38
189.52,-1.50
191.42,-1.63
193.33,-1.76
195.27,-1.88
197.22,-2.02
199.19,-2.14
201.18,-2.27
