frequency,raw
20.00,5.51
20.20,5.53
20.40,5.54
20.61,5.55
20.81,5.56
21.02,5.58
21.23,5.59
21.44,5.60
21.66,5.61
21.87,5.62
22.09,5.64
22.31,5.65
22.54,5.65
22.76,5.66
22.99,5.67
23.22,5.68
23.45,5.69
23.69,5.70
23.92,5.72
24.16,5.73
24.40,5.73
24.65,5.74
24.89,5.75
25.14,5.76
25.39,5.77
25.65,5.77
25.91,5.78
26.16,5.79
26.43,5.80
26.69,5.81
26.96,5.82
27.23,5.82
27.50,5.82
27.77,5.83
28.05,5.83
28.33,5.84
28.62,5.85
28.90,5.85
29.19,5.86
29.48,5.87
29.78,5.87
30.08,5.87
30.38,5.88
30.68,5.88
30.99,5.89
31.30,5.89
31.61,5.90
31.93,5.90
32.24,5.90
32.57,5.91
32.89,5.91
33.22,5.91
33.55,5.92
33.89,5.92
34.23,5.93
34.57,5.93
34.92,5.93
35.27,5.93
35.62,5.93
35.97,5.93
36.33,5.94
36.70,5.94
37.06,5.94
37.43,5.95
37.81,5.95
38.19,5.95
38.57,5.95
38.95,5.95
39.34,5.95
39.74,5.95
40.14,5.95
40.54,5.95
40.94,5.95
41.35,5.95
41.76,5.95
42.18,5.95
42.60,5.95
43.03,5.95
43.46,5.95
43.90,5.95
44.33,5.95
44.78,5.95
45.23,5.95
45.68,5.95
46.13,5.95
46.60,5.94
47.06,5.94
47.53,5.94
48.01,5.94
48.49,5.93
48.97,5.93
49.46,5.93
49.96,5.93
50.46,5.93
50.96,5.93
51.47,5.93
51.99,5.94
52.51,5.94
53.03,5.94
53.56,5.92
54.10,5.90
54.64,5.90
55.18,5.91
55.74,5.91
56.29,5.90
56.86,5.90
57.42,5.89
58.00,5.88
58.58,5.88
59.16,5.88
59.76,5.88
60.35,5.87
60.96,5.87
61.57,5.86
62.18,5.86
62.80,5.86
63.43,5.86
64.07,5.86
64.71,5.85
65.35,5.84
66.01,5.85
66.67,5.84
67.33,5.83
68.01,5.81
68.69,5.81
69.37,5.81
70.07,5.80
70.77,5.79
71.48,5.78
72.19,5.78
72.91,5.78
73.64,5.77
74.38,5.76
75.12,5.75
75.87,5.75
76.63,5.75
77.40,5.74
78.17,5.73
78.95,5.73
79.74,5.71
80.54,5.71
81.35,5.71
82.16,5.70
82.98,5.69
83.81,5.68
84.65,5.67
85.50,5.66
86.35,5.65
87.22,5.64
88.09,5.63
88.97,5.62
89.86,5.61
90.76,5.60
91.66,5.59
92.58,5.58
93.51,5.57
94.44,5.56
95.39,5.55
96.34,5.54
97.30,5.53
98.28,5.52
99.26,5.51
100.25,5.50
101.25,5.49
102.27,5.47
103.29,5.46
104.32,5.45
105.37,5.44
106.42,5.42
107.48,5.41
108.56,5.39
109.64,5.38
110.74,5.36
111.85,5.36
112.97,5.34
114.10,5.33
115.24,5.32
116.39,5.31
117.55,5.29
118.73,5.28
119.92,5.26
121.12,5.25
122.33,5.23
123.55,5.21
124.79,5.20
126.03,5.18
127.29,5.16
128.57,5.14
129.85,5.12
131.15,5.10
132.46,5.08
133.79,5.07
135.12,5.05
136.48,5.03
137.84,5.01
139.22,4.99
140.61,4.97
142.02,4.95
143.44,4.93
144.87,4.91
146.32,4.88
147.78,4.86
149.26,4.83
150.75,4.81
152.26,4.79
153.78,4.77
155.32,4.76
156.88,4.74
158.44,4.73
160.03,4.72
161.63,4.71
163.24,4.71
164.88,4.72
166.53,4.69
168.19,4.67
169.87,4.65
171.57,4.62
173.29,4.59
175.02,4.57
176.77,4.56
178.54,4.54
180.32,4.51
182.13,4.49
183.95,4.47
185.79,4.44
187.65,4.41
189.52,4.38
191.42,4.36
193.33,4.33
195.27,4.31
197.22,4.28
199.19,4.25
201.18,4.22
203.19,4.19
205.23,4.16
207.28,4.13
209.35,4.10
211.44,4.07
213.56,4.04
215.69,4.01
217.85,3.98
220.03,3.95
222.23,3.92
224.45,3.88
226.70,3.85
228.96,3.82
231.25,3.79
233.57,3.76
235.90,3.73
238.26,3.69
240.64,3.66
243.05,3.63
245.48,3.60
247.93,3.57
250.41,3.54
252.92,3.51
255.45,3.48
258.00,3.45
260.58,3.41
263.19,3.38
265.82,3.35
268.48,3.31
271.16,3.28
273.87,3.24
276.61,3.20
279.38,3.16
282.17,3.12
284.99,3.09
287.84,3.05
290.72,3.01
293.63,2.97
296.57,2.93
299.53,2.89
302.53,2.85
305.55,2.80
308.61,2.76
311.69,2.72
314.81,2.68
317.96,2.64
321.14,2.60
324.35,2.57
327.59,2.53
330.87,2.49
334.18,2.46
337.52,2.42
340.90,2.38
344.30,2.34
347.75,2.30
351.23,2.26
354.74,2.22
358.28,2.18
361.87,2.13
365.49,2.09
369.14,2.05
372.83,2.01
376.56,1.96
380.33,1.92
384.13,1.88
387.97,1.83
391.85,1.79
