frequency,raw
20.00,8.07
20.20,8.08
20.40,8.08
20.61,8.08
20.81,8.08
21.02,8.08
21.23,8.08
21.44,8.08
21.66,8.08
21.87,8.08
22.09,8.08
22.31,8.07
22.54,8.07
22.76,8.07
22.99,8.07
23.22,8.07
23.45,8.07
23.69,8.06
23.92,8.06
24.16,8.05
24.40,8.04
24.65,8.03
24.89,8.02
25.14,8.01
25.39,8.01
25.65,8.01
25.91,8.01
26.16,8.01
26.43,8.01
26.69,8.00
26.96,7.99
27.23,7.98
27.50,7.97
27.77,7.96
28.05,7.94
28.33,7.93
28.62,7.92
28.90,7.91
29.19,7.90
29.48,7.89
29.78,7.88
30.08,7.87
30.38,7.86
30.68,7.85
30.99,7.83
31.30,7.82
31.61,7.80
31.93,7.79
32.24,7.77
32.57,7.76
32.89,7.74
33.22,7.72
33.55,7.70
33.89,7.68
34.23,7.67
34.57,7.65
34.92,7.63
35.27,7.61
35.62,7.59
35.97,7.57
36.33,7.55
36.70,7.53
37.06,7.51
37.43,7.49
37.81,7.47
38.19,7.45
38.57,7.43
38.95,7.40
39.34,7.38
39.74,7.36
40.14,7.33
40.54,7.31
40.94,7.29
41.35,7.26
41.76,7.24
42.18,7.21
42.60,7.18
43.03,7.16
43.46,7.13
43.90,7.10
44.33,7.07
44.78,7.05
45.23,7.02
45.68,6.99
46.13,6.96
46.60,6.93
47.06,6.90
47.53,6.87
48.01,6.84
48.49,6.81
48.97,6.78
49.46,6.74
49.96,6.71
50.46,6.68
50.96,6.65
51.47,6.61
51.99,6.58
52.51,6.54
53.03,6.51
53.56,6.47
54.10,6.44
54.64,6.40
55.18,6.37
55.74,6.33
56.29,6.29
56.86,6.25
57.42,6.22
58.00,6.18
58.58,6.14
59.16,6.10
59.76,6.07
60.35,6.02
60.96,5.98
61.57,5.94
62.18,5.90
62.80,5.86
63.43,5.82
64.07,5.78
64.71,5.74
65.35,5.70
66.01,5.66
66.67,5.61
67.33,5.57
68.01,5.53
68.69,5.49
69.37,5.44
70.07,5.40
70.77,5.35
71.48,5.31
72.19,5.26
72.91,5.22
73.64,5.18
74.38,5.13
75.12,5.09
75.87,5.04
76.63,4.99
77.40,4.95
78.17,4.90
78.95,4.85
79.74,4.81
80.54,4.76
81.35,4.71
82.16,4.66
82.98,4.61
83.81,4.57
84.65,4.53
85.50,4.47
86.35,4.42
87.22,4.37
88.09,4.32
88.97,4.27
89.86,4.23
90.76,4.17
91.66,4.12
92.58,4.07
93.51,4.03
94.44,3.98
95.39,3.93
96.34,3.88
97.30,3.83
98.28,3.78
99.26,3.73
100.25,3.68
101.25,3.63
102.27,3.58
103.29,3.53
104.32,3.48
105.37,3.43
106.42,3.38
107.48,3.33
108.56,3.27
109.64,3.22
110.74,3.18
111.85,3.12
112.97,3.07
114.10,3.02
115.24,2.97
116.39,2.92
117.55,2.87
118.73,2.82
119.92,2.77
121.12,2.72
122.33,2.67
123.55,2.62
124.79,2.56
126.03,2.52
127.29,2.46
128.57,2.41
129.85,2.36
131.15,2.31
132.46,2.26
133.79,2.22
135.12,2.17
136.48,2.12
137.84,2.07
139.22,2.03
140.61,2.00
142.02,1.97
143.44,1.93
144.87,1.89
146.32,1.85
147.78,1.81
149.26,1.77
150.75,1.73
152.26,1.68
153.78,1.64
155.32,1.59
156.88,1.55
158.44,1.50
160.03,1.46
161.63,1.41
163.24,1.37
164.88,1.32
166.53,1.29
168.19,1.26
169.87,1.21
171.57,1.17
173.29,1.13
175.02,1.09
176.77,1.05
178.54,1.00
180.32,0.97
182.13,0.93
183.95,0.89
185.79,0.85
187.65,0.82
189.52,0.78
191.42,0.74
193.33,0.71
195.27,0.67
197.22,0.64
199.19,0.61
201.18,0.58
203.19,0.55
205.23,0.53
207.28,0.51
209.35,0.48
211.44,0.45
213.56,0.43
215.69,0.40
217.85,0.38
220.03,0.35
222.23,0.32
224.45,0.30
226.70,0.27
228.96,0.25
231.25,0.22
233.57,0.19
235.90,0.17
238.26,0.15
240.64,0.12
243.05,0.10
245.48,0.08
247.93,0.06
250.41,0.04
252.92,0.01
255.45,-0.01
258.00,-0.02
260.58,-0.04
263.19,-0.06
265.82,-0.08
268.48,-0.09
271.16,-0.11
273.87,-0.12
276.61,-0.14
279.38,-0.15
282.17,-0.16
284.99,-0.17
287.84,-0.19
290.72,-0.20
293.63,-0.21
296.57,-0.21
299.53,-0.22
302.53,-0.23
305.55,-0.24
308.61,-0.24
311.69,-0.25
314.81,-0.26
317.96,-0.26
321.14,-0.26
324.35,-0.27
327.59,-0.28
330.87,-0.28
334.18,-0.28
337.52,-0.28
340.90,-0.29
344.30,-0.29
347.75,-0.29
351.23,-0.29
354.74,-0.28
358.28,-0.28
361.87,-0.28
365.49,-0.27
369.14,-0.27
372.83,-0.26
376.56,-0.25
380.33,-0.25
384.13,-0.25
387.97,-0.24
391.85,-0.24
395.77,-0.24
399.73,-0.23
403.72,-0.23
407.76,-0.22
411.84,-0.22
415.96,-0.21
420.12,-0.20
424.32,-0.19
428.56,-0.18
432.85,-0.17
437.18,-0.16
441.55,-0.15
445.96,-0.14
450.42,-0.12
454.93,-0.11
459.48,-0.10
