frequency,raw
20.00,7.03
20.20,7.05
20.40,7.07
20.61,7.08
20.81,7.10
21.02,7.11
21.23,7.12
21.44,7.13
21.66,7.15
21.87,7.17
22.09,7.19
22.31,7.21
22.54,7.23
22.76,7.24
22.99,7.26
23.22,7.27
23.45,7.28
23.69,7.29
23.92,7.30
24.16,7.32
24.40,7.33
24.65,7.35
24.89,7.37
25.14,7.38
25.39,7.40
25.65,7.40
25.91,7.41
26.16,7.41
26.43,7.41
26.69,7.42
26.96,7.43
27.23,7.44
27.50,7.46
27.77,7.47
28.05,7.48
28.33,7.49
28.62,7.49
28.90,7.50
29.19,7.50
29.48,7.51
29.78,7.51
30.08,7.52
30.38,7.53
30.68,7.53
30.99,7.53
31.30,7.54
31.61,7.54
31.93,7.54
32.24,7.54
32.57,7.55
32.89,7.55
33.22,7.55
33.55,7.55
33.89,7.56
34.23,7.56
34.57,7.56
34.92,7.56
35.27,7.55
35.62,7.54
35.97,7.54
36.33,7.54
36.70,7.54
37.06,7.54
37.43,7.54
37.81,7.54
38.19,7.54
38.57,7.53
38.95,7.53
39.34,7.53
39.74,7.52
40.14,7.52
40.54,7.51
40.94,7.51
41.35,7.50
41.76,7.49
42.18,7.49
42.60,7.49
43.03,7.48
43.46,7.47
43.90,7.46
44.33,7.45
44.78,7.45
45.23,7.44
45.68,7.43
46.13,7.41
46.60,7.39
47.06,7.39
47.53,7.38
48.01,7.38
48.49,7.37
48.97,7.35
49.46,7.34
49.96,7.34
50.46,7.33
50.96,7.32
51.47,7.30
51.99,7.28
52.51,7.27
53.03,7.25
53.56,7.23
54.10,7.22
54.64,7.20
55.18,7.19
55.74,7.18
56.29,7.17
56.86,7.15
57.42,7.13
58.00,7.11
58.58,7.09
59.16,7.07
59.76,7.05
60.35,7.04
60.96,7.02
61.57,7.01
62.18,6.98
62.80,6.96
63.43,6.94
64.07,6.92
64.71,6.91
65.35,6.89
66.01,6.86
66.67,6.84
67.33,6.81
68.01,6.79
68.69,6.77
69.37,6.75
70.07,6.72
70.77,6.70
71.48,6.68
72.19,6.66
72.91,6.63
73.64,6.61
74.38,6.58
75.12,6.55
75.87,6.53
76.63,6.50
77.40,6.47
78.17,6.45
78.95,6.42
79.74,6.39
80.54,6.36
81.35,6.34
82.16,6.31
82.98,6.28
83.81,6.25
84.65,6.22
85.50,6.19
86.35,6.16
87.22,6.13
88.09,6.10
88.97,6.07
89.86,6.04
90.76,6.00
91.66,5.97
92.58,5.95
93.51,5.90
94.44,5.88
95.39,5.85
96.34,5.80
97.30,5.78
98.28,5.74
99.26,5.70
100.25,5.68
101.25,5.63
102.27,5.60
103.29,5.57
104.32,5.52
105.37,5.49
106.42,5.46
107.48,5.41
108.56,5.38
109.64,5.34
110.74,5.30
111.85,5.26
112.97,5.23
114.10,5.19
115.24,5.14
116.39,5.11
117.55,5.07
118.73,5.02
119.92,4.98
121.12,4.94
122.33,4.90
123.55,4.86
124.79,4.81
126.03,4.77
127.29,4.73
128.57,4.68
129.85,4.64
131.15,4.59
132.46,4.54
133.79,4.50
135.12,4.45
136.48,4.40
137.84,4.36
139.22,4.32
140.61,4.28
142.02,4.24
143.44,4.20
144.87,4.17
146.32,4.14
147.78,4.10
149.26,4.06
150.75,4.01
152.26,3.98
153.78,3.94
155.32,3.90
156.88,3.85
158.44,3.80
160.03,3.75
161.63,3.71
163.24,3.69
164.88,3.68
166.53,3.67
168.19,3.66
169.87,3.64
171.57,3.60
173.29,3.56
175.02,3.52
176.77,3.47
178.54,3.43
180.32,3.38
182.13,3.33
183.95,3.28
185.79,3.23
187.65,3.18
189.52,3.14
191.42,3.09
193.33,3.05
195.27,3.00
197.22,2.96
199.19,2.92
201.18,2.87
203.19,2.82
205.23,2.78
207.28,2.74
209.35,2.70
211.44,2.66
213.56,2.62
215.69,2.58
217.85,2.54
220.03,2.51
222.23,2.47
224.45,2.43
226.70,2.39
228.96,2.35
