frequency,raw
20.00,9.94
20.20,9.95
20.40,9.96
20.61,9.97
20.81,9.97
21.02,9.97
21.23,9.98
21.44,9.98
21.66,9.99
21.87,9.99
22.09,10.00
22.31,10.01
22.54,10.02
22.76,10.03
22.99,10.04
23.22,10.04
23.45,10.05
23.69,10.05
23.92,10.05
24.16,10.05
24.40,10.04
24.65,10.04
24.89,10.04
25.14,10.04
25.39,10.04
25.65,10.04
25.91,10.04
26.16,10.04
26.43,10.04
26.69,10.03
26.96,10.03
27.23,10.03
27.50,10.02
27.77,10.01
28.05,10.00
28.33,10.00
28.62,9.99
28.90,9.98
29.19,9.97
29.48,9.96
29.78,9.96
30.08,9.95
30.38,9.94
30.68,9.93
30.99,9.91
31.30,9.90
31.61,9.89
31.93,9.88
32.24,9.87
32.57,9.86
32.89,9.84
33.22,9.83
33.55,9.81
33.89,9.79
34.23,9.78
34.57,9.76
34.92,9.74
35.27,9.73
35.62,9.71
35.97,9.69
36.33,9.67
36.70,9.65
37.06,9.63
37.43,9.61
37.81,9.59
38.19,9.57
38.57,9.54
38.95,9.52
39.34,9.49
39.74,9.47
40.14,9.45
40.54,9.42
40.94,9.40
41.35,9.37
41.76,9.34
42.18,9.32
42.60,9.29
43.03,9.26
43.46,9.24
43.90,9.21
44.33,9.18
44.78,9.15
45.23,9.12
45.68,9.08
46.13,9.05
46.60,9.01
47.06,8.98
47.53,8.94
48.01,8.91
48.49,8.88
48.97,8.84
49.46,8.81
49.96,8.77
50.46,8.74
50.96,8.70
51.47,8.66
51.99,8.62
52.51,8.59
53.03,8.55
53.56,8.51
54.10,8.46
54.64,8.42
55.18,8.38
55.74,8.34
56.29,8.30
56.86,8.26
57.42,8.21
58.00,8.17
58.58,8.12
59.16,8.07
59.76,8.03
60.35,7.98
60.96,7.94
61.57,7.89
62.18,7.84
62.80,7.79
63.43,7.74
64.07,7.69
64.71,7.65
65.35,7.60
66.01,7.55
66.67,7.50
67.33,7.44
68.01,7.39
68.69,7.34
69.37,7.29
70.07,7.24
70.77,7.19
71.48,7.13
72.19,7.08
72.91,7.02
73.64,6.97
74.38,6.91
75.12,6.86
75.87,6.80
76.63,6.75
77.40,6.69
78.17,6.64
78.95,6.58
79.74,6.53
80.54,6.47
81.35,6.41
82.16,6.35
82.98,6.29
83.81,6.24
84.65,6.18
85.50,6.12
86.35,6.06
87.22,6.00
88.09,5.94
88.97,5.89
89.86,5.83
90.76,5.77
91.66,5.71
92.58,5.65
93.51,5.59
94.44,5.53
95.39,5.47
96.34,5.42
97.30,5.36
98.28,5.30
99.26,5.24
100.25,5.18
101.25,5.13
102.27,5.07
103.29,5.01
104.32,4.95
105.37,4.90
106.42,4.84
107.48,4.78
108.56,4.73
109.64,4.67
110.74,4.62
111.85,4.56
112.97,4.51
114.10,4.45
115.24,4.40
116.39,4.35
117.55,4.29
118.73,4.24
119.92,4.19
121.12,4.14
122.33,4.09
123.55,4.04
124.79,3.99
126.03,3.94
127.29,3.89
128.57,3.84
129.85,3.80
131.15,3.75
132.46,3.71
133.79,3.66
135.12,3.62
136.48,3.57
137.84,3.53
139.22,3.49
140.61,3.45
142.02,3.41
143.44,3.37
144.87,3.33
146.32,3.29
