frequency,raw
20.00,9.97
20.20,9.97
20.40,9.96
20.61,9.95
20.81,9.95
21.02,9.94
21.23,9.93
21.44,9.92
21.66,9.92
21.87,9.91
22.09,9.90
22.31,9.90
22.54,9.89
22.76,9.89
22.99,9.88
23.22,9.87
23.45,9.87
23.69,9.86
23.92,9.85
24.16,9.85
24.40,9.83
24.65,9.82
24.89,9.81
25.14,9.80
25.39,9.78
25.65,9.77
25.91,9.77
26.16,9.76
26.43,9.75
26.69,9.75
26.96,9.74
27.23,9.73
27.50,9.72
27.77,9.71
28.05,9.70
28.33,9.68
28.62,9.67
28.90,9.65
29.19,9.64
29.48,9.63
29.78,9.61
30.08,9.60
30.38,9.58
30.68,9.56
30.99,9.55
31.30,9.53
31.61,9.51
31.93,9.49
32.24,9.48
32.57,9.46
32.89,9.44
33.22,9.42
33.55,9.41
33.89,9.39
34.23,9.37
34.57,9.35
34.92,9.33
35.27,9.30
35.62,9.28
35.97,9.26
36.33,9.24
36.70,9.22
37.06,9.19
37.43,9.17
37.81,9.15
38.19,9.12
38.57,9.10
38.95,9.07
39.34,9.05
39.74,9.02
40.14,8.99
40.54,8.96
40.94,8.94
41.35,8.91
41.76,8.89
42.18,8.86
42.60,8.83
43.03,8.80
43.46,8.77
43.90,8.74
44.33,8.71
44.78,8.68
45.23,8.65
45.68,8.62
46.13,8.59
46.60,8.55
47.06,8.51
47.53,8.48
48.01,8.44
48.49,8.41
48.97,8.38
49.46,8.35
49.96,8.31
50.46,8.28
50.96,8.25
51.47,8.22
51.99,8.17
52.51,8.13
53.03,8.07
53.56,8.03
54.10,7.98
54.64,7.94
55.18,7.90
55.74,7.86
56.29,7.83
56.86,7.79
57.42,7.75
58.00,7.70
58.58,7.65
59.16,7.61
59.76,7.57
60.35,7.52
60.96,7.47
61.57,7.43
62.18,7.38
62.80,7.33
63.43,7.28
64.07,7.23
64.71,7.18
65.35,7.13
66.01,7.08
66.67,7.02
67.33,6.97
68.01,6.92
68.69,6.87
69.37,6.82
70.07,6.76
70.77,6.70
71.48,6.65
72.19,6.60
72.91,6.55
73.64,6.49
74.38,6.43
75.12,6.36
75.87,6.30
76.63,6.24
77.40,6.18
78.17,6.12
78.95,6.07
79.74,6.00
80.54,5.95
81.35,5.89
82.16,5.82
82.98,5.76
83.81,5.69
84.65,5.63
85.50,5.57
86.35,5.51
87.22,5.44
88.09,5.38
88.97,5.31
89.86,5.25
90.76,5.18
91.66,5.11
92.58,5.05
93.51,4.98
94.44,4.92
95.39,4.85
96.34,4.78
97.30,4.72
98.28,4.65
99.26,4.58
100.25,4.51
101.25,4.45
102.27,4.38
103.29,4.31
104.32,4.24
105.37,4.18
106.42,4.11
107.48,4.04
108.56,3.97
109.64,3.91
110.74,3.84
111.85,3.77
112.97,3.71
114.10,3.64
115.24,3.57
116.39,3.51
117.55,3.44
118.73,3.38
119.92,3.32
121.12,3.25
122.33,3.18
123.55,3.12
124.79,3.06
126.03,3.00
127.29,2.94
128.57,2.88
129.85,2.82
131.15,2.77
132.46,2.71
133.79,2.65
135.12,2.59
136.48,2.54
137.84,2.49
139.22,2.43
140.61,2.38
142.02,2.33
143.44,2.28
144.87,2.24
146.32,2.19
147.78,2.14
149.26,2.10
150.75,2.06
152.26,2.01
153.78,1.97
155.32,1.94
156.88,1.90
158.44,1.86
160.03,1.82
161.63,1.79
163.24,1.76
164.88,1.73
166.53,1.70
168.19,1.67
169.87,1.64
171.57,1.62
173.29,1.59
175.02,1.57
176.77,1.55
178.54,1.53
180.32,1.50
182.13,1.49
183.95,1.47
185.79,1.45
187.65,1.44
189.52,1.43
191.42,1.41
193.33,1.40
195.27,1.39
197.22,1.38
199.19,1.37
201.18,1.36
203.19,1.35
205.23,1.35
207.28,1.34
209.35,1.33
211.44,1.33
213.56,1.32
215.69,1.32
217.85,1.31
220.03,1.31
222.23,1.31
224.45,1.31
226.70,1.31
228.96,1.32
231.25,1.32
233.57,1.33
235.90,1.34
238.26,1.35
240.64,1.37
243.05,1.38
245.48,1.38
247.93,1.40
250.41,1.41
252.92,1.42
255.45,1.44
258.00,1.46
260.58,1.47
263.19,1.49
265.82,1.50
268.48,1.51
271.16,1.52
273.87,1.53
276.61,1.53
279.38,1.54
282.17,1.55
284.99,1.55
287.84,1.56
290.72,1.56
293.63,1.57
296.57,1.57
299.53,1.58
302.53,1.58
305.55,1.58
308.61,1.59
311.69,1.59
314.81,1.59
317.96,1.59
321.14,1.60
324.35,1.60
327.59,1.60
330.87,1.60
334.18,1.60
337.52,1.60
340.90,1.60
344.30,1.60
347.75,1.60
351.23,1.60
354.74,1.60
358.28,1.60
361.87,1.60
365.49,1.59
369.14,1.59
372.83,1.58
376.56,1.58
380.33,1.57
384.13,1.57
387.97,1.56
391.85,1.55
395.77,1.55
