frequency,raw
20.00,9.94
20.20,9.94
20.40,9.95
20.61,9.95
20.81,9.95
21.02,9.95
21.23,9.94
21.44,9.94
21.66,9.94
21.87,9.94
22.09,9.94
22.31,9.94
22.54,9.94
22.76,9.94
22.99,9.94
23.22,9.94
23.45,9.93
23.69,9.92
23.92,9.91
24.16,9.90
24.40,9.89
24.65,9.88
24.89,9.87
25.14,9.86
25.39,9.86
25.65,9.85
25.91,9.85
26.16,9.84
26.43,9.83
26.69,9.82
26.96,9.81
27.23,9.79
27.50,9.78
27.77,9.77
28.05,9.76
28.33,9.75
28.62,9.73
28.90,9.72
29.19,9.70
29.48,9.69
29.78,9.67
30.08,9.65
30.38,9.63
30.68,9.62
30.99,9.60
31.30,9.58
31.61,9.56
31.93,9.54
32.24,9.52
32.57,9.50
32.89,9.48
33.22,9.46
33.55,9.44
33.89,9.42
34.23,9.39
34.57,9.37
34.92,9.34
35.27,9.32
35.62,9.29
35.97,9.27
36.33,9.24
36.70,9.22
37.06,9.19
37.43,9.16
37.81,9.13
38.19,9.10
38.57,9.07
38.95,9.04
39.34,9.01
39.74,8.98
40.14,8.95
40.54,8.91
40.94,8.88
41.35,8.85
41.76,8.81
42.18,8.78
42.60,8.75
43.03,8.71
43.46,8.67
43.90,8.63
44.33,8.60
44.78,8.56
45.23,8.52
45.68,8.49
46.13,8.45
46.60,8.41
47.06,8.36
47.53,8.32
48.01,8.28
48.49,8.23
48.97,8.19
49.46,8.14
49.96,8.10
50.46,8.06
50.96,8.02
51.47,7.97
51.99,7.91
52.51,7.86
53.03,7.80
53.56,7.76
54.10,7.71
54.64,7.67
55.18,7.62
55.74,7.57
56.29,7.52
56.86,7.46
57.42,7.40
58.00,7.35
58.58,7.29
59.16,7.24
59.76,7.19
60.35,7.13
60.96,7.06
61.57,7.01
62.18,6.96
62.80,6.90
63.43,6.83
64.07,6.77
64.71,6.72
65.35,6.65
66.01,6.59
66.67,6.53
67.33,6.46
68.01,6.40
68.69,6.33
69.37,6.27
70.07,6.20
70.77,6.13
71.48,6.06
72.19,6.00
72.91,5.93
73.64,5.86
74.38,5.79
75.12,5.72
75.87,5.64
76.63,5.57
77.40,5.51
78.17,5.43
78.95,5.36
79.74,5.29
80.54,5.21
81.35,5.14
82.16,5.06
82.98,4.98
83.81,4.91
84.65,4.83
85.50,4.75
86.35,4.67
87.22,4.60
88.09,4.52
88.97,4.44
89.86,4.36
90.76,4.28
91.66,4.20
92.58,4.12
93.51,4.04
94.44,3.96
95.39,3.88
96.34,3.80
97.30,3.72
98.28,3.64
99.26,3.55
100.25,3.47
101.25,3.39
102.27,3.30
103.29,3.22
104.32,3.14
105.37,3.06
106.42,2.98
107.48,2.90
108.56,2.82
109.64,2.73
110.74,2.65
111.85,2.57
112.97,2.49
114.10,2.41
115.24,2.33
116.39,2.25
117.55,2.17
118.73,2.09
119.92,2.01
121.12,1.93
122.33,1.87
123.55,1.79
124.79,1.71
126.03,1.65
127.29,1.57
128.57,1.50
129.85,1.43
131.15,1.36
132.46,1.29
133.79,1.23
135.12,1.16
136.48,1.09
137.84,1.03
139.22,0.96
140.61,0.90
142.02,0.83
143.44,0.77
144.87,0.71
146.32,0.67
147.78,0.62
149.26,0.58
150.75,0.53
152.26,0.47
153.78,0.43
155.32,0.39
156.88,0.35
158.44,0.32
160.03,0.29
161.63,0.23
163.24,0.20
164.88,0.18
166.53,0.14
168.19,0.11
169.87,0.08
171.57,0.08
173.29,0.06
175.02,0.04
176.77,0.04
178.54,0.03
180.32,0.02
182.13,0.03
183.95,0.01
185.79,0.01
187.65,0.02
189.52,0.01
191.42,0.01
193.33,0.01
195.27,0.01
197.22,0.01
199.19,0.00
201.18,0.00
203.19,0.00
205.23,0.00
207.28,0.01
209.35,0.01
211.44,0.01
213.56,0.01
215.69,0.02
217.85,0.02
220.03,0.03
222.23,0.04
224.45,0.05
226.70,0.06
228.96,0.07
231.25,0.08
233.57,0.09
235.90,0.10
238.26,0.11
240.64,0.12
243.05,0.14
245.48,0.15
247.93,0.16
250.41,0.17
252.92,0.19
255.45,0.20
258.00,0.22
260.58,0.23
263.19,0.24
265.82,0.26
268.48,0.27
271.16,0.29
273.87,0.30
276.61,0.32
279.38,0.33
282.17,0.35
284.99,0.36
287.84,0.38
290.72,0.39
293.63,0.40
296.57,0.42
299.53,0.43
302.53,0.44
305.55,0.45
308.61,0.46
311.69,0.47
314.81,0.48
317.96,0.49
321.14,0.50
324.35,0.51
327.59,0.52
330.87,0.53
334.18,0.53
337.52,0.54
340.90,0.55
344.30,0.55
347.75,0.56
351.23,0.57
354.74,0.57
358.28,0.58
361.87,0.58
365.49,0.59
369.14,0.59
372.83,0.59
376.56,0.60
380.33,0.61
384.13,0.61
387.97,0.62
391.85,0.63
395.77,0.63
399.73,0.64
403.72,0.64
407.76,0.64
411.84,0.64
415.96,0.64
420.12,0.63
424.32,0.63
428.56,0.63
432.85,0.62
437.18,0.62
441.55,0.62
445.96,0.61
450.42,0.61
454.93,0.60
459.48,0.60
464.07,0.59
468.71,0.58
473.40,0.57
478.13,0.57
482.91,0.56
487.74,0.55
492.62,0.54
497.55,0.53
502.52,0.52
507.55,0.51
512.62,0.50
517.75,0.50
522.93,0.49
528.16,0.48
533.44,0.47
538.77,0.46
544.16,0.45
549.60,0.44
555.10,0.42
560.65,0.41
566.25,0.40
571.92,0.38
577.64,0.37
583.41,0.35
589.25,0.34
595.14,0.32
601.09,0.30
607.10,0.29
613.17,0.27
619.30,0.25
625.50,0.23
631.75,0.22
638.07,0.20
644.45,0.18
650.89,0.16
657.40,0.14
663.98,0.13
670.62,0.11
677.32,0.09
684.10,0.07
690.94,0.05
697.85,0.04
704.83,0.02
711.87,0.00
718.99,-0.01
726.18,-0.03
733.44,-0.05
740.78,-0.07
748.19,-0.08
755.67,-0.10
763.23,-0.11
770.86,-0.13
778.57,-0.14
786.35,-0.15
794.22,-0.17
802.16,-0.18
810.18,-0.19
818.28,-0.19
826.46,-0.20
834.73,-0.21
843.08,-0.22
851.51,-0.22
860.02,-0.22
868.62,-0.22
877.31,-0.22
886.08,-0.21
894.94,-0.21
903.89,-0.20
912.93,-0.19
922.06,-0.18
931.28,-0.17
940.59,-0.15
950.00,-0.13
959.50,-0.11
969.09,-0.09
978.78,-0.06
988.57,-0.03
998.46,-0.01
1008.44,0.03
1018.53,0.06
1028.71,0.10
1039.00,0.14
1049.39,0.18
1059.88,0.22
1070.48,0.26
1081.19,0.31
1092.00,0.35
1102.92,0.40
1113.95,0.44
1125.09,0.49
1136.34,0.53
1147.70,0.57
1159.18,0.62
1170.77,0.66
1182.48,0.70
1194.30,0.74
1206.25,0.78
1218.31,0.82
1230.49,0.85
1242.80,0.88
1255.22,0.92
1267.78,0.95
1280.45,0.98
1293.26,1.00
1306.19,1.03
1319.25,1.06
1332.45,1.08
1345.77,1.10
1359.23,1.12
1372.82,1.14
1386.55,1.16
1400.41,1.18
1414.42,1.20
1428.56,1.22
1442.85,1.24
1457.28,1.26
1471.85,1.28
1486.57,1.29
1501.43,1.31
1516.45,1.34
1531.61,1.36
1546.93,1.38
1562.40,1.40
1578.02,1.43
1593.80,1.46
1609.74,1.48
1625.84,1.51
1642.10,1.55
1658.52,1.58
1675.10,1.61
1691.85,1.66
1708.77,1.70
1725.86,1.74
1743.12,1.79
1760.55,1.84
1778.15,1.89
1795.94,1.94
1813.90,2.00
1832.03,2.06
1850.36,2.12
1868.86,2.19
1887.55,2.26
1906.42,2.33
1925.49,2.41
1944.74,2.49
1964.19,2.57
1983.83,2.66
2003.67,2.75
2023.71,2.85
2043.94,2.95
2064.38,3.05
2085.03,3.16
2105.88,3.27
2126.94,3.38
2148.20,3.50
2169.69,3.63
2191.38,3.75
2213.30,3.89
2235.43,4.02
2257.78,4.16
2280.36,4.30
2303.17,4.45
2326.20,4.60
2349.46,4.75
2372.95,4.91
2396.68,5.07
2420.65,5.23
2444.86,5.39
2469.31,5.55
2494.00,5.72
2518.94,5.88
2544.13,6.03
2569.57,6.18
2595.27,6.33
2621.22,6.47
2647.43,6.60
2673.90,6.71
2700.64,6.81
2727.65,6.90
2754.93,6.96
2782.48,7.00
2810.30,7.02
2838.40,7.03
2866.79,7.02
2895.46,7.00
2924.41,6.96
2953.65,6.92
2983.19,6.87
3013.02,6.82
3043.15,6.77
3073.58,6.72
3104.32,6.68
3135.36,6.63
3166.72,6.59
3198.38,6.55
3230.37,6.50
3262.67,6.45
3295.30,6.39
3328.25,6.34
3361.53,6.27
3395.15,6.21
3429.10,6.14
3463.39,6.06
3498.03,5.98
3533.01,5.91
3568.34,5.82
3604.02,5.74
3640.06,5.67
3676.46,5.59
3713.22,5.52
3750.36,5.45
3787.86,5.40
3825.74,5.34
3864.00,5.30
3902.64,5.26
3941.66,5.23
3981.08,5.20
4020.89,5.18
4061.10,5.16
4101.71,5.14
4142.73,5.13
4184.15,5.12
4226.00,5.11
4268.26,5.11
4310.94,5.10
4354.05,5.10
4397.59,5.11
4441.56,5.12
4485.98,5.13
4530.84,5.14
4576.15,5.16
4621.91,5.19
4668.13,5.21
4714.81,5.25
4761.96,5.29
4809.58,5.33
4857.67,5.37
4906.25,5.42
4955.31,5.48
5004.87,5.53
5054.91,5.58
5105.46,5.64
5156.52,5.69
5208.08,5.73
5260.16,5.78
5312.77,5.82
5365.89,5.85
5419.55,5.88
5473.75,5.90
5528.49,5.92
5583.77,5.93
5639.61,5.95
5696.00,5.97
5752.96,5.99
5810.49,6.02
5868.60,6.06
5927.28,6.12
5986.56,6.19
6046.42,6.29
6106.89,6.40
6167.96,6.53
6229.64,6.66
6291.93,6.78
6354.85,6.87
6418.40,6.92
6482.58,6.90
6547.41,6.81
6612.88,6.67
6679.01,6.47
6745.80,6.24
6813.26,6.01
6881.39,5.79
6950.21,5.61
7019.71,5.47
7089.91,5.38
7160.81,5.38
7232.41,5.43
7304.74,5.53
7377.79,5.69
7451.56,5.91
7526.08,6.17
7601.34,6.48
7677.35,6.80
7754.13,7.13
7831.67,7.42
7909.98,7.64
7989.08,7.75
8068.98,7.63
8149.67,7.37
8231.16,6.93
8313.47,6.35
8396.61,5.69
8480.57,4.95
8565.38,4.16
8651.03,3.33
8737.54,2.46
8824.92,1.78
8913.17,1.65
9002.30,1.72
9092.32,1.22
9183.25,0.72
9275.08,0.25
9367.83,-0.16
9461.51,-0.54
9556.12,-0.88
9651.68,-1.18
9748.20,-1.43
9845.68,-1.58
9944.14,-1.66
10043.58,-1.65
10144.02,-1.55
10245.46,-1.30
10347.91,-1.02
10451.39,-0.70
10555.91,-0.33
10661.46,0.02
10768.08,0.35
10875.76,0.65
10984.52,0.90
11094.36,1.11
11205.31,1.26
11317.36,1.31
11430.53,1.30
11544.84,1.13
11660.29,0.83
11776.89,0.46
11894.66,-0.07
12013.60,-0.61
12133.74,-1.18
12255.08,-1.73
12377.63,-2.25
12501.41,-2.70
12626.42,-2.99
12752.68,-3.16
12880.21,-3.14
13009.01,-3.03
13139.10,-2.92
13270.49,-2.47
13403.20,-1.88
13537.23,-0.92
13672.60,0.15
13809.33,1.33
13947.42,2.41
14086.90,3.31
14227.77,4.10
14370.04,4.81
14513.74,5.42
14658.88,5.89
14805.47,6.38
14953.52,6.89
15103.06,7.32
15254.09,7.71
15406.63,7.35
15560.70,6.63
15716.30,5.36
15873.47,3.95
16032.20,2.56
16192.52,1.42
16354.45,0.55
16517.99,-0.11
16683.17,-0.42
16850.01,-0.53
17018.51,-0.50
17188.69,-0.34
17360.58,-0.27
17534.18,-0.28
17709.53,-0.49
17886.62,-0.88
18065.49,-1.37
18246.14,-1.93
18428.60,-2.57
18612.89,-3.38
18799.02,-4.49
18987.01,-6.08
19176.88,-8.15
19368.65,-10.39
19562.33,-12.74
19757.96,-15.14
19955.54,-17.54
