frequency,raw
20.00,9.99
20.20,9.99
20.40,9.99
20.61,10.00
20.81,10.01
21.02,10.02
21.23,10.02
21.44,10.03
21.66,10.03
21.87,10.02
22.09,10.01
22.31,10.00
22.54,9.99
22.76,9.98
22.99,9.97
23.22,9.96
23.45,9.96
23.69,9.95
23.92,9.95
24.16,9.95
24.40,9.94
24.65,9.93
24.89,9.92
25.14,9.91
25.39,9.90
25.65,9.89
25.91,9.87
26.16,9.86
26.43,9.85
26.69,9.83
26.96,9.82
27.23,9.81
27.50,9.80
27.77,9.79
28.05,9.78
28.33,9.77
28.62,9.76
28.90,9.75
29.19,9.73
29.48,9.71
29.78,9.69
30.08,9.68
30.38,9.66
30.68,9.64
30.99,9.62
31.30,9.60
31.61,9.58
31.93,9.56
32.24,9.54
32.57,9.52
32.89,9.50
33.22,9.48
33.55,9.46
33.89,9.43
34.23,9.41
34.57,9.38
34.92,9.36
35.27,9.33
35.62,9.31
35.97,9.28
36.33,9.25
36.70,9.22
37.06,9.19
37.43,9.16
37.81,9.14
38.19,9.11
38.57,9.08
38.95,9.05
39.34,9.02
39.74,8.99
40.14,8.95
40.54,8.92
40.94,8.88
41.35,8.85
41.76,8.81
42.18,8.78
42.60,8.75
43.03,8.71
43.46,8.67
43.90,8.63
44.33,8.59
44.78,8.55
45.23,8.52
45.68,8.48
46.13,8.44
46.60,8.40
47.06,8.36
47.53,8.31
48.01,8.27
48.49,8.23
48.97,8.18
49.46,8.14
49.96,8.09
50.46,8.04
50.96,7.99
51.47,7.95
51.99,7.90
52.51,7.84
53.03,7.77
53.56,7.72
54.10,7.68
54.64,7.65
55.18,7.60
55.74,7.54
56.29,7.49
56.86,7.44
57.42,7.39
58.00,7.34
58.58,7.28
59.16,7.23
59.76,7.16
60.35,7.10
60.96,7.04
61.57,6.99
62.18,6.93
62.80,6.87
63.43,6.81
64.07,6.75
64.71,6.68
65.35,6.62
66.01,6.56
66.67,6.50
67.33,6.44
68.01,6.37
68.69,6.31
69.37,6.24
70.07,6.17
70.77,6.10
71.48,6.04
72.19,5.97
72.91,5.90
73.64,5.83
74.38,5.76
75.12,5.69
75.87,5.61
76.63,5.54
77.40,5.47
78.17,5.39
78.95,5.32
79.74,5.25
80.54,5.17
81.35,5.10
82.16,5.02
82.98,4.94
83.81,4.87
84.65,4.79
85.50,4.71
86.35,4.64
87.22,4.56
88.09,4.48
88.97,4.40
89.86,4.32
90.76,4.24
91.66,4.16
92.58,4.07
93.51,3.99
94.44,3.91
95.39,3.83
96.34,3.75
97.30,3.67
98.28,3.59
99.26,3.50
100.25,3.42
101.25,3.34
102.27,3.25
103.29,3.17
104.32,3.09
105.37,3.00
106.42,2.91
107.48,2.83
108.56,2.76
109.64,2.68
110.74,2.59
111.85,2.51
112.97,2.43
114.10,2.35
115.24,2.27
116.39,2.20
117.55,2.12
118.73,2.04
119.92,1.96
121.12,1.89
122.33,1.81
123.55,1.73
124.79,1.65
126.03,1.58
127.29,1.50
128.57,1.43
129.85,1.36
131.15,1.29
132.46,1.22
133.79,1.15
135.12,1.09
136.48,1.03
137.84,0.96
139.22,0.90
140.61,0.85
142.02,0.79
143.44,0.74
144.87,0.68
146.32,0.62
147.78,0.57
149.26,0.51
150.75,0.47
152.26,0.42
153.78,0.38
155.32,0.33
156.88,0.29
158.44,0.25
160.03,0.21
161.63,0.16
163.24,0.12
164.88,0.07
166.53,0.04
168.19,0.02
169.87,-0.01
171.57,-0.03
173.29,-0.05
175.02,-0.07
176.77,-0.09
178.54,-0.10
180.32,-0.10
182.13,-0.09
183.95,-0.08
185.79,-0.08
187.65,-0.08
189.52,-0.08
191.42,-0.08
193.33,-0.07
195.27,-0.07
197.22,-0.07
199.19,-0.07
201.18,-0.07
203.19,-0.06
205.23,-0.06
207.28,-0.05
209.35,-0.05
211.44,-0.04
213.56,-0.03
215.69,-0.02
217.85,-0.02
220.03,-0.01
222.23,0.00
224.45,0.01
226.70,0.02
228.96,0.03
231.25,0.05
233.57,0.06
235.90,0.07
238.26,0.09
240.64,0.10
243.05,0.11
245.48,0.13
247.93,0.14
250.41,0.16
252.92,0.17
