frequency,raw
20.00,5.10
20.20,5.12
20.40,5.13
20.61,5.14
20.81,5.15
21.02,5.16
21.23,5.16
21.44,5.17
21.66,5.19
21.87,5.20
22.09,5.22
22.31,5.24
22.54,5.25
22.76,5.27
22.99,5.29
23.22,5.30
23.45,5.30
23.69,5.31
23.92,5.32
24.16,5.33
24.40,5.34
24.65,5.35
24.89,5.36
25.14,5.37
25.39,5.38
25.65,5.39
25.91,5.39
26.16,5.40
26.43,5.40
26.69,5.41
26.96,5.42
27.23,5.43
27.50,5.45
27.77,5.46
28.05,5.47
28.33,5.48
28.62,5.49
28.90,5.50
29.19,5.51
29.48,5.52
29.78,5.53
30.08,5.54
30.38,5.55
30.68,5.55
30.99,5.55
31.30,5.56
31.61,5.56
31.93,5.57
32.24,5.57
32.57,5.57
32.89,5.57
33.22,5.58
33.55,5.58
33.89,5.58
34.23,5.59
34.57,5.59
34.92,5.60
35.27,5.60
35.62,5.60
35.97,5.60
36.33,5.61
36.70,5.61
37.06,5.62
37.43,5.63
37.81,5.63
38.19,5.64
38.57,5.64
38.95,5.64
39.34,5.64
39.74,5.64
40.14,5.64
40.54,5.64
40.94,5.64
41.35,5.64
41.76,5.64
42.18,5.65
42.60,5.65
43.03,5.65
43.46,5.65
43.90,5.64
44.33,5.64
44.78,5.64
45.23,5.64
45.68,5.64
46.13,5.65
46.60,5.65
47.06,5.66
47.53,5.65
48.01,5.64
48.49,5.64
48.97,5.64
49.46,5.65
49.96,5.65
50.46,5.65
50.96,5.64
51.47,5.63
51.99,5.62
52.51,5.62
53.03,5.61
53.56,5.60
54.10,5.59
54.64,5.59
55.18,5.59
55.74,5.60
56.29,5.60
56.86,5.61
57.42,5.60
58.00,5.58
58.58,5.59
59.16,5.60
59.76,5.60
60.35,5.60
60.96,5.60
61.57,5.60
62.18,5.60
62.80,5.59
63.43,5.58
64.07,5.57
64.71,5.57
65.35,5.56
66.01,5.56
66.67,5.55
67.33,5.55
68.01,5.54
68.69,5.54
69.37,5.53
70.07,5.52
70.77,5.52
71.48,5.52
72.19,5.51
72.91,5.50
73.64,5.50
74.38,5.50
75.12,5.48
75.87,5.47
76.63,5.46
77.40,5.44
78.17,5.44
78.95,5.44
79.74,5.43
80.54,5.42
81.35,5.42
82.16,5.41
82.98,5.40
83.81,5.39
84.65,5.38
85.50,5.37
86.35,5.36
87.22,5.35
88.09,5.34
88.97,5.33
89.86,5.32
90.76,5.31
91.66,5.30
92.58,5.29
93.51,5.28
94.44,5.27
95.39,5.26
96.34,5.25
97.30,5.23
98.28,5.22
99.26,5.21
100.25,5.20
101.25,5.18
102.27,5.17
103.29,5.16
104.32,5.14
105.37,5.13
106.42,5.11
107.48,5.10
108.56,5.08
109.64,5.07
110.74,5.05
111.85,5.03
112.97,5.02
114.10,5.00
115.24,4.99
116.39,4.97
117.55,4.95
118.73,4.94
119.92,4.92
121.12,4.90
122.33,4.89
123.55,4.87
124.79,4.85
126.03,4.83
127.29,4.81
128.57,4.79
129.85,4.77
131.15,4.75
132.46,4.73
133.79,4.71
135.12,4.68
136.48,4.67
137.84,4.66
139.22,4.63
140.61,4.61
142.02,4.59
143.44,4.57
144.87,4.54
146.32,4.52
147.78,4.49
149.26,4.47
150.75,4.44
152.26,4.42
153.78,4.39
155.32,4.37
156.88,4.34
158.44,4.32
160.03,4.30
161.63,4.29
163.24,4.27
164.88,4.25
166.53,4.24
168.19,4.23
169.87,4.21
171.57,4.19
173.29,4.17
175.02,4.15
176.77,4.13
178.54,4.11
180.32,4.08
182.13,4.06
183.95,4.03
185.79,4.00
187.65,3.98
189.52,3.95
191.42,3.92
193.33,3.89
195.27,3.87
197.22,3.84
199.19,3.81
201.18,3.78
203.19,3.75
205.23,3.72
207.28,3.69
209.35,3.66
