frequency,raw
20.00,4.73
20.20,4.74
20.40,4.75
20.61,4.76
20.81,4.76
21.02,4.77
21.23,4.77
21.44,4.77
21.66,4.78
21.87,4.79
22.09,4.79
22.31,4.80
22.54,4.80
22.76,4.81
22.99,4.82
23.22,4.82
23.45,4.83
23.69,4.84
23.92,4.84
24.16,4.85
24.40,4.85
24.65,4.86
24.89,4.86
25.14,4.86
25.39,4.86
25.65,4.87
25.91,4.87
26.16,4.87
26.43,4.87
26.69,4.88
26.96,4.88
27.23,4.88
27.50,4.88
27.77,4.88
28.05,4.88
28.33,4.88
28.62,4.88
28.90,4.88
29.19,4.88
29.48,4.88
29.78,4.88
30.08,4.88
30.38,4.88
30.68,4.88
30.99,4.88
31.30,4.87
31.61,4.87
31.93,4.87
32.24,4.87
32.57,4.86
32.89,4.86
33.22,4.85
33.55,4.85
33.89,4.84
34.23,4.84
34.57,4.83
34.92,4.83
35.27,4.82
35.62,4.82
35.97,4.81
36.33,4.80
36.70,4.79
37.06,4.79
37.43,4.78
37.81,4.77
38.19,4.76
38.57,4.76
38.95,4.75
39.34,4.74
39.74,4.73
40.14,4.72
40.54,4.71
40.94,4.70
41.35,4.68
41.76,4.67
42.18,4.66
42.60,4.65
43.03,4.64
43.46,4.62
43.90,4.61
44.33,4.60
44.78,4.58
45.23,4.57
45.68,4.55
46.13,4.54
46.60,4.52
47.06,4.51
47.53,4.49
48.01,4.48
48.49,4.46
48.97,4.44
49.46,4.42
49.96,4.41
50.46,4.39
50.96,4.37
51.47,4.35
51.99,4.33
52.51,4.31
53.03,4.29
53.56,4.27
54.10,4.25
54.64,4.23
55.18,4.21
55.74,4.18
56.29,4.16
56.86,4.14
57.42,4.11
58.00,4.09
58.58,4.06
59.16,4.04
59.76,4.02
60.35,3.99
60.96,3.97
61.57,3.94
62.18,3.92
62.80,3.89
63.43,3.86
64.07,3.83
64.71,3.81
65.35,3.78
66.01,3.75
66.67,3.72
67.33,3.69
68.01,3.66
68.69,3.63
69.37,3.60
70.07,3.57
70.77,3.54
71.48,3.51
72.19,3.48
72.91,3.44
73.64,3.41
74.38,3.38
75.12,3.34
75.87,3.31
76.63,3.28
77.40,3.24
78.17,3.21
78.95,3.17
79.74,3.14
80.54,3.10
81.35,3.06
82.16,3.03
82.98,2.99
83.81,2.95
84.65,2.92
85.50,2.88
86.35,2.84
87.22,2.80
88.09,2.76
88.97,2.72
89.86,2.68
90.76,2.64
91.66,2.61
92.58,2.57
93.51,2.52
94.44,2.48
95.39,2.44
96.34,2.40
97.30,2.36
98.28,2.32
99.26,2.28
100.25,2.23
101.25,2.19
102.27,2.15
103.29,2.10
104.32,2.06
105.37,2.02
106.42,1.97
107.48,1.93
108.56,1.89
109.64,1.84
110.74,1.80
111.85,1.75
112.97,1.71
114.10,1.66
115.24,1.62
116.39,1.57
117.55,1.53
118.73,1.48
119.92,1.44
121.12,1.39
122.33,1.34
123.55,1.30
124.79,1.25
126.03,1.20
127.29,1.16
128.57,1.11
