frequency,raw
20.00,6.73
20.20,6.77
20.40,6.82
20.61,6.86
20.81,6.90
21.02,6.93
21.23,6.97
21.44,7.01
21.66,7.05
21.87,7.09
22.09,7.12
22.31,7.16
22.54,7.20
22.76,7.24
22.99,7.27
23.22,7.31
23.45,7.34
23.69,7.37
23.92,7.40
24.16,7.43
24.40,7.46
24.65,7.49
24.89,7.52
25.14,7.54
25.39,7.57
25.65,7.59
25.91,7.62
26.16,7.64
26.43,7.67
26.69,7.70
26.96,7.73
27.23,7.76
27.50,7.79
27.77,7.81
28.05,7.84
28.33,7.86
28.62,7.88
28.90,7.90
29.19,7.92
29.48,7.95
29.78,7.97
30.08,7.98
30.38,8.00
30.68,8.02
30.99,8.04
31.30,8.05
31.61,8.07
31.93,8.10
32.24,8.12
32.57,8.14
32.89,8.15
33.22,8.17
33.55,8.18
33.89,8.19
34.23,8.20
34.57,8.21
34.92,8.23
35.27,8.24
35.62,8.25
35.97,8.27
36.33,8.28
36.70,8.29
37.06,8.30
37.43,8.31
37.81,8.32
38.19,8.33
38.57,8.34
38.95,8.35
39.34,8.35
39.74,8.36
40.14,8.36
40.54,8.36
40.94,8.37
41.35,8.37
41.76,8.38
42.18,8.38
42.60,8.38
43.03,8.38
43.46,8.39
43.90,8.39
44.33,8.40
44.78,8.40
45.23,8.40
45.68,8.40
46.13,8.40
46.60,8.41
47.06,8.41
47.53,8.42
48.01,8.42
48.49,8.41
48.97,8.40
49.46,8.39
49.96,8.38
50.46,8.38
50.96,8.38
51.47,8.37
51.99,8.37
52.51,8.37
53.03,8.36
53.56,8.35
54.10,8.34
54.64,8.33
55.18,8.32
55.74,8.31
56.29,8.30
56.86,8.29
57.42,8.28
58.00,8.27
58.58,8.26
59.16,8.25
59.76,8.25
60.35,8.24
60.96,8.22
61.57,8.20
62.18,8.19
62.80,8.18
63.43,8.16
64.07,8.15
64.71,8.14
65.35,8.12
66.01,8.11
66.67,8.09
67.33,8.07
68.01,8.05
68.69,8.03
69.37,8.01
70.07,8.00
70.77,7.98
71.48,7.96
72.19,7.94
72.91,7.92
73.64,7.89
74.38,7.87
75.12,7.85
75.87,7.83
76.63,7.81
77.40,7.78
78.17,7.76
78.95,7.74
79.74,7.72
80.54,7.70
81.35,7.68
82.16,7.64
82.98,7.62
83.81,7.59
84.65,7.57
85.50,7.54
86.35,7.51
87.22,7.48
88.09,7.45
88.97,7.43
89.86,7.40
90.76,7.37
91.66,7.34
92.58,7.31
93.51,7.28
94.44,7.25
95.39,7.22
96.34,7.19
97.30,7.15
