frequency,raw
20.00,10.97
20.20,10.97
20.40,10.97
20.61,10.97
20.81,10.97
21.02,10.97
21.23,10.96
21.44,10.96
21.66,10.96
21.87,10.96
22.09,10.96
22.31,10.96
22.54,10.96
22.76,10.96
22.99,10.96
23.22,10.96
23.45,10.96
23.69,10.97
23.92,10.97
24.16,10.97
24.40,10.96
24.65,10.95
24.89,10.94
25.14,10.93
25.39,10.92
25.65,10.91
25.91,10.91
26.16,10.91
26.43,10.90
26.69,10.90
26.96,10.90
27.23,10.89
27.50,10.89
27.77,10.88
28.05,10.88
28.33,10.87
28.62,10.87
28.90,10.87
29.19,10.86
29.48,10.84
29.78,10.83
30.08,10.81
30.38,10.80
30.68,10.79
30.99,10.79
31.30,10.79
31.61,10.78
31.93,10.76
32.24,10.74
32.57,10.71
32.89,10.70
33.22,10.70
33.55,10.71
33.89,10.71
34.23,10.71
34.57,10.70
34.92,10.69
35.27,10.67
35.62,10.65
35.97,10.64
36.33,10.63
36.70,10.62
37.06,10.62
37.43,10.61
37.81,10.60
38.19,10.59
38.57,10.58
38.95,10.56
39.34,10.55
39.74,10.53
40.14,10.51
40.54,10.50
40.94,10.49
41.35,10.48
41.76,10.47
42.18,10.45
42.60,10.43
43.03,10.41
43.46,10.40
43.90,10.38
44.33,10.37
44.78,10.35
45.23,10.32
45.68,10.30
46.13,10.29
46.60,10.28
47.06,10.26
47.53,10.24
48.01,10.22
48.49,10.20
48.97,10.18
49.46,10.16
49.96,10.13
50.46,10.11
50.96,10.09
51.47,10.08
51.99,10.05
52.51,10.03
53.03,10.01
53.56,9.98
54.10,9.95
54.64,9.93
55.18,9.91
55.74,9.88
56.29,9.86
56.86,9.83
57.42,9.81
58.00,9.78
58.58,9.75
59.16,9.73
59.76,9.70
60.35,9.68
60.96,9.65
61.57,9.62
62.18,9.59
62.80,9.56
63.43,9.53
64.07,9.50
64.71,9.47
65.35,9.44
66.01,9.40
66.67,9.37
67.33,9.34
68.01,9.31
68.69,9.27
69.37,9.24
70.07,9.20
70.77,9.17
71.48,9.14
72.19,9.10
72.91,9.06
73.64,9.02
74.38,8.99
75.12,8.95
75.87,8.91
76.63,8.88
77.40,8.84
78.17,8.80
78.95,8.76
79.74,8.71
80.54,8.67
81.35,8.63
82.16,8.59
82.98,8.55
83.81,8.50
84.65,8.46
85.50,8.41
86.35,8.37
87.22,8.32
88.09,8.28
88.97,8.23
89.86,8.18
90.76,8.13
91.66,8.09
92.58,8.04
93.51,7.99
94.44,7.94
95.39,7.89
96.34,7.84
97.30,7.79
