frequency,raw
20.00,10.85
20.20,10.86
20.40,10.86
20.61,10.87
20.81,10.87
21.02,10.87
21.23,10.87
21.44,10.87
21.66,10.87
21.87,10.88
22.09,10.88
22.31,10.89
22.54,10.89
22.76,10.89
22.99,10.89
23.22,10.89
23.45,10.89
23.69,10.89
23.92,10.89
24.16,10.89
24.40,10.88
24.65,10.88
24.89,10.88
25.14,10.87
25.39,10.87
25.65,10.86
25.91,10.86
26.16,10.85
26.43,10.85
26.69,10.85
26.96,10.85
27.23,10.84
27.50,10.84
27.77,10.83
28.05,10.82
28.33,10.82
28.62,10.81
28.90,10.80
29.19,10.80
29.48,10.79
29.78,10.78
30.08,10.77
30.38,10.76
30.68,10.74
30.99,10.73
31.30,10.72
31.61,10.71
31.93,10.70
32.24,10.69
32.57,10.67
32.89,10.66
33.22,10.65
33.55,10.63
33.89,10.62
34.23,10.60
34.57,10.59
34.92,10.58
35.27,10.56
35.62,10.54
35.97,10.53
36.33,10.51
36.70,10.49
37.06,10.47
37.43,10.45
37.81,10.43
38.19,10.42
38.57,10.40
38.95,10.38
39.34,10.37
39.74,10.34
40.14,10.32
40.54,10.30
40.94,10.27
41.35,10.25
41.76,10.23
42.18,10.21
42.60,10.19
43.03,10.16
43.46,10.14
43.90,10.11
44.33,10.09
44.78,10.07
45.23,10.04
45.68,10.01
46.13,9.98
46.60,9.95
47.06,9.93
47.53,9.91
48.01,9.89
48.49,9.86
48.97,9.83
49.46,9.80
49.96,9.77
50.46,9.75
50.96,9.72
51.47,9.68
51.99,9.64
52.51,9.60
53.03,9.57
53.56,9.54
54.10,9.52
54.64,9.49
55.18,9.47
55.74,9.43
56.29,9.39
56.86,9.35
57.42,9.31
58.00,9.28
58.58,9.25
59.16,9.22
59.76,9.19
60.35,9.15
60.96,9.11
61.57,9.07
62.18,9.03
62.80,8.99
63.43,8.95
64.07,8.91
64.71,8.87
65.35,8.83
66.01,8.79
66.67,8.76
67.33,8.72
68.01,8.68
68.69,8.64
69.37,8.60
70.07,8.56
70.77,8.52
71.48,8.47
72.19,8.43
