frequency,raw
20.00,7.95
20.20,7.96
20.40,7.98
20.61,7.99
20.81,8.00
21.02,8.01
21.23,8.02
21.44,8.03
21.66,8.04
21.87,8.06
22.09,8.07
22.31,8.08
22.54,8.09
22.76,8.11
22.99,8.12
23.22,8.13
23.45,8.14
23.69,8.15
23.92,8.16
24.16,8.17
24.40,8.18
24.65,8.19
24.89,8.20
25.14,8.21
25.39,8.22
25.65,8.22
25.91,8.23
26.16,8.24
26.43,8.25
26.69,8.26
26.96,8.27
27.23,8.28
27.50,8.29
27.77,8.30
28.05,8.31
28.33,8.31
28.62,8.32
28.90,8.33
29.19,8.34
29.48,8.35
29.78,8.35
30.08,8.36
30.38,8.37
30.68,8.37
30.99,8.38
31.30,8.39
31.61,8.39
31.93,8.40
32.24,8.41
32.57,8.41
32.89,8.42
33.22,8.42
33.55,8.43
33.89,8.44
34.23,8.44
34.57,8.45
34.92,8.45
35.27,8.46
35.62,8.46
35.97,8.47
36.33,8.47
36.70,8.48
37.06,8.48
37.43,8.49
37.81,8.49
38.19,8.49
38.57,8.50
38.95,8.50
39.34,8.50
39.74,8.50
40.14,8.51
40.54,8.51
40.94,8.51
41.35,8.52
41.76,8.52
42.18,8.52
42.60,8.52
43.03,8.52
43.46,8.53
43.90,8.53
44.33,8.53
44.78,8.53
45.23,8.53
45.68,8.53
46.13,8.53
46.60,8.53
47.06,8.53
47.53,8.53
48.01,8.54
48.49,8.54
48.97,8.54
49.46,8.53
49.96,8.53
50.46,8.53
50.96,8.53
51.47,8.53
51.99,8.53
52.51,8.53
53.03,8.53
53.56,8.53
54.10,8.52
54.64,8.52
55.18,8.51
55.74,8.51
56.29,8.51
56.86,8.51
57.42,8.51
58.00,8.50
58.58,8.50
59.16,8.49
59.76,8.48
60.35,8.48
60.96,8.48
61.57,8.48
62.18,8.48
62.80,8.47
63.43,8.46
64.07,8.46
64.71,8.45
65.35,8.45
66.01,8.44
66.67,8.43
67.33,8.43
68.01,8.42
68.69,8.42
69.37,8.41
70.07,8.40
70.77,8.39
71.48,8.38
72.19,8.38
72.91,8.37
73.64,8.36
74.38,8.35
75.12,8.34
75.87,8.33
76.63,8.33
77.40,8.32
78.17,8.31
78.95,8.30
79.74,8.29
80.54,8.27
81.35,8.26
82.16,8.25
82.98,8.24
83.81,8.23
84.65,8.21
85.50,8.20
86.35,8.19
87.22,8.18
88.09,8.16
88.97,8.15
89.86,8.14
90.76,8.12
91.66,8.11
92.58,8.09
93.51,8.08
94.44,8.06
95.39,8.04
96.34,8.03
97.30,8.01
98.28,8.00
99.26,7.98
100.25,7.96
101.25,7.94
102.27,7.92
103.29,7.91
104.32,7.89
105.37,7.87
106.42,7.85
107.48,7.83
108.56,7.81
109.64,7.79
110.74,7.77
111.85,7.74
112.97,7.72
114.10,7.70
115.24,7.68
116.39,7.65
117.55,7.63
118.73,7.60
119.92,7.58
121.12,7.55
122.33,7.53
123.55,7.51
124.79,7.48
126.03,7.45
127.29,7.43
128.57,7.40
129.85,7.37
131.15,7.34
132.46,7.32
133.79,7.29
135.12,7.26
136.48,7.23
137.84,7.20
139.22,7.17
140.61,7.14
142.02,7.11
143.44,7.08
144.87,7.05
146.32,7.02
147.78,7.00
149.26,6.97
150.75,6.94
152.26,6.91
153.78,6.88
155.32,6.85
156.88,6.82
158.44,6.79
160.03,6.76
161.63,6.72
163.24,6.69
164.88,6.65
166.53,6.62
168.19,6.58
169.87,6.55
171.57,6.51
173.29,6.47
175.02,6.43
176.77,6.39
178.54,6.36
180.32,6.34
182.13,6.31
183.95,6.28
185.79,6.25
187.65,6.22
189.52,6.18
191.42,6.15
193.33,6.12
195.27,6.09
197.22,6.05
199.19,6.02
201.18,5.98
203.19,5.94
205.23,5.90
207.28,5.86
209.35,5.81
211.44,5.77
213.56,5.73
215.69,5.69
217.85,5.65
220.03,5.60
222.23,5.56
224.45,5.51
226.70,5.47
228.96,5.42
231.25,5.37
233.57,5.33
235.90,5.28
238.26,5.23
240.64,5.18
243.05,5.13
245.48,5.08
247.93,5.03
250.41,4.98
252.92,4.92
255.45,4.87
258.00,4.82
260.58,4.77
263.19,4.72
265.82,4.66
268.48,4.61
271.16,4.56
273.87,4.50
276.61,4.45
279.38,4.40
282.17,4.34
284.99,4.29
287.84,4.23
290.72,4.18
293.63,4.12
296.57,4.07
299.53,4.01
302.53,3.96
305.55,3.90
308.61,3.85
311.69,3.79
314.81,3.73
317.96,3.68
321.14,3.62
324.35,3.56
327.59,3.51
330.87,3.45
334.18,3.39
337.52,3.33
340.90,3.28
344.30,3.22
347.75,3.16
351.23,3.10
354.74,3.05
358.28,2.99
361.87,2.93
365.49,2.87
369.14,2.81
372.83,2.75
376.56,2.69
380.33,2.64
384.13,2.58
387.97,2.52
391.85,2.46
395.77,2.41
399.73,2.35
403.72,2.30
407.76,2.25
411.84,2.20
415.96,2.15
420.12,2.10
424.32,2.06
428.56,2.01
432.85,1.97
437.18,1.92
441.55,1.87
445.96,1.82
450.42,1.77
454.93,1.71
459.48,1.65
464.07,1.60
468.71,1.54
473.40,1.48
478.13,1.42
482.91,1.37
487.74,1.31
492.62,1.25
497.55,1.19
502.52,1.14
507.55,1.08
512.62,1.02
517.75,0.97
522.93,0.91
528.16,0.86
533.44,0.80
538.77,0.75
544.16,0.70
549.60,0.65
555.10,0.59
560.65,0.54
566.25,0.49
571.92,0.44
577.64,0.39
583.41,0.34
589.25,0.30
595.14,0.25
601.09,0.20
607.10,0.15
613.17,0.11
619.30,0.06
625.50,0.02
631.75,-0.03
638.07,-0.07
644.45,-0.11
650.89,-0.15
657.40,-0.19
663.98,-0.23
670.62,-0.27
677.32,-0.31
684.10,-0.34
690.94,-0.38
697.85,-0.41
704.83,-0.44
711.87,-0.47
718.99,-0.51
726.18,-0.53
733.44,-0.56
740.78,-0.58
748.19,-0.60
755.67,-0.62
763.23,-0.64
770.86,-0.66
778.57,-0.67
786.35,-0.68
794.22,-0.69
802.16,-0.70
810.18,-0.71
818.28,-0.71
826.46,-0.71
834.73,-0.70
843.08,-0.70
851.51,-0.69
860.02,-0.67
868.62,-0.66
877.31,-0.64
886.08,-0.61
894.94,-0.58
903.89,-0.55
912.93,-0.52
922.06,-0.48
931.28,-0.44
940.59,-0.39
950.00,-0.34
959.50,-0.28
969.09,-0.22
978.78,-0.15
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.24
1039.00,0.33
1049.39,0.42
1059.88,0.52
1070.48,0.63
1081.19,0.73
1092.00,0.84
1102.92,0.95
1113.95,1.07
1125.09,1.19
1136.34,1.31
1147.70,1.43
1159.18,1.55
1170.77,1.67
1182.48,1.80
1194.30,1.93
1206.25,2.05
1218.31,2.18
1230.49,2.31
1242.80,2.43
1255.22,2.56
1267.78,2.69
1280.45,2.82
1293.26,2.94
1306.19,3.07
1319.25,3.20
1332.45,3.33
1345.77,3.46
1359.23,3.59
1372.82,3.71
1386.55,3.84
1400.41,3.97
1414.42,4.10
1428.56,4.23
1442.85,4.36
1457.28,4.49
1471.85,4.63
1486.57,4.76
1501.43,4.89
1516.45,5.03
1531.61,5.16
1546.93,5.30
1562.40,5.43
1578.02,5.57
1593.80,5.71
1609.74,5.85
1625.84,5.99
1642.10,6.12
1658.52,6.26
1675.10,6.39
1691.85,6.52
1708.77,6.65
1725.86,6.78
1743.12,6.91
1760.55,7.03
1778.15,7.14
1795.94,7.26
