frequency,raw
20.00,8.23
20.20,8.26
20.40,8.28
20.61,8.30
20.81,8.32
21.02,8.33
21.23,8.35
21.44,8.37
21.66,8.38
21.87,8.40
22.09,8.42
22.31,8.43
22.54,8.45
22.76,8.46
22.99,8.47
23.22,8.48
23.45,8.50
23.69,8.51
23.92,8.53
24.16,8.54
24.40,8.56
24.65,8.58
24.89,8.59
25.14,8.61
25.39,8.62
25.65,8.63
25.91,8.63
26.16,8.64
26.43,8.65
26.69,8.66
26.96,8.67
27.23,8.68
27.50,8.69
27.77,8.69
28.05,8.70
28.33,8.70
28.62,8.70
28.90,8.70
29.19,8.70
29.48,8.70
29.78,8.71
30.08,8.71
30.38,8.72
30.68,8.72
30.99,8.72
31.30,8.71
31.61,8.71
31.93,8.71
32.24,8.71
32.57,8.71
32.89,8.71
33.22,8.71
33.55,8.70
33.89,8.69
34.23,8.69
34.57,8.68
34.92,8.68
35.27,8.67
35.62,8.67
35.97,8.67
36.33,8.66
36.70,8.65
37.06,8.64
37.43,8.63
37.81,8.62
38.19,8.60
38.57,8.59
38.95,8.58
39.34,8.58
39.74,8.57
40.14,8.55
40.54,8.54
40.94,8.52
41.35,8.51
41.76,8.49
42.18,8.48
42.60,8.46
43.03,8.45
43.46,8.44
43.90,8.42
44.33,8.41
44.78,8.39
45.23,8.37
45.68,8.35
46.13,8.33
46.60,8.31
47.06,8.29
47.53,8.27
48.01,8.26
48.49,8.24
48.97,8.22
49.46,8.20
49.96,8.17
50.46,8.15
50.96,8.12
51.47,8.10
51.99,8.08
52.51,8.06
53.03,8.03
53.56,8.01
54.10,7.98
54.64,7.96
55.18,7.93
55.74,7.90
56.29,7.88
56.86,7.86
57.42,7.83
58.00,7.80
58.58,7.77
59.16,7.74
59.76,7.71
60.35,7.68
60.96,7.65
61.57,7.62
62.18,7.59
62.80,7.56
63.43,7.53
64.07,7.50
64.71,7.47
65.35,7.44
66.01,7.41
66.67,7.37
67.33,7.34
68.01,7.30
68.69,7.27
69.37,7.24
