frequency,raw
20.00,7.00
20.20,7.03
20.40,7.06
20.61,7.09
20.81,7.11
21.02,7.14
21.23,7.16
21.44,7.19
21.66,7.21
21.87,7.24
22.09,7.26
22.31,7.28
22.54,7.30
22.76,7.32
22.99,7.34
23.22,7.36
23.45,7.38
23.69,7.39
23.92,7.40
24.16,7.41
24.40,7.42
24.65,7.43
24.89,7.45
25.14,7.46
25.39,7.48
25.65,7.50
25.91,7.52
26.16,7.54
26.43,7.55
26.69,7.56
26.96,7.57
27.23,7.57
27.50,7.57
27.77,7.57
28.05,7.58
28.33,7.59
28.62,7.61
28.90,7.62
29.19,7.63
29.48,7.64
29.78,7.64
30.08,7.64
30.38,7.64
30.68,7.64
30.99,7.64
31.30,7.65
31.61,7.65
31.93,7.65
32.24,7.65
32.57,7.65
32.89,7.65
33.22,7.64
33.55,7.64
33.89,7.64
34.23,7.64
34.57,7.63
34.92,7.63
35.27,7.63
35.62,7.62
35.97,7.62
36.33,7.61
36.70,7.60
37.06,7.59
37.43,7.58
37.81,7.58
38.19,7.57
38.57,7.56
38.95,7.55
39.34,7.55
39.74,7.54
40.14,7.52
40.54,7.50
40.94,7.48
41.35,7.47
41.76,7.45
42.18,7.45
42.60,7.44
43.03,7.43
43.46,7.41
43.90,7.39
44.33,7.37
44.78,7.36
45.23,7.34
45.68,7.32
46.13,7.30
46.60,7.27
47.06,7.25
47.53,7.23
48.01,7.21
48.49,7.19
48.97,7.16
49.46,7.13
49.96,7.11
50.46,7.08
50.96,7.06
51.47,7.03
51.99,7.00
52.51,6.97
53.03,6.95
53.56,6.92
54.10,6.89
54.64,6.86
55.18,6.83
55.74,6.80
56.29,6.77
56.86,6.74
57.42,6.70
58.00,6.66
58.58,6.64
59.16,6.61
59.76,6.58
60.35,6.54
60.96,6.50
61.57,6.46
62.18,6.43
62.80,6.39
63.43,6.35
64.07,6.31
64.71,6.27
65.35,6.23
66.01,6.19
66.67,6.15
67.33,6.11
68.01,6.07
68.69,6.03
69.37,5.98
70.07,5.94
70.77,5.89
71.48,5.85
72.19,5.81
72.91,5.76
73.64,5.71
74.38,5.67
75.12,5.62
75.87,5.57
76.63,5.53
77.40,5.48
78.17,5.43
78.95,5.38
79.74,5.33
80.54,5.28
81.35,5.23
82.16,5.18
82.98,5.13
83.81,5.09
84.65,5.03
85.50,4.98
86.35,4.93
87.22,4.88
88.09,4.83
88.97,4.77
89.86,4.72
90.76,4.67
91.66,4.62
92.58,4.57
93.51,4.51
94.44,4.46
95.39,4.40
96.34,4.35
97.30,4.30
98.28,4.25
99.26,4.19
100.25,4.14
101.25,4.08
102.27,4.03
103.29,3.97
104.32,3.92
105.37,3.87
106.42,3.82
107.48,3.76
108.56,3.71
109.64,3.65
110.74,3.60
111.85,3.55
112.97,3.49
114.10,3.44
115.24,3.38
116.39,3.33
117.55,3.28
118.73,3.22
119.92,3.15
121.12,3.11
122.33,3.08
123.55,3.02
124.79,2.97
126.03,2.92
127.29,2.86
128.57,2.81
129.85,2.77
131.15,2.72
132.46,2.67
133.79,2.62
135.12,2.58
136.48,2.54
137.84,2.50
139.22,2.46
140.61,2.43
142.02,2.40
143.44,2.37
144.87,2.34
146.32,2.32
147.78,2.29
149.26,2.26
150.75,2.23
152.26,2.21
153.78,2.17
155.32,2.14
156.88,2.12
158.44,2.09
160.03,2.05
161.63,2.05
163.24,2.03
164.88,2.00
166.53,1.97
168.19,1.95
169.87,1.93
171.57,1.91
173.29,1.88
175.02,1.86
176.77,1.84
178.54,1.83
180.32,1.82
182.13,1.79
183.95,1.77
185.79,1.76
187.65,1.74
189.52,1.73
191.42,1.72
193.33,1.71
195.27,1.70
197.22,1.69
199.19,1.68
201.18,1.67
203.19,1.66
205.23,1.65
207.28,1.63
209.35,1.62
211.44,1.61
213.56,1.60
215.69,1.59
217.85,1.57
220.03,1.56
222.23,1.55
224.45,1.54
226.70,1.53
228.96,1.51
231.25,1.50
233.57,1.49
235.90,1.48
238.26,1.48
240.64,1.47
243.05,1.45
245.48,1.44
247.93,1.43
250.41,1.42
252.92,1.41
255.45,1.40
258.00,1.39
260.58,1.38
263.19,1.38
265.82,1.37
268.48,1.36
271.16,1.35
273.87,1.34
276.61,1.33
279.38,1.32
282.17,1.31
284.99,1.31
287.84,1.30
290.72,1.29
293.63,1.28
296.57,1.27
299.53,1.27
302.53,1.26
305.55,1.24
308.61,1.23
311.69,1.22
314.81,1.21
317.96,1.20
321.14,1.19
324.35,1.19
327.59,1.18
330.87,1.16
334.18,1.15
337.52,1.15
340.90,1.14
344.30,1.13
347.75,1.12
351.23,1.11
354.74,1.10
358.28,1.09
361.87,1.07
365.49,1.06
369.14,1.05
372.83,1.04
376.56,1.02
380.33,1.01
384.13,1.00
387.97,0.98
391.85,0.97
395.77,0.95
399.73,0.94
403.72,0.92
407.76,0.90
411.84,0.89
415.96,0.87
420.12,0.85
424.32,0.83
428.56,0.81
432.85,0.79
437.18,0.77
441.55,0.76
445.96,0.74
450.42,0.72
454.93,0.70
