frequency,raw
20.00,8.31
20.20,8.31
20.40,8.32
20.61,8.32
20.81,8.32
21.02,8.32
21.23,8.32
21.44,8.31
21.66,8.31
21.87,8.31
22.09,8.30
22.31,8.30
22.54,8.29
22.76,8.29
22.99,8.29
23.22,8.28
23.45,8.28
23.69,8.28
23.92,8.28
24.16,8.27
24.40,8.26
24.65,8.25
24.89,8.24
25.14,8.23
25.39,8.22
25.65,8.20
25.91,8.19
26.16,8.19
26.43,8.18
26.69,8.16
26.96,8.15
27.23,8.14
27.50,8.12
27.77,8.10
28.05,8.09
28.33,8.08
28.62,8.06
28.90,8.05
29.19,8.04
29.48,8.02
29.78,8.00
30.08,7.98
30.38,7.96
30.68,7.95
30.99,7.93
31.30,7.91
31.61,7.89
31.93,7.87
32.24,7.85
32.57,7.83
32.89,7.80
33.22,7.78
33.55,7.76
33.89,7.73
34.23,7.71
34.57,7.68
34.92,7.66
35.27,7.63
35.62,7.61
35.97,7.59
36.33,7.56
36.70,7.54
37.06,7.51
37.43,7.48
37.81,7.45
38.19,7.42
38.57,7.39
38.95,7.37
39.34,7.34
39.74,7.31
40.14,7.28
40.54,7.25
40.94,7.22
41.35,7.19
41.76,7.15
42.18,7.12
42.60,7.09
43.03,7.06
43.46,7.03
43.90,6.99
44.33,6.96
44.78,6.92
45.23,6.89
45.68,6.85
46.13,6.82
46.60,6.78
47.06,6.75
47.53,6.71
48.01,6.68
48.49,6.64
48.97,6.60
49.46,6.56
49.96,6.52
50.46,6.49
50.96,6.45
51.47,6.41
51.99,6.37
52.51,6.33
53.03,6.29
53.56,6.26
54.10,6.22
54.64,6.18
55.18,6.14
55.74,6.10
56.29,6.05
56.86,6.01
57.42,5.97
58.00,5.94
58.58,5.89
59.16,5.84
59.76,5.80
60.35,5.77
60.96,5.73
61.57,5.68
62.18,5.63
62.80,5.59
63.43,5.55
64.07,5.51
64.71,5.47
65.35,5.42
66.01,5.37
66.67,5.33
67.33,5.29
68.01,5.25
68.69,5.20
69.37,5.15
70.07,5.11
70.77,5.07
71.48,5.02
72.19,4.98
