frequency,raw
20.00,11.74
20.20,11.75
20.40,11.77
20.61,11.78
20.81,11.78
21.02,11.79
21.23,11.79
21.44,11.80
21.66,11.80
21.87,11.81
22.09,11.82
22.31,11.83
22.54,11.84
22.76,11.85
22.99,11.86
23.22,11.87
23.45,11.87
23.69,11.88
23.92,11.88
24.16,11.89
24.40,11.89
24.65,11.89
24.89,11.89
25.14,11.89
25.39,11.90
25.65,11.90
25.91,11.90
26.16,11.91
26.43,11.91
26.69,11.90
26.96,11.90
27.23,11.90
27.50,11.90
27.77,11.90
28.05,11.89
28.33,11.89
28.62,11.89
28.90,11.89
29.19,11.88
29.48,11.88
29.78,11.87
30.08,11.87
30.38,11.87
30.68,11.86
30.99,11.85
31.30,11.85
31.61,11.84
31.93,11.83
32.24,11.82
32.57,11.81
32.89,11.81
33.22,11.80
33.55,11.79
33.89,11.78
34.23,11.77
34.57,11.76
34.92,11.75
35.27,11.74
35.62,11.73
35.97,11.71
36.33,11.70
36.70,11.68
37.06,11.67
37.43,11.66
37.81,11.64
38.19,11.63
38.57,11.61
38.95,11.59
39.34,11.58
39.74,11.56
40.14,11.54
40.54,11.53
40.94,11.51
41.35,11.49
41.76,11.46
42.18,11.45
42.60,11.43
43.03,11.41
43.46,11.38
43.90,11.36
44.33,11.34
44.78,11.32
45.23,11.31
45.68,11.29
46.13,11.26
46.60,11.24
47.06,11.21
47.53,11.19
48.01,11.16
48.49,11.13
48.97,11.09
49.46,11.06
49.96,11.04
50.46,11.02
50.96,10.99
51.47,10.95
51.99,10.92
52.51,10.89
53.03,10.86
53.56,10.83
54.10,10.80
54.64,10.77
55.18,10.74
55.74,10.70
56.29,10.67
56.86,10.64
57.42,10.61
58.00,10.58
58.58,10.55
59.16,10.51
59.76,10.48
60.35,10.45
60.96,10.41
61.57,10.36
62.18,10.31
62.80,10.27
63.43,10.24
64.07,10.20
64.71,10.16
65.35,10.12
66.01,10.08
66.67,10.04
67.33,10.00
68.01,9.96
68.69,9.92
69.37,9.88
70.07,9.84
70.77,9.80
71.48,9.75
72.19,9.70
72.91,9.65
73.64,9.61
74.38,9.57
75.12,9.52
75.87,9.48
76.63,9.43
77.40,9.38
78.17,9.33
78.95,9.28
79.74,9.23
80.54,9.19
81.35,9.15
82.16,9.09
82.98,9.04
83.81,8.99
84.65,8.94
85.50,8.89
86.35,8.84
87.22,8.78
88.09,8.73
88.97,8.68
89.86,8.63
90.76,8.58
91.66,8.52
92.58,8.47
93.51,8.41
94.44,8.36
95.39,8.30
96.34,8.25
97.30,8.19
98.28,8.13
99.26,8.08
