frequency,raw
20.00,8.93
20.20,8.92
20.40,8.92
20.61,8.91
20.81,8.89
21.02,8.88
21.23,8.87
21.44,8.85
21.66,8.84
21.87,8.84
22.09,8.83
22.31,8.82
22.54,8.82
22.76,8.81
22.99,8.81
23.22,8.80
23.45,8.79
23.69,8.79
23.92,8.77
24.16,8.76
24.40,8.75
24.65,8.73
24.89,8.72
25.14,8.70
25.39,8.68
25.65,8.67
25.91,8.65
26.16,8.64
26.43,8.63
26.69,8.62
26.96,8.61
27.23,8.60
27.50,8.59
27.77,8.59
28.05,8.58
28.33,8.57
28.62,8.55
28.90,8.54
29.19,8.52
29.48,8.50
29.78,8.48
30.08,8.46
30.38,8.43
30.68,8.41
30.99,8.38
31.30,8.35
31.61,8.33
31.93,8.30
32.24,8.27
32.57,8.24
32.89,8.22
33.22,8.20
33.55,8.18
33.89,8.16
34.23,8.13
34.57,8.10
34.92,8.07
35.27,8.04
35.62,8.01
35.97,7.98
36.33,7.96
36.70,7.93
37.06,7.90
37.43,7.87
37.81,7.83
38.19,7.80
38.57,7.77
38.95,7.75
39.34,7.73
39.74,7.71
40.14,7.68
40.54,7.64
40.94,7.60
41.35,7.56
41.76,7.52
42.18,7.49
42.60,7.47
43.03,7.46
43.46,7.45
43.90,7.44
44.33,7.40
44.78,7.35
45.23,7.29
45.68,7.23
46.13,7.19
46.60,7.15
47.06,7.11
47.53,7.06
48.01,7.02
48.49,6.99
48.97,6.98
49.46,6.97
49.96,6.95
50.46,6.90
50.96,6.85
51.47,6.81
51.99,6.81
52.51,6.81
53.03,6.80
53.56,6.73
54.10,6.65
54.64,6.57
55.18,6.53
55.74,6.50
56.29,6.46
56.86,6.41
57.42,6.37
58.00,6.33
58.58,6.29
59.16,6.24
59.76,6.19
60.35,6.14
60.96,6.10
61.57,6.06
62.18,6.01
62.80,5.95
63.43,5.90
64.07,5.85
64.71,5.81
65.35,5.76
66.01,5.71
66.67,5.64
67.33,5.59
68.01,5.54
68.69,5.48
69.37,5.43
70.07,5.39
70.77,5.33
71.48,5.27
72.19,5.21
72.91,5.16
73.64,5.10
74.38,5.03
75.12,4.96
75.87,4.91
76.63,4.86
77.40,4.83
78.17,4.80
78.95,4.77
79.74,4.73
80.54,4.67
81.35,4.60
82.16,4.55
82.98,4.51
83.81,4.47
84.65,4.43
85.50,4.37
86.35,4.32
87.22,4.27
88.09,4.21
88.97,4.16
89.86,4.12
90.76,4.07
91.66,4.01
92.58,3.95
93.51,3.91
94.44,3.85
95.39,3.79
96.34,3.72
97.30,3.68
98.28,3.63
99.26,3.49
100.25,3.31
101.25,3.39
102.27,3.39
103.29,3.36
104.32,3.29
105.37,3.21
106.42,3.15
107.48,3.10
108.56,3.05
109.64,2.99
110.74,2.94
111.85,2.88
112.97,2.83
114.10,2.77
115.24,2.72
116.39,2.66
117.55,2.61
118.73,2.55
119.92,2.51
121.12,2.46
122.33,2.42
123.55,2.37
124.79,2.31
126.03,2.25
127.29,2.20
128.57,2.16
129.85,2.11
131.15,2.06
132.46,2.01
133.79,1.96
135.12,1.91
136.48,1.86
137.84,1.81
139.22,1.77
140.61,1.72
142.02,1.67
143.44,1.62
144.87,1.58
146.32,1.53
147.78,1.48
149.26,1.44
150.75,1.39
152.26,1.34
153.78,1.30
155.32,1.26
156.88,1.21
158.44,1.16
160.03,1.12
161.63,1.08
163.24,1.04
164.88,0.99
166.53,0.96
168.19,0.92
169.87,0.89
171.57,0.85
173.29,0.82
175.02,0.80
176.77,0.77
178.54,0.77
180.32,0.78
182.13,0.78
183.95,0.79
185.79,0.79
187.65,0.80
189.52,0.81
191.42,0.82
193.33,0.84
195.27,0.85
197.22,0.86
199.19,0.84
201.18,0.83
203.19,0.82
205.23,0.79
207.28,0.77
209.35,0.75
211.44,0.73
213.56,0.71
215.69,0.69
217.85,0.68
220.03,0.66
222.23,0.64
224.45,0.63
226.70,0.61
228.96,0.59
231.25,0.58
233.57,0.57
235.90,0.55
238.26,0.53
240.64,0.52
243.05,0.51
245.48,0.50
247.93,0.49
250.41,0.49
252.92,0.48
255.45,0.47
258.00,0.45
260.58,0.45
263.19,0.44
265.82,0.42
268.48,0.43
271.16,0.42
273.87,0.41
276.61,0.41
279.38,0.40
282.17,0.39
284.99,0.38
287.84,0.37
290.72,0.36
293.63,0.37
296.57,0.37
299.53,0.36
302.53,0.37
305.55,0.36
308.61,0.35
311.69,0.34
314.81,0.34
317.96,0.33
321.14,0.32
324.35,0.32
327.59,0.32
330.87,0.31
334.18,0.30
337.52,0.30
340.90,0.29
344.30,0.29
347.75,0.28
351.23,0.28
354.74,0.27
358.28,0.26
361.87,0.26
365.49,0.25
369.14,0.24
372.83,0.23
376.56,0.23
380.33,0.22
384.13,0.21
387.97,0.20
391.85,0.20
395.77,0.19
399.73,0.18
403.72,0.16
407.76,0.15
411.84,0.16
415.96,0.15
420.12,0.14
424.32,0.13
428.56,0.12
432.85,0.11
437.18,0.11
441.55,0.10
445.96,0.09
450.42,0.09
454.93,0.08
459.48,0.07
464.07,0.06
468.71,0.05
473.40,0.03
478.13,0.01
482.91,-0.01
487.74,-0.03
492.62,-0.05
497.55,-0.05
502.52,-0.07
507.55,-0.09
512.62,-0.09
517.75,-0.09
522.93,-0.09
528.16,-0.11
533.44,-0.12
538.77,-0.13
544.16,-0.14
549.60,-0.15
555.10,-0.17
560.65,-0.19
566.25,-0.20
571.92,-0.21
577.64,-0.23
583.41,-0.24
589.25,-0.25
595.14,-0.27
601.09,-0.28
607.10,-0.29
613.17,-0.31
619.30,-0.33
625.50,-0.34
631.75,-0.36
638.07,-0.37
644.45,-0.38
650.89,-0.40
657.40,-0.41
663.98,-0.42
670.62,-0.43
677.32,-0.45
684.10,-0.46
690.94,-0.48
697.85,-0.48
704.83,-0.49
711.87,-0.51
718.99,-0.52
726.18,-0.52
733.44,-0.53
740.78,-0.55
748.19,-0.55
755.67,-0.55
763.23,-0.56
770.86,-0.56
778.57,-0.57
786.35,-0.57
794.22,-0.57
802.16,-0.57
810.18,-0.57
818.28,-0.57
826.46,-0.56
834.73,-0.55
843.08,-0.54
851.51,-0.53
860.02,-0.52
868.62,-0.51
877.31,-0.49
886.08,-0.47
894.94,-0.45
903.89,-0.42
912.93,-0.40
922.06,-0.36
931.28,-0.33
940.59,-0.30
950.00,-0.26
959.50,-0.21
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.18
1039.00,0.25
1049.39,0.32
1059.88,0.39
1070.48,0.47
1081.19,0.54
1092.00,0.62
1102.92,0.70
1113.95,0.78
1125.09,0.87
1136.34,0.95
1147.70,1.04
