frequency,raw
20.00,9.26
20.20,9.26
20.40,9.26
20.61,9.25
20.81,9.25
21.02,9.24
21.23,9.23
21.44,9.22
21.66,9.22
21.87,9.21
22.09,9.21
22.31,9.21
22.54,9.21
22.76,9.21
22.99,9.21
23.22,9.20
23.45,9.20
23.69,9.19
23.92,9.18
24.16,9.17
24.40,9.16
24.65,9.15
24.89,9.14
25.14,9.13
25.39,9.12
25.65,9.11
25.91,9.10
26.16,9.08
26.43,9.07
26.69,9.05
26.96,9.04
27.23,9.02
27.50,9.01
27.77,9.00
28.05,8.99
28.33,8.98
28.62,8.97
28.90,8.96
29.19,8.95
29.48,8.94
29.78,8.92
30.08,8.91
30.38,8.89
30.68,8.87
30.99,8.84
31.30,8.82
31.61,8.79
31.93,8.77
32.24,8.74
32.57,8.72
32.89,8.70
33.22,8.68
33.55,8.66
33.89,8.64
34.23,8.62
34.57,8.59
34.92,8.57
35.27,8.54
35.62,8.51
35.97,8.49
36.33,8.46
36.70,8.44
37.06,8.42
37.43,8.40
37.81,8.37
38.19,8.34
38.57,8.31
38.95,8.28
39.34,8.25
39.74,8.21
40.14,8.18
40.54,8.15
40.94,8.11
41.35,8.09
41.76,8.07
42.18,8.04
42.60,8.02
43.03,7.98
43.46,7.94
43.90,7.89
44.33,7.84
44.78,7.80
45.23,7.76
45.68,7.73
46.13,7.69
46.60,7.66
47.06,7.62
47.53,7.58
48.01,7.53
48.49,7.49
48.97,7.45
49.46,7.41
49.96,7.37
50.46,7.32
50.96,7.28
51.47,7.23
51.99,7.20
52.51,7.15
53.03,7.10
53.56,7.05
54.10,7.01
54.64,6.96
55.18,6.92
55.74,6.87
56.29,6.82
56.86,6.78
57.42,6.73
58.00,6.69
58.58,6.63
59.16,6.56
59.76,6.50
60.35,6.45
60.96,6.41
61.57,6.37
62.18,6.32
62.80,6.27
63.43,6.22
64.07,6.16
64.71,6.11
65.35,6.05
66.01,6.01
66.67,5.95
67.33,5.89
68.01,5.84
68.69,5.78
69.37,5.72
70.07,5.66
70.77,5.61
71.48,5.55
72.19,5.49
72.91,5.43
73.64,5.37
74.38,5.32
75.12,5.26
75.87,5.20
76.63,5.14
77.40,5.08
78.17,5.02
78.95,4.96
79.74,4.90
80.54,4.84
81.35,4.78
82.16,4.71
82.98,4.65
83.81,4.59
84.65,4.53
85.50,4.48
86.35,4.42
87.22,4.36
88.09,4.29
88.97,4.24
89.86,4.18
90.76,4.12
91.66,4.06
92.58,3.99
93.51,3.94
94.44,3.88
95.39,3.82
96.34,3.76
97.30,3.70
98.28,3.63
99.26,3.57
100.25,3.51
101.25,3.45
102.27,3.40
103.29,3.34
104.32,3.28
105.37,3.22
