frequency,raw
20.00,11.91
20.20,11.92
20.40,11.92
20.61,11.92
20.81,11.92
21.02,11.92
21.23,11.92
21.44,11.92
21.66,11.92
21.87,11.92
22.09,11.92
22.31,11.92
22.54,11.92
22.76,11.92
22.99,11.92
23.22,11.92
23.45,11.92
23.69,11.92
23.92,11.91
24.16,11.91
24.40,11.91
24.65,11.91
24.89,11.90
25.14,11.90
25.39,11.89
25.65,11.89
25.91,11.89
26.16,11.88
26.43,11.88
26.69,11.88
26.96,11.87
27.23,11.87
27.50,11.86
27.77,11.86
28.05,11.85
28.33,11.85
28.62,11.84
28.90,11.84
29.19,11.83
29.48,11.82
29.78,11.81
30.08,11.81
30.38,11.80
30.68,11.79
30.99,11.78
31.30,11.77
31.61,11.76
31.93,11.75
32.24,11.74
32.57,11.73
32.89,11.72
33.22,11.71
33.55,11.70
33.89,11.69
34.23,11.68
34.57,11.67
34.92,11.66
35.27,11.64
35.62,11.63
35.97,11.62
36.33,11.61
36.70,11.60
37.06,11.59
37.43,11.57
37.81,11.56
38.19,11.54
38.57,11.52
38.95,11.51
39.34,11.49
39.74,11.48
40.14,11.46
40.54,11.45
40.94,11.43
41.35,11.41
41.76,11.40
42.18,11.38
42.60,11.36
43.03,11.35
43.46,11.33
43.90,11.31
44.33,11.28
44.78,11.26
45.23,11.24
45.68,11.23
46.13,11.21
46.60,11.19
47.06,11.17
47.53,11.14
48.01,11.12
48.49,11.10
48.97,11.07
49.46,11.05
49.96,11.03
50.46,11.01
50.96,10.99
51.47,10.96
51.99,10.94
52.51,10.92
53.03,10.90
53.56,10.87
54.10,10.83
54.64,10.80
55.18,10.77
55.74,10.75
56.29,10.73
56.86,10.70
57.42,10.67
58.00,10.65
58.58,10.62
59.16,10.59
59.76,10.56
60.35,10.53
60.96,10.50
61.57,10.47
62.18,10.43
62.80,10.40
63.43,10.37
64.07,10.34
64.71,10.31
65.35,10.28
66.01,10.25
66.67,10.22
67.33,10.19
68.01,10.15
68.69,10.12
69.37,10.08
70.07,10.04
70.77,10.01
71.48,9.97
72.19,9.94
72.91,9.90
73.64,9.86
74.38,9.82
75.12,9.79
75.87,9.75
76.63,9.72
77.40,9.68
78.17,9.64
78.95,9.61
79.74,9.56
80.54,9.53
81.35,9.49
82.16,9.45
82.98,9.41
83.81,9.37
84.65,9.32
85.50,9.28
86.35,9.24
87.22,9.20
88.09,9.16
88.97,9.12
89.86,9.08
90.76,9.03
91.66,8.99
92.58,8.95
93.51,8.90
94.44,8.86
95.39,8.82
96.34,8.77
97.30,8.73
98.28,8.69
99.26,8.64
100.25,8.60
101.25,8.55
102.27,8.50
103.29,8.46
104.32,8.41
105.37,8.37
106.42,8.33
107.48,8.28
108.56,8.24
109.64,8.20
110.74,8.16
111.85,8.11
112.97,8.07
114.10,8.03
115.24,7.98
116.39,7.93
117.55,7.88
118.73,7.82
119.92,7.76
121.12,7.71
122.33,7.65
123.55,7.60
124.79,7.54
126.03,7.48
127.29,7.42
128.57,7.36
129.85,7.31
131.15,7.25
132.46,7.19
133.79,7.13
135.12,7.07
136.48,7.01
137.84,6.96
139.22,6.91
140.61,6.86
142.02,6.82
143.44,6.77
144.87,6.73
146.32,6.69
147.78,6.64
149.26,6.59
150.75,6.55
152.26,6.49
153.78,6.44
155.32,6.38
156.88,6.32
158.44,6.26
160.03,6.20
161.63,6.14
163.24,6.09
164.88,6.03
166.53,5.99
168.19,5.94
169.87,5.90
171.57,5.86
173.29,5.81
175.02,5.76
176.77,5.71
178.54,5.64
180.32,5.57
182.13,5.51
183.95,5.45
185.79,5.38
187.65,5.32
189.52,5.26
191.42,5.20
193.33,5.15
195.27,5.10
197.22,5.05
199.19,5.01
201.18,4.96
203.19,4.91
205.23,4.87
207.28,4.82
209.35,4.77
211.44,4.72
213.56,4.67
215.69,4.61
217.85,4.55
220.03,4.49
222.23,4.43
224.45,4.36
226.70,4.30
228.96,4.24
231.25,4.17
233.57,4.11
235.90,4.04
238.26,3.98
240.64,3.91
243.05,3.84
245.48,3.77
247.93,3.70
250.41,3.63
252.92,3.55
255.45,3.48
258.00,3.41
260.58,3.34
263.19,3.28
265.82,3.21
268.48,3.16
271.16,3.11
273.87,3.06
276.61,3.02
279.38,2.97
282.17,2.92
284.99,2.88
287.84,2.83
290.72,2.77
293.63,2.72
296.57,2.66
299.53,2.59
302.53,2.53
305.55,2.46
308.61,2.37
311.69,2.28
314.81,2.18
317.96,2.06
321.14,1.93
324.35,1.80
327.59,1.68
330.87,1.59
334.18,1.53
337.52,1.49
340.90,1.47
344.30,1.46
347.75,1.42
351.23,1.37
354.74,1.32
358.28,1.24
361.87,1.15
365.49,1.04
369.14,0.94
372.83,0.77
376.56,0.62
380.33,0.50
384.13,0.37
387.97,0.17
391.85,-0.23
395.77,-0.49
399.73,-0.18
403.72,0.42
407.76,0.97
411.84,1.41
415.96,1.73
420.12,1.97
424.32,2.15
428.56,2.21
432.85,2.18
437.18,2.09
441.55,1.93
445.96,1.80
450.42,1.70
454.93,1.64
459.48,1.51
464.07,1.35
468.71,1.19
473.40,1.22
478.13,1.29
482.91,1.37
487.74,1.41
492.62,1.49
497.55,1.61
502.52,1.71
507.55,1.78
512.62,1.79
517.75,1.76
522.93,1.69
528.16,1.61
533.44,1.50
538.77,1.39
544.16,1.26
549.60,1.15
555.10,1.05
560.65,0.97
566.25,0.89
571.92,0.81
577.64,0.72
583.41,0.64
589.25,0.56
595.14,0.46
601.09,0.36
607.10,0.25
613.17,0.19
619.30,0.14
625.50,0.09
631.75,0.06
638.07,0.03
644.45,-0.00
650.89,-0.03
657.40,-0.05
663.98,-0.08
670.62,-0.10
677.32,-0.14
684.10,-0.17
690.94,-0.20
697.85,-0.24
704.83,-0.28
711.87,-0.32
718.99,-0.37
726.18,-0.41
733.44,-0.45
740.78,-0.48
748.19,-0.48
755.67,-0.49
763.23,-0.49
770.86,-0.49
778.57,-0.49
786.35,-0.50
794.22,-0.50
802.16,-0.51
810.18,-0.51
818.28,-0.51
826.46,-0.51
834.73,-0.51
843.08,-0.51
851.51,-0.50
860.02,-0.49
868.62,-0.48
877.31,-0.46
886.08,-0.45
894.94,-0.43
903.89,-0.41
912.93,-0.38
922.06,-0.36
931.28,-0.33
940.59,-0.29
950.00,-0.25
959.50,-0.21
969.09,-0.17
978.78,-0.12
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.34
1059.88,0.43
1070.48,0.52
1081.19,0.61
1092.00,0.71
1102.92,0.81
1113.95,0.92
1125.09,1.03
1136.34,1.14
1147.70,1.25
1159.18,1.36
1170.77,1.47
1182.48,1.58
1194.30,1.70
1206.25,1.81
1218.31,1.92
1230.49,2.04
1242.80,2.15
1255.22,2.27
1267.78,2.38
1280.45,2.49
1293.26,2.60
1306.19,2.71
1319.25,2.82
1332.45,2.92
1345.77,3.02
1359.23,3.11
1372.82,3.20
1386.55,3.29
1400.41,3.38
