frequency,raw
20.00,18.44
20.20,18.39
20.40,18.34
20.61,18.30
20.81,18.24
21.02,18.19
21.23,18.14
21.44,18.09
21.66,18.04
21.87,17.99
22.09,17.94
22.31,17.90
22.54,17.85
22.76,17.80
22.99,17.75
23.22,17.69
23.45,17.64
23.69,17.58
23.92,17.53
24.16,17.47
24.40,17.41
24.65,17.36
24.89,17.30
25.14,17.25
25.39,17.20
25.65,17.15
25.91,17.09
26.16,17.04
26.43,16.99
26.69,16.93
26.96,16.88
27.23,16.82
27.50,16.76
27.77,16.70
28.05,16.64
28.33,16.58
28.62,16.52
28.90,16.47
29.19,16.42
29.48,16.36
29.78,16.31
30.08,16.25
30.38,16.19
30.68,16.12
30.99,16.06
31.30,15.99
31.61,15.93
31.93,15.87
32.24,15.80
32.57,15.74
32.89,15.68
33.22,15.62
33.55,15.56
33.89,15.50
34.23,15.43
34.57,15.37
34.92,15.30
35.27,15.23
35.62,15.17
35.97,15.10
36.33,15.04
36.70,14.98
37.06,14.91
37.43,14.85
37.81,14.78
38.19,14.71
38.57,14.65
38.95,14.58
39.34,14.51
39.74,14.45
40.14,14.38
40.54,14.31
40.94,14.24
41.35,14.18
41.76,14.11
42.18,14.04
42.60,13.97
43.03,13.91
43.46,13.84
43.90,13.77
44.33,13.69
44.78,13.62
45.23,13.55
45.68,13.48
46.13,13.42
46.60,13.35
47.06,13.28
47.53,13.22
48.01,13.15
48.49,13.08
48.97,13.00
49.46,12.92
49.96,12.85
50.46,12.78
50.96,12.71
51.47,12.65
51.99,12.58
52.51,12.50
53.03,12.43
53.56,12.36
54.10,12.29
54.64,12.21
55.18,12.13
55.74,12.05
56.29,11.98
56.86,11.93
57.42,11.86
58.00,11.79
58.58,11.71
59.16,11.64
59.76,11.56
60.35,11.49
60.96,11.41
61.57,11.34
62.18,11.26
62.80,11.19
63.43,11.12
64.07,11.05
64.71,10.97
65.35,10.89
66.01,10.81
66.67,10.74
67.33,10.67
68.01,10.60
68.69,10.52
69.37,10.45
70.07,10.38
70.77,10.30
71.48,10.22
72.19,10.15
72.91,10.08
73.64,10.00
74.38,9.92
75.12,9.85
75.87,9.77
76.63,9.70
77.40,9.62
78.17,9.55
78.95,9.47
79.74,9.40
80.54,9.32
81.35,9.24
82.16,9.17
82.98,9.09
83.81,9.02
84.65,8.94
85.50,8.87
86.35,8.80
87.22,8.71
88.09,8.64
88.97,8.56
89.86,8.48
90.76,8.41
91.66,8.34
92.58,8.26
93.51,8.18
94.44,8.11
95.39,8.03
96.34,7.96
97.30,7.88
98.28,7.80
99.26,7.73
100.25,7.65
101.25,7.58
102.27,7.50
103.29,7.42
104.32,7.35
105.37,7.27
106.42,7.20
107.48,7.13
108.56,7.05
109.64,6.97
110.74,6.89
111.85,6.82
112.97,6.75
114.10,6.67
115.24,6.59
116.39,6.52
117.55,6.44
118.73,6.36
119.92,6.29
121.12,6.22
122.33,6.15
123.55,6.06
124.79,5.99
126.03,5.92
127.29,5.84
128.57,5.77
129.85,5.69
131.15,5.61
132.46,5.54
133.79,5.46
135.12,5.40
136.48,5.32
137.84,5.24
139.22,5.16
140.61,5.09
142.02,5.02
143.44,4.95
144.87,4.88
146.32,4.79
147.78,4.71
149.26,4.66
150.75,4.59
152.26,4.50
153.78,4.44
155.32,4.37
156.88,4.30
158.44,4.22
160.03,4.15
