frequency,raw
20.00,13.17
20.20,13.12
20.40,13.08
20.61,13.04
20.81,12.99
21.02,12.95
21.23,12.90
21.44,12.85
21.66,12.80
21.87,12.75
22.09,12.69
22.31,12.64
22.54,12.59
22.76,12.54
22.99,12.49
23.22,12.44
23.45,12.39
23.69,12.35
23.92,12.30
24.16,12.24
24.40,12.19
24.65,12.14
24.89,12.09
25.14,12.03
25.39,11.98
25.65,11.93
25.91,11.88
26.16,11.82
26.43,11.77
26.69,11.71
26.96,11.65
27.23,11.58
27.50,11.53
27.77,11.47
28.05,11.42
28.33,11.37
28.62,11.32
28.90,11.26
29.19,11.20
29.48,11.14
29.78,11.08
30.08,11.02
30.38,10.96
30.68,10.90
30.99,10.84
31.30,10.77
31.61,10.71
31.93,10.65
32.24,10.59
32.57,10.53
32.89,10.47
33.22,10.41
33.55,10.34
33.89,10.28
34.23,10.22
34.57,10.16
34.92,10.10
35.27,10.04
35.62,9.98
35.97,9.92
36.33,9.85
36.70,9.79
37.06,9.72
37.43,9.66
37.81,9.60
38.19,9.53
38.57,9.47
38.95,9.40
39.34,9.34
39.74,9.27
40.14,9.21
40.54,9.15
40.94,9.08
41.35,9.01
41.76,8.95
42.18,8.88
42.60,8.81
43.03,8.75
43.46,8.69
43.90,8.62
44.33,8.56
44.78,8.49
45.23,8.42
45.68,8.36
46.13,8.29
46.60,8.22
47.06,8.15
47.53,8.08
48.01,8.02
48.49,7.96
48.97,7.89
49.46,7.82
49.96,7.75
50.46,7.69
50.96,7.63
51.47,7.56
51.99,7.50
52.51,7.42
53.03,7.35
53.56,7.28
54.10,7.21
54.64,7.15
55.18,7.09
55.74,7.02
56.29,6.94
56.86,6.88
57.42,6.81
58.00,6.74
58.58,6.66
59.16,6.59
59.76,6.51
60.35,6.45
60.96,6.40
61.57,6.34
62.18,6.27
62.80,6.20
63.43,6.13
64.07,6.06
64.71,5.99
65.35,5.93
66.01,5.86
66.67,5.79
67.33,5.72
68.01,5.66
68.69,5.59
69.37,5.52
70.07,5.45
70.77,5.38
71.48,5.31
72.19,5.24
72.91,5.18
73.64,5.11
74.38,5.05
75.12,4.98
75.87,4.91
76.63,4.84
77.40,4.78
78.17,4.71
78.95,4.64
79.74,4.57
80.54,4.51
81.35,4.44
82.16,4.38
82.98,4.31
83.81,4.25
84.65,4.18
85.50,4.11
86.35,4.05
87.22,3.99
88.09,3.92
88.97,3.86
89.86,3.79
90.76,3.72
91.66,3.66
92.58,3.59
93.51,3.53
94.44,3.47
95.39,3.41
96.34,3.34
97.30,3.28
98.28,3.21
99.26,3.15
100.25,3.08
101.25,3.02
102.27,2.95
103.29,2.89
104.32,2.84
105.37,2.78
106.42,2.71
107.48,2.65
108.56,2.59
109.64,2.53
110.74,2.46
111.85,2.41
112.97,2.35
114.10,2.29
115.24,2.23
116.39,2.17
117.55,2.11
118.73,2.05
119.92,1.99
121.12,1.93
122.33,1.87
123.55,1.82
124.79,1.76
126.03,1.70
127.29,1.64
128.57,1.59
129.85,1.54
131.15,1.49
132.46,1.44
133.79,1.38
135.12,1.31
136.48,1.25
137.84,1.20
139.22,1.15
140.61,1.11
142.02,1.06
143.44,1.01
144.87,0.96
146.32,0.89
147.78,0.84
149.26,0.81
150.75,0.76
152.26,0.68
153.78,0.64
155.32,0.60
156.88,0.54
158.44,0.49
160.03,0.45
161.63,0.41
163.24,0.36
164.88,0.29
166.53,0.26
168.19,0.23
169.87,0.18
171.57,0.14
173.29,0.09
175.02,0.05
176.77,0.00
178.54,-0.04
180.32,-0.09
182.13,-0.14
183.95,-0.18
185.79,-0.23
187.65,-0.27
189.52,-0.30
191.42,-0.35
193.33,-0.39
195.27,-0.43
197.22,-0.47
199.19,-0.51
201.18,-0.56
203.19,-0.60
205.23,-0.63
207.28,-0.66
209.35,-0.71
211.44,-0.74
213.56,-0.78
215.69,-0.81
217.85,-0.84
220.03,-0.86
222.23,-0.89
224.45,-0.92
226.70,-0.94
228.96,-0.98
231.25,-1.01
233.57,-1.05
235.90,-1.08
238.26,-1.11
240.64,-1.14
243.05,-1.18
245.48,-1.21
247.93,-1.24
250.41,-1.27
252.92,-1.30
255.45,-1.33
258.00,-1.36
260.58,-1.38
263.19,-1.42
265.82,-1.45
268.48,-1.48
271.16,-1.50
273.87,-1.53
276.61,-1.56
279.38,-1.59
282.17,-1.61
284.99,-1.64
287.84,-1.67
290.72,-1.69
293.63,-1.72
296.57,-1.74
299.53,-1.77
302.53,-1.80
305.55,-1.83
308.61,-1.85
311.69,-1.88
314.81,-1.91
317.96,-1.93
321.14,-1.95
324.35,-1.98
327.59,-2.00
330.87,-2.02
334.18,-2.04
337.52,-2.07
340.90,-2.09
344.30,-2.12
347.75,-2.14
351.23,-2.16
354.74,-2.18
358.28,-2.20
361.87,-2.22
365.49,-2.23
369.14,-2.26
372.83,-2.27
376.56,-2.29
380.33,-2.30
384.13,-2.33
387.97,-2.35
391.85,-2.37
395.77,-2.39
399.73,-2.42
403.72,-2.43
407.76,-2.43
411.84,-2.43
415.96,-2.43
420.12,-2.43
424.32,-2.42
428.56,-2.41
432.85,-2.40
437.18,-2.37
441.55,-2.33
445.96,-2.29
450.42,-2.24
454.93,-2.19
459.48,-2.11
464.07,-2.01
468.71,-1.90
473.40,-1.79
478.13,-1.67
482.91,-1.54
487.74,-1.39
492.62,-1.24
497.55,-1.10
502.52,-0.95
507.55,-0.82
512.62,-0.69
517.75,-0.56
522.93,-0.45
528.16,-0.34
533.44,-0.25
538.77,-0.16
544.16,-0.10
549.60,-0.04
555.10,0.01
560.65,0.04
566.25,0.06
571.92,0.08
577.64,0.09
583.41,0.10
589.25,0.10
595.14,0.10
601.09,0.09
607.10,0.08
613.17,0.07
619.30,0.05
625.50,0.04
631.75,0.02
638.07,0.00
644.45,-0.02
650.89,-0.04
657.40,-0.07
663.98,-0.09
670.62,-0.11
677.32,-0.13
684.10,-0.15
690.94,-0.17
697.85,-0.19
704.83,-0.21
711.87,-0.23
718.99,-0.25
726.18,-0.27
733.44,-0.29
740.78,-0.31
748.19,-0.33
755.67,-0.34
763.23,-0.35
770.86,-0.37
778.57,-0.38
786.35,-0.39
794.22,-0.40
802.16,-0.41
810.18,-0.42
818.28,-0.43
826.46,-0.43
834.73,-0.43
843.08,-0.43
851.51,-0.42
860.02,-0.43
868.62,-0.42
877.31,-0.41
886.08,-0.40
894.94,-0.38
903.89,-0.37
912.93,-0.35
922.06,-0.32
931.28,-0.29
940.59,-0.25
950.00,-0.21
959.50,-0.18
969.09,-0.14
978.78,-0.10
988.57,-0.05
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.22
1049.39,0.27
1059.88,0.34
1070.48,0.40
1081.19,0.46
1092.00,0.53
1102.92,0.59
1113.95,0.66
1125.09,0.72
1136.34,0.79
1147.70,0.85
1159.18,0.91
1170.77,0.98
1182.48,1.04
1194.30,1.10
1206.25,1.15
1218.31,1.21
1230.49,1.26
1242.80,1.32
1255.22,1.36
1267.78,1.41
1280.45,1.46
1293.26,1.50
1306.19,1.54
1319.25,1.58
1332.45,1.61
1345.77,1.65
1359.23,1.68
1372.82,1.71
1386.55,1.74
1400.41,1.76
1414.42,1.79
1428.56,1.82
1442.85,1.84
1457.28,1.86
1471.85,1.89
1486.57,1.92
1501.43,1.94
1516.45,1.96
1531.61,1.99
1546.93,2.01
1562.40,2.03
1578.02,2.05
1593.80,2.08
1609.74,2.11
1625.84,2.13
1642.10,2.17
1658.52,2.20
1675.10,2.24
1691.85,2.29
1708.77,2.35
1725.86,2.42
1743.12,2.52
1760.55,2.63
1778.15,2.76
1795.94,2.90
1813.90,3.06
1832.03,3.21
1850.36,3.34
1868.86,3.43
1887.55,3.52
1906.42,3.60
1925.49,3.67
1944.74,3.74
1964.19,3.80
1983.83,3.89
2003.67,3.99
2023.71,4.02
2043.94,4.08
2064.38,4.16
2085.03,4.25
2105.88,4.34
2126.94,4.45
2148.20,4.57
2169.69,4.72
2191.38,4.87
2213.30,5.04
2235.43,5.21
2257.78,5.37
2280.36,5.51
2303.17,5.64
2326.20,5.75
2349.46,5.85
2372.95,5.96
2396.68,6.07
2420.65,6.18
2444.86,6.29
2469.31,6.40
2494.00,6.51
2518.94,6.60
2544.13,6.69
2569.57,6.75
2595.27,6.80
2621.22,6.84
2647.43,6.86
2673.90,6.87
2700.64,6.86
2727.65,6.85
2754.93,6.82
2782.48,6.79
2810.30,6.74
2838.40,6.70
2866.79,6.64
2895.46,6.58
2924.41,6.52
2953.65,6.47
2983.19,6.45
3013.02,6.41
3043.15,6.35
3073.58,6.33
3104.32,6.31
3135.36,6.29
3166.72,6.27
3198.38,6.26
3230.37,6.24
3262.67,6.23
3295.30,6.22
3328.25,6.20
3361.53,6.18
3395.15,6.18
3429.10,6.17
3463.39,6.16
3498.03,6.17
3533.01,6.16
3568.34,6.16
3604.02,6.17
3640.06,6.17
3676.46,6.18
3713.22,6.18
3750.36,6.18
3787.86,6.20
3825.74,6.22
3864.00,6.25
3902.64,6.31
3941.66,6.37
3981.08,6.51
4020.89,6.59
4061.10,6.59
4101.71,6.66
4142.73,6.73
4184.15,6.78
4226.00,6.82
