frequency,raw
20.00,16.39
20.20,16.39
20.40,16.39
20.61,16.39
20.81,16.38
21.02,16.37
21.23,16.36
21.44,16.36
21.66,16.35
21.87,16.34
22.09,16.34
22.31,16.33
22.54,16.32
22.76,16.32
22.99,16.31
23.22,16.30
23.45,16.30
23.69,16.29
23.92,16.27
24.16,16.26
24.40,16.25
24.65,16.24
24.89,16.22
25.14,16.21
25.39,16.19
25.65,16.18
25.91,16.17
26.16,16.16
26.43,16.14
26.69,16.13
26.96,16.11
27.23,16.09
27.50,16.07
27.77,16.05
28.05,16.03
28.33,16.01
28.62,15.99
28.90,15.97
29.19,15.95
29.48,15.93
29.78,15.91
30.08,15.88
30.38,15.86
30.68,15.84
30.99,15.82
31.30,15.80
31.61,15.77
31.93,15.74
32.24,15.72
32.57,15.69
32.89,15.66
33.22,15.63
33.55,15.60
33.89,15.57
34.23,15.55
34.57,15.52
34.92,15.49
35.27,15.46
35.62,15.42
35.97,15.39
36.33,15.36
36.70,15.32
37.06,15.29
37.43,15.25
37.81,15.22
38.19,15.18
38.57,15.14
38.95,15.10
39.34,15.07
39.74,15.03
40.14,14.99
40.54,14.95
40.94,14.91
41.35,14.87
41.76,14.83
42.18,14.78
42.60,14.74
43.03,14.69
43.46,14.65
43.90,14.60
44.33,14.56
44.78,14.51
45.23,14.46
45.68,14.41
46.13,14.36
46.60,14.31
47.06,14.26
47.53,14.21
48.01,14.16
48.49,14.10
48.97,14.05
49.46,14.00
49.96,13.94
50.46,13.89
50.96,13.83
51.47,13.77
51.99,13.72
52.51,13.66
53.03,13.60
53.56,13.54
54.10,13.47
54.64,13.41
55.18,13.35
55.74,13.28
56.29,13.22
56.86,13.15
57.42,13.08
58.00,13.02
58.58,12.95
59.16,12.87
59.76,12.80
60.35,12.73
60.96,12.66
61.57,12.59
62.18,12.51
62.80,12.44
63.43,12.36
64.07,12.29
64.71,12.21
65.35,12.13
66.01,12.05
66.67,11.97
67.33,11.89
68.01,11.81
68.69,11.72
69.37,11.64
70.07,11.55
70.77,11.47
71.48,11.38
72.19,11.29
72.91,11.20
73.64,11.11
74.38,11.02
75.12,10.93
75.87,10.83
76.63,10.74
77.40,10.64
78.17,10.54
78.95,10.45
79.74,10.34
80.54,10.24
81.35,10.14
82.16,10.04
82.98,9.94
83.81,9.84
84.65,9.73
85.50,9.62
86.35,9.52
87.22,9.41
88.09,9.30
88.97,9.19
89.86,9.08
90.76,8.96
91.66,8.85
92.58,8.74
93.51,8.62
94.44,8.51
95.39,8.39
96.34,8.27
97.30,8.15
98.28,8.03
99.26,7.92
100.25,7.80
101.25,7.66
102.27,7.54
103.29,7.41
104.32,7.28
105.37,7.15
106.42,7.03
107.48,6.91
108.56,6.77
109.64,6.64
110.74,6.52
111.85,6.39
112.97,6.25
114.10,6.11
115.24,5.97
116.39,5.83
117.55,5.70
118.73,5.58
119.92,5.45
121.12,5.31
122.33,5.16
123.55,5.02
124.79,4.88
126.03,4.74
127.29,4.60
128.57,4.46
129.85,4.33
131.15,4.19
132.46,4.06
133.79,3.93
135.12,3.79
136.48,3.65
137.84,3.52
139.22,3.40
140.61,3.27
142.02,3.13
143.44,3.00
144.87,2.89
146.32,2.76
147.78,2.64
149.26,2.52
150.75,2.40
152.26,2.28
153.78,2.17
155.32,2.05
156.88,1.93
158.44,1.82
160.03,1.71
161.63,1.60
163.24,1.49
164.88,1.38
166.53,1.27
168.19,1.16
169.87,1.07
171.57,0.97
173.29,0.87
175.02,0.77
176.77,0.68
178.54,0.61
180.32,0.55
182.13,0.45
183.95,0.37
185.79,0.29
187.65,0.21
189.52,0.12
191.42,0.07
193.33,0.01
195.27,-0.07
197.22,-0.10
199.19,-0.16
201.18,-0.22
203.19,-0.26
205.23,-0.30
207.28,-0.33
209.35,-0.37
211.44,-0.40
213.56,-0.43
215.69,-0.47
217.85,-0.51
220.03,-0.52
222.23,-0.54
224.45,-0.57
226.70,-0.61
228.96,-0.65
231.25,-0.67
233.57,-0.67
235.90,-0.67
238.26,-0.70
240.64,-0.71
243.05,-0.71
245.48,-0.73
247.93,-0.75
250.41,-0.76
252.92,-0.75
255.45,-0.75
258.00,-0.77
260.58,-0.78
263.19,-0.78
265.82,-0.78
268.48,-0.77
271.16,-0.79
273.87,-0.79
276.61,-0.77
279.38,-0.78
282.17,-0.79
284.99,-0.80
287.84,-0.80
290.72,-0.80
293.63,-0.79
296.57,-0.78
299.53,-0.78
302.53,-0.79
305.55,-0.77
308.61,-0.76
311.69,-0.76
314.81,-0.77
317.96,-0.76
321.14,-0.75
324.35,-0.75
327.59,-0.74
330.87,-0.73
334.18,-0.72
337.52,-0.71
340.90,-0.70
344.30,-0.69
347.75,-0.69
351.23,-0.68
354.74,-0.66
358.28,-0.66
361.87,-0.65
365.49,-0.64
369.14,-0.63
372.83,-0.63
376.56,-0.62
380.33,-0.61
384.13,-0.60
387.97,-0.60
391.85,-0.59
395.77,-0.59
399.73,-0.58
403.72,-0.58
407.76,-0.58
411.84,-0.56
415.96,-0.55
420.12,-0.54
424.32,-0.54
428.56,-0.53
432.85,-0.52
437.18,-0.52
441.55,-0.51
445.96,-0.52
450.42,-0.53
454.93,-0.50
459.48,-0.52
464.07,-0.52
468.71,-0.50
473.40,-0.49
478.13,-0.49
482.91,-0.49
487.74,-0.48
492.62,-0.49
497.55,-0.50
502.52,-0.49
507.55,-0.48
512.62,-0.49
517.75,-0.48
522.93,-0.45
528.16,-0.46
533.44,-0.47
538.77,-0.47
544.16,-0.47
549.60,-0.47
555.10,-0.48
560.65,-0.48
566.25,-0.48
571.92,-0.48
577.64,-0.49
583.41,-0.50
589.25,-0.50
595.14,-0.50
601.09,-0.51
607.10,-0.54
613.17,-0.54
619.30,-0.56
625.50,-0.55
631.75,-0.53
638.07,-0.54
644.45,-0.55
650.89,-0.56
657.40,-0.57
663.98,-0.57
670.62,-0.58
677.32,-0.58
684.10,-0.58
690.94,-0.59
697.85,-0.60
704.83,-0.60
711.87,-0.60
718.99,-0.61
726.18,-0.61
733.44,-0.62
740.78,-0.62
748.19,-0.62
755.67,-0.62
763.23,-0.62
770.86,-0.62
778.57,-0.62
786.35,-0.61
794.22,-0.61
802.16,-0.61
810.18,-0.60
818.28,-0.59
826.46,-0.58
834.73,-0.57
843.08,-0.56
851.51,-0.55
860.02,-0.53
868.62,-0.51
877.31,-0.49
886.08,-0.47
894.94,-0.45
903.89,-0.42
912.93,-0.39
922.06,-0.36
931.28,-0.33
940.59,-0.29
950.00,-0.25
959.50,-0.21
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.10
1028.71,0.16
1039.00,0.23
1049.39,0.29
1059.88,0.36
1070.48,0.43
1081.19,0.50
1092.00,0.57
