frequency,raw
20.00,6.03
20.20,6.07
20.40,6.12
20.61,6.17
20.81,6.21
21.02,6.25
21.23,6.29
21.44,6.33
21.66,6.37
21.87,6.41
22.09,6.46
22.31,6.50
22.54,6.54
22.76,6.58
22.99,6.62
23.22,6.66
23.45,6.70
23.69,6.74
23.92,6.78
24.16,6.81
24.40,6.85
24.65,6.89
24.89,6.92
25.14,6.96
25.39,6.99
25.65,7.02
25.91,7.05
26.16,7.08
26.43,7.11
26.69,7.13
26.96,7.15
27.23,7.18
27.50,7.20
27.77,7.23
28.05,7.27
28.33,7.30
28.62,7.34
28.90,7.37
29.19,7.39
29.48,7.41
29.78,7.43
30.08,7.44
30.38,7.46
30.68,7.48
30.99,7.51
31.30,7.54
31.61,7.56
31.93,7.58
32.24,7.59
32.57,7.60
32.89,7.62
33.22,7.64
33.55,7.67
33.89,7.70
34.23,7.72
34.57,7.75
34.92,7.76
35.27,7.77
35.62,7.78
35.97,7.79
36.33,7.80
36.70,7.82
37.06,7.83
37.43,7.85
37.81,7.86
38.19,7.87
38.57,7.88
38.95,7.89
39.34,7.89
39.74,7.90
40.14,7.91
40.54,7.92
40.94,7.93
41.35,7.93
41.76,7.94
42.18,7.94
42.60,7.95
43.03,7.95
43.46,7.96
43.90,7.96
44.33,7.96
44.78,7.96
45.23,7.96
45.68,7.96
46.13,7.96
46.60,7.96
47.06,7.96
47.53,7.97
48.01,7.96
48.49,7.96
48.97,7.96
49.46,7.96
49.96,7.96
50.46,7.95
50.96,7.95
51.47,7.94
51.99,7.93
52.51,7.92
53.03,7.91
53.56,7.91
54.10,7.91
54.64,7.91
55.18,7.90
55.74,7.89
56.29,7.88
56.86,7.86
57.42,7.85
58.00,7.84
58.58,7.83
59.16,7.82
59.76,7.80
60.35,7.79
60.96,7.78
61.57,7.77
62.18,7.76
62.80,7.74
63.43,7.72
64.07,7.71
64.71,7.69
65.35,7.68
66.01,7.66
66.67,7.64
67.33,7.63
68.01,7.61
68.69,7.59
69.37,7.57
70.07,7.55
70.77,7.53
71.48,7.51
72.19,7.49
72.91,7.47
73.64,7.45
74.38,7.43
75.12,7.41
75.87,7.38
76.63,7.36
77.40,7.34
78.17,7.32
78.95,7.29
79.74,7.27
80.54,7.24
81.35,7.22
82.16,7.19
82.98,7.17
83.81,7.14
84.65,7.11
85.50,7.09
86.35,7.06
87.22,7.03
88.09,7.00
88.97,6.97
89.86,6.95
90.76,6.92
91.66,6.89
92.58,6.86
93.51,6.83
94.44,6.80
95.39,6.77
96.34,6.73
97.30,6.70
98.28,6.67
99.26,6.64
100.25,6.61
101.25,6.57
102.27,6.54
103.29,6.50
104.32,6.47
105.37,6.44
106.42,6.40
107.48,6.37
108.56,6.34
109.64,6.30
110.74,6.27
111.85,6.23
112.97,6.19
114.10,6.15
115.24,6.12
116.39,6.08
117.55,6.05
118.73,6.01
119.92,5.97
121.12,5.94
122.33,5.90
123.55,5.86
124.79,5.82
126.03,5.78
127.29,5.74
128.57,5.70
129.85,5.66
131.15,5.62
132.46,5.58
133.79,5.55
135.12,5.50
136.48,5.46
137.84,5.42
139.22,5.38
140.61,5.34
142.02,5.30
143.44,5.26
144.87,5.22
146.32,5.17
147.78,5.13
149.26,5.09
150.75,5.05
152.26,5.01
153.78,4.96
155.32,4.92
156.88,4.88
158.44,4.84
160.03,4.79
161.63,4.75
163.24,4.71
164.88,4.66
166.53,4.62
168.19,4.58
169.87,4.53
171.57,4.49
173.29,4.45
175.02,4.40
176.77,4.36
178.54,4.32
180.32,4.28
182.13,4.23
183.95,4.18
185.79,4.14
187.65,4.09
189.52,4.05
191.42,4.00
193.33,3.96
195.27,3.92
197.22,3.87
199.19,3.83
201.18,3.78
203.19,3.74
205.23,3.69
207.28,3.65
209.35,3.61
211.44,3.56
213.56,3.52
215.69,3.48
217.85,3.43
220.03,3.39
222.23,3.35
224.45,3.30
226.70,3.26
228.96,3.21
231.25,3.17
233.57,3.12
235.90,3.08
238.26,3.03
240.64,2.99
243.05,2.95
245.48,2.90
247.93,2.86
250.41,2.82
252.92,2.78
255.45,2.74
258.00,2.69
260.58,2.66
263.19,2.62
265.82,2.58
268.48,2.54
271.16,2.50
273.87,2.46
276.61,2.43
279.38,2.40
282.17,2.37
284.99,2.35
287.84,2.32
290.72,2.29
293.63,2.25
296.57,2.21
299.53,2.17
302.53,2.12
305.55,2.08
308.61,2.04
311.69,2.00
314.81,1.95
317.96,1.91
321.14,1.87
324.35,1.84
327.59,1.80
330.87,1.77
334.18,1.74
337.52,1.72
340.90,1.69
344.30,1.67
347.75,1.64
351.23,1.60
354.74,1.57
358.28,1.53
361.87,1.49
365.49,1.45
369.14,1.41
372.83,1.38
376.56,1.34
380.33,1.30
384.13,1.27
387.97,1.23
391.85,1.19
395.77,1.16
399.73,1.12
403.72,1.09
407.76,1.05
411.84,1.02
415.96,0.99
420.12,0.95
424.32,0.92
428.56,0.88
432.85,0.85
437.18,0.82
441.55,0.79
445.96,0.75
450.42,0.72
454.93,0.69
459.48,0.66
464.07,0.63
468.71,0.60
473.40,0.57
478.13,0.54
482.91,0.51
487.74,0.48
492.62,0.45
497.55,0.42
502.52,0.39
507.55,0.36
512.62,0.33
517.75,0.30
522.93,0.27
528.16,0.25
533.44,0.22
