frequency,raw
20.00,8.44
20.20,8.49
20.40,8.54
20.61,8.59
20.81,8.63
21.02,8.68
21.23,8.72
21.44,8.77
21.66,8.81
21.87,8.85
22.09,8.90
22.31,8.94
22.54,8.98
22.76,9.02
22.99,9.05
23.22,9.09
23.45,9.13
23.69,9.16
23.92,9.20
24.16,9.24
24.40,9.28
24.65,9.31
24.89,9.34
25.14,9.37
25.39,9.41
25.65,9.44
25.91,9.48
26.16,9.52
26.43,9.57
26.69,9.61
26.96,9.65
27.23,9.67
27.50,9.68
27.77,9.67
28.05,9.67
28.33,9.66
28.62,9.67
28.90,9.71
29.19,9.76
29.48,9.82
29.78,9.87
30.08,9.92
30.38,9.96
30.68,9.97
30.99,9.98
31.30,9.99
31.61,10.01
31.93,10.04
32.24,10.07
32.57,10.09
32.89,10.10
33.22,10.12
33.55,10.13
33.89,10.14
34.23,10.16
34.57,10.18
34.92,10.20
35.27,10.21
35.62,10.22
35.97,10.22
36.33,10.23
36.70,10.25
37.06,10.27
37.43,10.29
37.81,10.30
38.19,10.30
38.57,10.31
38.95,10.32
39.34,10.33
39.74,10.35
40.14,10.36
40.54,10.35
40.94,10.35
41.35,10.36
41.76,10.37
42.18,10.39
42.60,10.41
43.03,10.41
43.46,10.40
43.90,10.40
44.33,10.40
44.78,10.40
45.23,10.41
45.68,10.41
46.13,10.42
46.60,10.42
47.06,10.42
47.53,10.41
48.01,10.41
48.49,10.42
48.97,10.42
49.46,10.41
49.96,10.39
50.46,10.38
50.96,10.38
51.47,10.39
51.99,10.38
52.51,10.37
53.03,10.35
53.56,10.36
54.10,10.36
54.64,10.35
55.18,10.33
55.74,10.32
56.29,10.31
56.86,10.31
57.42,10.30
58.00,10.29
58.58,10.28
59.16,10.26
59.76,10.25
60.35,10.24
60.96,10.23
61.57,10.22
62.18,10.20
62.80,10.18
63.43,10.17
64.07,10.15
64.71,10.14
65.35,10.12
66.01,10.11
66.67,10.09
67.33,10.07
68.01,10.05
68.69,10.03
69.37,10.01
70.07,9.99
70.77,9.97
71.48,9.95
72.19,9.93
72.91,9.91
73.64,9.89
74.38,9.86
75.12,9.84
75.87,9.82
