frequency,raw
20.00,3.35
20.20,3.40
20.40,3.45
20.61,3.49
20.81,3.52
21.02,3.53
21.23,3.54
21.44,3.53
21.66,3.53
21.87,3.54
22.09,3.56
22.31,3.59
22.54,3.63
22.76,3.69
22.99,3.75
23.22,3.81
23.45,3.86
23.69,3.90
23.92,3.93
24.16,3.94
24.40,3.96
24.65,3.97
24.89,3.99
25.14,4.01
25.39,4.04
25.65,4.07
25.91,4.09
26.16,4.11
26.43,4.11
26.69,4.11
26.96,4.12
27.23,4.13
27.50,4.16
27.77,4.19
28.05,4.23
28.33,4.28
28.62,4.32
28.90,4.35
29.19,4.37
29.48,4.38
29.78,4.39
30.08,4.40
30.38,4.41
30.68,4.42
30.99,4.44
31.30,4.45
31.61,4.47
31.93,4.48
32.24,4.49
32.57,4.50
32.89,4.52
33.22,4.53
33.55,4.55
33.89,4.56
34.23,4.57
34.57,4.58
34.92,4.59
35.27,4.62
35.62,4.64
35.97,4.67
36.33,4.69
36.70,4.70
37.06,4.71
37.43,4.72
37.81,4.73
38.19,4.74
38.57,4.75
38.95,4.76
39.34,4.77
39.74,4.77
40.14,4.78
40.54,4.80
40.94,4.81
41.35,4.82
41.76,4.81
42.18,4.81
42.60,4.82
43.03,4.83
43.46,4.85
43.90,4.87
44.33,4.88
44.78,4.88
45.23,4.89
45.68,4.90
46.13,4.91
46.60,4.92
47.06,4.91
47.53,4.90
48.01,4.89
48.49,4.89
48.97,4.91
49.46,4.92
49.96,4.92
50.46,4.92
50.96,4.92
51.47,4.92
51.99,4.93
52.51,4.95
53.03,4.97
53.56,4.96
54.10,4.94
54.64,4.92
55.18,4.93
55.74,4.96
56.29,4.97
56.86,4.96
57.42,4.95
58.00,4.95
58.58,4.93
59.16,4.90
59.76,4.86
60.35,4.86
60.96,4.90
61.57,4.94
62.18,4.96
62.80,4.97
63.43,4.96
64.07,4.93
64.71,4.91
65.35,4.91
66.01,4.92
66.67,4.92
67.33,4.92
68.01,4.92
68.69,4.91
69.37,4.91
70.07,4.91
70.77,4.91
71.48,4.91
72.19,4.91
72.91,4.89
73.64,4.88
74.38,4.86
75.12,4.86
75.87,4.85
76.63,4.84
77.40,4.84
78.17,4.84
78.95,4.84
79.74,4.83
80.54,4.82
81.35,4.81
82.16,4.80
82.98,4.78
83.81,4.76
84.65,4.76
85.50,4.75
86.35,4.74
87.22,4.74
88.09,4.73
88.97,4.71
89.86,4.68
90.76,4.68
91.66,4.66
92.58,4.64
93.51,4.63
94.44,4.62
95.39,4.60
96.34,4.59
97.30,4.59
98.28,4.58
99.26,4.53
100.25,4.47
101.25,4.51
102.27,4.50
103.29,4.47
104.32,4.45
105.37,4.43
106.42,4.42
107.48,4.40
108.56,4.39
109.64,4.38
110.74,4.36
111.85,4.37
112.97,4.36
114.10,4.35
115.24,4.33
116.39,4.33
117.55,4.33
118.73,4.31
119.92,4.31
121.12,4.28
122.33,4.25
123.55,4.23
124.79,4.23
126.03,4.21
