frequency,raw
20.00,6.63
20.20,6.64
20.40,6.65
20.61,6.66
20.81,6.67
21.02,6.67
21.23,6.68
21.44,6.70
21.66,6.71
21.87,6.73
22.09,6.75
22.31,6.77
22.54,6.79
22.76,6.80
22.99,6.82
23.22,6.83
23.45,6.84
23.69,6.85
23.92,6.86
24.16,6.87
24.40,6.88
24.65,6.89
24.89,6.90
25.14,6.90
25.39,6.91
25.65,6.92
25.91,6.92
26.16,6.93
26.43,6.94
26.69,6.95
26.96,6.96
27.23,6.97
27.50,6.98
27.77,6.98
28.05,6.99
28.33,6.99
28.62,7.00
28.90,7.00
29.19,7.01
29.48,7.01
29.78,7.02
30.08,7.02
30.38,7.02
30.68,7.02
30.99,7.02
31.30,7.02
31.61,7.02
31.93,7.03
32.24,7.03
32.57,7.03
32.89,7.04
33.22,7.04
33.55,7.04
33.89,7.04
34.23,7.04
34.57,7.04
34.92,7.04
35.27,7.04
35.62,7.04
35.97,7.04
36.33,7.04
36.70,7.04
37.06,7.03
37.43,7.03
37.81,7.03
38.19,7.03
38.57,7.03
38.95,7.02
39.34,7.02
39.74,7.02
40.14,7.01
40.54,7.01
40.94,7.00
41.35,7.00
41.76,6.99
42.18,6.99
42.60,6.98
43.03,6.98
43.46,6.97
43.90,6.97
44.33,6.96
44.78,6.95
45.23,6.94
45.68,6.93
46.13,6.93
46.60,6.92
47.06,6.91
47.53,6.90
48.01,6.89
48.49,6.89
48.97,6.88
49.46,6.87
49.96,6.85
50.46,6.83
50.96,6.82
51.47,6.82
51.99,6.82
52.51,6.81
53.03,6.80
53.56,6.79
54.10,6.78
54.64,6.77
55.18,6.75
55.74,6.74
56.29,6.73
56.86,6.72
57.42,6.70
58.00,6.68
58.58,6.67
59.16,6.66
59.76,6.64
60.35,6.63
60.96,6.61
61.57,6.59
62.18,6.58
62.80,6.56
63.43,6.55
64.07,6.53
64.71,6.51
65.35,6.50
66.01,6.48
66.67,6.46
67.33,6.44
68.01,6.42
68.69,6.40
69.37,6.39
70.07,6.37
70.77,6.35
71.48,6.33
72.19,6.31
72.91,6.29
73.64,6.27
74.38,6.25
75.12,6.23
75.87,6.21
76.63,6.19
77.40,6.16
78.17,6.14
78.95,6.12
79.74,6.10
80.54,6.08
81.35,6.05
82.16,6.03
82.98,6.01
83.81,5.98
84.65,5.96
85.50,5.93
86.35,5.91
87.22,5.88
88.09,5.86
88.97,5.83
89.86,5.81
90.76,5.78
91.66,5.76
92.58,5.73
93.51,5.71
94.44,5.68
95.39,5.65
96.34,5.62
97.30,5.60
98.28,5.57
99.26,5.54
100.25,5.51
101.25,5.49
102.27,5.46
103.29,5.43
104.32,5.40
105.37,5.37
106.42,5.34
107.48,5.31
108.56,5.28
109.64,5.25
110.74,5.22
111.85,5.19
112.97,5.16
114.10,5.13
115.24,5.10
116.39,5.07
117.55,5.03
118.73,5.00
119.92,4.97
121.12,4.94
122.33,4.91
123.55,4.88
124.79,4.84
126.03,4.81
127.29,4.78
128.57,4.74
129.85,4.71
131.15,4.68
132.46,4.64
133.79,4.61
135.12,4.58
136.48,4.54
137.84,4.51
139.22,4.47
140.61,4.44
142.02,4.40
143.44,4.37
144.87,4.33
146.32,4.30
147.78,4.26
149.26,4.23
150.75,4.19
152.26,4.16
153.78,4.12
155.32,4.08
156.88,4.04
158.44,4.01
160.03,3.97
161.63,3.93
163.24,3.89
164.88,3.85
166.53,3.82
168.19,3.77
169.87,3.73
171.57,3.69
173.29,3.65
175.02,3.61
176.77,3.56
178.54,3.52
180.32,3.47
182.13,3.42
183.95,3.38
185.79,3.33
187.65,3.29
189.52,3.26
191.42,3.23
193.33,3.21
195.27,3.19
197.22,3.17
199.19,3.16
201.18,3.14
203.19,3.12
205.23,3.10
207.28,3.08
209.35,3.07
211.44,3.05
213.56,3.03
215.69,3.01
217.85,2.98
220.03,2.95
222.23,2.91
224.45,2.88
226.70,2.84
228.96,2.80
231.25,2.76
233.57,2.72
235.90,2.68
238.26,2.64
240.64,2.60
243.05,2.56
245.48,2.52
247.93,2.48
250.41,2.44
252.92,2.40
255.45,2.37
258.00,2.33
260.58,2.29
263.19,2.25
265.82,2.22
268.48,2.18
271.16,2.15
273.87,2.11
276.61,2.07
279.38,2.04
282.17,2.00
284.99,1.97
287.84,1.93
290.72,1.90
293.63,1.86
296.57,1.82
299.53,1.79
302.53,1.75
305.55,1.72
308.61,1.68
311.69,1.64
314.81,1.61
317.96,1.57
321.14,1.53
324.35,1.50
327.59,1.46
330.87,1.43
334.18,1.39
337.52,1.35
340.90,1.32
344.30,1.28
347.75,1.24
351.23,1.21
354.74,1.17
358.28,1.14
361.87,1.10
365.49,1.06
369.14,1.03
372.83,0.99
376.56,0.96
380.33,0.92
384.13,0.89
387.97,0.86
391.85,0.82
395.77,0.79
399.73,0.76
403.72,0.73
407.76,0.70
411.84,0.67
415.96,0.63
420.12,0.60
424.32,0.57
428.56,0.53
432.85,0.50
437.18,0.47
441.55,0.43
445.96,0.40
450.42,0.37
454.93,0.33
459.48,0.30
464.07,0.27
468.71,0.24
473.40,0.21
478.13,0.17
482.91,0.14
487.74,0.11
492.62,0.08
497.55,0.05
502.52,0.02
507.55,-0.01
512.62,-0.04
517.75,-0.07
522.93,-0.10
528.16,-0.12
533.44,-0.15
538.77,-0.18
544.16,-0.21
549.60,-0.24
555.10,-0.27
560.65,-0.29
566.25,-0.32
571.92,-0.35
577.64,-0.37
583.41,-0.40
589.25,-0.42
595.14,-0.45
601.09,-0.47
607.10,-0.50
613.17,-0.52
619.30,-0.54
625.50,-0.57
631.75,-0.59
638.07,-0.61
644.45,-0.63
650.89,-0.65
657.40,-0.67
663.98,-0.69
670.62,-0.71
677.32,-0.73
684.10,-0.75
690.94,-0.76
697.85,-0.78
704.83,-0.79
711.87,-0.81
718.99,-0.82
726.18,-0.83
733.44,-0.84
740.78,-0.85
748.19,-0.86
755.67,-0.86
763.23,-0.87
770.86,-0.87
778.57,-0.87
786.35,-0.87
794.22,-0.86
802.16,-0.86
810.18,-0.85
818.28,-0.83
826.46,-0.82
834.73,-0.80
843.08,-0.78
851.51,-0.76
860.02,-0.73
868.62,-0.70
877.31,-0.67
886.08,-0.64
894.94,-0.60
903.89,-0.56
912.93,-0.52
922.06,-0.47
931.28,-0.42
940.59,-0.37
950.00,-0.32
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.29
1049.39,0.37
1059.88,0.45
1070.48,0.54
1081.19,0.62
1092.00,0.71
1102.92,0.80
1113.95,0.90
1125.09,0.99
1136.34,1.08
1147.70,1.18
1159.18,1.28
1170.77,1.37
1182.48,1.47
1194.30,1.57
1206.25,1.66
1218.31,1.76
1230.49,1.85
1242.80,1.95
1255.22,2.05
1267.78,2.14
1280.45,2.23
1293.26,2.33
1306.19,2.42
1319.25,2.51
1332.45,2.60
1345.77,2.70
1359.23,2.79
1372.82,2.88
1386.55,2.97
1400.41,3.06
1414.42,3.16
1428.56,3.25
1442.85,3.34
1457.28,3.44
1471.85,3.53
1486.57,3.63
1501.43,3.73
1516.45,3.82
1531.61,3.92
1546.93,4.03
1562.40,4.13
1578.02,4.23
1593.80,4.34
1609.74,4.45
1625.84,4.56
1642.10,4.67
1658.52,4.78
1675.10,4.90
1691.85,5.01
1708.77,5.13
1725.86,5.25
1743.12,5.37
1760.55,5.49
1778.15,5.62
1795.94,5.74
1813.90,5.87
1832.03,5.99
1850.36,6.11
1868.86,6.24
1887.55,6.36
1906.42,6.48
1925.49,6.60
1944.74,6.71
1964.19,6.82
1983.83,6.93
2003.67,7.03
2023.71,7.12
2043.94,7.21
2064.38,7.29
2085.03,7.36
2105.88,7.42
2126.94,7.47
2148.20,7.51
2169.69,7.54
2191.38,7.56
2213.30,7.55
2235.43,7.55
2257.78,7.52
2280.36,7.49
2303.17,7.44
2326.20,7.38
2349.46,7.30
2372.95,7.21
2396.68,7.12
2420.65,7.01
2444.86,6.90
2469.31,6.78
2494.00,6.65
2518.94,6.51
2544.13,6.37
2569.57,6.22
2595.27,6.08
2621.22,5.93
2647.43,5.77
2673.90,5.62
2700.64,5.47
2727.65,5.32
2754.93,5.17
2782.48,5.02
2810.30,4.88
2838.40,4.74
2866.79,4.60
2895.46,4.47
2924.41,4.34
2953.65,4.21
2983.19,4.09
3013.02,3.98
3043.15,3.87
3073.58,3.78
3104.32,3.68
3135.36,3.59
3166.72,3.51
3198.38,3.43
3230.37,3.35
3262.67,3.28
3295.30,3.22
3328.25,3.16
3361.53,3.10
3395.15,3.05
3429.10,3.01
3463.39,2.96
3498.03,2.93
3533.01,2.90
3568.34,2.87
3604.02,2.85
3640.06,2.83
3676.46,2.82
3713.22,2.81
3750.36,2.81
3787.86,2.82
3825.74,2.83
3864.00,2.84
3902.64,2.86
3941.66,2.89
3981.08,2.92
4020.89,2.95
4061.10,2.99
4101.71,3.03
4142.73,3.08
4184.15,3.14
4226.00,3.20
4268.26,3.27
4310.94,3.34
4354.05,3.43
4397.59,3.52
4441.56,3.62
4485.98,3.73
4530.84,3.85
4576.15,3.98
4621.91,4.11
4668.13,4.27
4714.81,4.44
4761.96,4.62
4809.58,4.82
4857.67,5.03
4906.25,5.26
4955.31,5.51
5004.87,5.77
5054.91,6.05
5105.46,6.34
5156.52,6.65
5208.08,6.97
5260.16,7.31
5312.77,7.65
5365.89,8.00
5419.55,8.35
5473.75,8.70
5528.49,9.04
5583.77,9.36
5639.61,9.63
5696.00,9.89
5752.96,10.05
5810.49,10.19
5868.60,10.22
5927.28,10.20
5986.56,10.12
6046.42,9.96
6106.89,9.76
6167.96,9.51
6229.64,9.23
6291.93,8.93
6354.85,8.62
6418.40,8.32
6482.58,8.02
6547.41,7.75
6612.88,7.49
6679.01,7.27
6745.80,7.07
6813.26,6.91
6881.39,6.78
6950.21,6.70
7019.71,6.65
7089.91,6.64
7160.81,6.69
7232.41,6.78
7304.74,6.91
7377.79,7.10
7451.56,7.33
7526.08,7.61
7601.34,7.94
7677.35,8.32
7754.13,8.72
7831.67,9.10
7909.98,9.41
7989.08,9.62
8068.98,9.54
8149.67,9.25
8231.16,8.70
8313.47,7.90
8396.61,7.01
8480.57,6.01
8565.38,4.97
8651.03,3.93
8737.54,2.90
8824.92,1.91
8913.17,0.97
9002.30,0.05
9092.32,-0.79
9183.25,-1.59
9275.08,-2.34
9367.83,-3.05
9461.51,-3.70
9556.12,-4.31
9651.68,-4.87
9748.20,-5.40
9845.68,-5.88
9944.14,-6.33
10043.58,-6.74
10144.02,-7.10
10245.46,-7.43
10347.91,-7.73
10451.39,-8.00
10555.91,-8.21
10661.46,-8.40
10768.08,-8.55
10875.76,-8.66
10984.52,-8.73
11094.36,-8.77
11205.31,-8.76
11317.36,-8.70
11430.53,-8.60
11544.84,-8.44
11660.29,-8.22
11776.89,-7.95
11894.66,-7.57
12013.60,-7.16
12133.74,-6.67
12255.08,-6.05
12377.63,-5.34
12501.41,-4.50
12626.42,-3.48
12752.68,-2.27
12880.21,-0.80
13009.01,0.80
13139.10,2.40
13270.49,3.44
13403.20,4.03
13537.23,2.85
13672.60,1.38
13809.33,-0.32
13947.42,-1.79
14086.90,-2.98
14227.77,-4.01
14370.04,-4.89
14513.74,-5.70
14658.88,-7.38
14805.47,-8.49
14953.52,-8.66
15103.06,-8.19
15254.09,-7.43
15406.63,-6.54
