frequency,raw
20.00,12.05
20.20,12.05
20.40,12.06
20.61,12.07
20.81,12.07
21.02,12.08
21.23,12.08
21.44,12.09
21.66,12.09
21.87,12.10
22.09,12.10
22.31,12.11
22.54,12.11
22.76,12.11
22.99,12.12
23.22,12.12
23.45,12.12
23.69,12.13
23.92,12.13
24.16,12.13
24.40,12.13
24.65,12.13
24.89,12.13
25.14,12.13
25.39,12.13
25.65,12.13
25.91,12.13
26.16,12.13
26.43,12.13
26.69,12.13
26.96,12.13
27.23,12.12
27.50,12.12
27.77,12.12
28.05,12.11
28.33,12.11
28.62,12.10
28.90,12.10
29.19,12.09
29.48,12.09
29.78,12.08
30.08,12.08
30.38,12.07
30.68,12.07
30.99,12.06
31.30,12.05
31.61,12.05
31.93,12.04
32.24,12.03
32.57,12.02
32.89,12.01
33.22,12.00
33.55,11.99
33.89,11.98
34.23,11.97
34.57,11.96
34.92,11.95
35.27,11.94
35.62,11.93
35.97,11.92
36.33,11.90
36.70,11.89
37.06,11.88
37.43,11.87
37.81,11.85
38.19,11.84
38.57,11.82
38.95,11.81
39.34,11.79
39.74,11.78
40.14,11.76
40.54,11.74
40.94,11.73
41.35,11.71
41.76,11.69
42.18,11.67
42.60,11.65
43.03,11.63
43.46,11.61
43.90,11.59
44.33,11.57
44.78,11.55
45.23,11.53
45.68,11.51
46.13,11.49
46.60,11.47
47.06,11.44
47.53,11.42
48.01,11.39
48.49,11.37
48.97,11.35
49.46,11.32
49.96,11.30
50.46,11.27
50.96,11.24
51.47,11.22
51.99,11.19
52.51,11.15
53.03,11.12
53.56,11.09
54.10,11.07
54.64,11.04
55.18,11.01
55.74,10.98
56.29,10.95
56.86,10.92
57.42,10.88
58.00,10.85
58.58,10.81
59.16,10.78
59.76,10.75
60.35,10.71
60.96,10.67
61.57,10.64
62.18,10.60
62.80,10.56
63.43,10.52
64.07,10.49
64.71,10.45
65.35,10.41
66.01,10.36
66.67,10.32
67.33,10.28
68.01,10.24
68.69,10.20
69.37,10.15
70.07,10.11
70.77,10.06
71.48,10.02
72.19,9.97
72.91,9.93
73.64,9.88
74.38,9.83
75.12,9.78
75.87,9.73
76.63,9.68
77.40,9.63
78.17,9.58
78.95,9.53
79.74,9.48
80.54,9.42
81.35,9.37
82.16,9.32
82.98,9.26
83.81,9.20
84.65,9.15
85.50,9.09
86.35,9.03
87.22,8.98
88.09,8.92
88.97,8.86
89.86,8.80
90.76,8.74
91.66,8.67
92.58,8.61
93.51,8.55
94.44,8.49
95.39,8.42
96.34,8.36
97.30,8.29
98.28,8.23
99.26,8.16
100.25,8.09
101.25,8.02
102.27,7.95
103.29,7.89
104.32,7.82
105.37,7.74
106.42,7.67
107.48,7.60
108.56,7.53
109.64,7.46
110.74,7.38
111.85,7.31
112.97,7.23
114.10,7.16
115.24,7.08
116.39,7.01
117.55,6.93
118.73,6.85
119.92,6.77
121.12,6.69
122.33,6.62
123.55,6.54
124.79,6.46
126.03,6.38
127.29,6.29
128.57,6.21
129.85,6.13
131.15,6.05
132.46,5.97
133.79,5.88
135.12,5.80
136.48,5.72
137.84,5.64
139.22,5.55
140.61,5.47
142.02,5.38
143.44,5.30
144.87,5.21
146.32,5.13
147.78,5.04
149.26,4.95
150.75,4.87
152.26,4.78
153.78,4.69
155.32,4.61
156.88,4.52
158.44,4.43
160.03,4.34
161.63,4.25
163.24,4.16
164.88,4.07
166.53,3.98
168.19,3.89
169.87,3.80
171.57,3.71
173.29,3.61
175.02,3.52
176.77,3.44
178.54,3.36
180.32,3.30
182.13,3.25
183.95,3.21
185.79,3.17
187.65,3.13
189.52,3.06
191.42,2.99
193.33,2.92
195.27,2.85
197.22,2.77
199.19,2.70
201.18,2.62
203.19,2.54
205.23,2.47
207.28,2.40
209.35,2.33
211.44,2.26
213.56,2.19
215.69,2.12
217.85,2.05
220.03,1.98
222.23,1.92
224.45,1.85
226.70,1.79
228.96,1.73
231.25,1.67
233.57,1.61
235.90,1.55
238.26,1.49
240.64,1.43
243.05,1.39
245.48,1.34
247.93,1.29
250.41,1.24
252.92,1.19
255.45,1.15
258.00,1.10
260.58,1.06
263.19,1.02
265.82,0.98
268.48,0.94
271.16,0.91
273.87,0.87
276.61,0.84
279.38,0.81
282.17,0.77
284.99,0.74
287.84,0.71
290.72,0.68
293.63,0.65
296.57,0.62
299.53,0.59
302.53,0.57
305.55,0.54
308.61,0.52
311.69,0.49
314.81,0.47
317.96,0.45
321.14,0.43
324.35,0.41
327.59,0.39
330.87,0.37
334.18,0.36
337.52,0.34
340.90,0.33
344.30,0.31
347.75,0.30
351.23,0.29
354.74,0.27
