frequency,raw
20.00,12.96
20.20,12.95
20.40,12.94
20.61,12.94
20.81,12.93
21.02,12.92
21.23,12.92
21.44,12.92
21.66,12.91
21.87,12.91
22.09,12.91
22.31,12.91
22.54,12.91
22.76,12.90
22.99,12.90
23.22,12.89
23.45,12.88
23.69,12.87
23.92,12.87
24.16,12.86
24.40,12.86
24.65,12.85
24.89,12.85
25.14,12.84
25.39,12.84
25.65,12.83
25.91,12.82
26.16,12.81
26.43,12.80
26.69,12.79
26.96,12.78
27.23,12.77
27.50,12.76
27.77,12.75
28.05,12.74
28.33,12.73
28.62,12.72
28.90,12.71
29.19,12.70
29.48,12.69
29.78,12.67
30.08,12.66
30.38,12.64
30.68,12.63
30.99,12.61
31.30,12.60
31.61,12.59
31.93,12.57
32.24,12.56
32.57,12.54
32.89,12.53
33.22,12.51
33.55,12.50
33.89,12.48
34.23,12.46
34.57,12.44
34.92,12.43
35.27,12.41
35.62,12.40
35.97,12.38
36.33,12.36
36.70,12.34
37.06,12.32
37.43,12.30
37.81,12.29
38.19,12.27
38.57,12.25
38.95,12.23
39.34,12.20
39.74,12.17
40.14,12.15
40.54,12.12
40.94,12.10
41.35,12.08
41.76,12.06
42.18,12.03
42.60,12.01
43.03,11.98
43.46,11.95
43.90,11.93
44.33,11.90
44.78,11.87
45.23,11.84
45.68,11.82
46.13,11.79
46.60,11.76
47.06,11.73
47.53,11.70
48.01,11.67
48.49,11.64
48.97,11.61
49.46,11.58
49.96,11.55
50.46,11.51
50.96,11.48
51.47,11.45
51.99,11.41
52.51,11.38
53.03,11.35
53.56,11.32
54.10,11.29
54.64,11.25
55.18,11.21
55.74,11.17
56.29,11.13
56.86,11.09
57.42,11.05
58.00,11.02
58.58,10.98
59.16,10.94
59.76,10.90
60.35,10.86
60.96,10.83
61.57,10.78
62.18,10.74
62.80,10.69
63.43,10.65
64.07,10.61
64.71,10.56
65.35,10.51
66.01,10.47
66.67,10.42
67.33,10.38
68.01,10.33
68.69,10.29
69.37,10.24
70.07,10.20
70.77,10.15
71.48,10.10
72.19,10.05
72.91,9.99
73.64,9.94
74.38,9.89
75.12,9.84
75.87,9.79
76.63,9.74
77.40,9.69
