frequency,raw
20.00,9.27
20.20,9.29
20.40,9.31
20.61,9.32
20.81,9.33
21.02,9.34
21.23,9.35
21.44,9.36
21.66,9.37
21.87,9.38
22.09,9.39
22.31,9.40
22.54,9.41
22.76,9.43
22.99,9.44
23.22,9.45
23.45,9.46
23.69,9.47
23.92,9.49
24.16,9.50
24.40,9.51
24.65,9.52
24.89,9.52
25.14,9.52
25.39,9.52
25.65,9.53
25.91,9.54
26.16,9.55
26.43,9.56
26.69,9.57
26.96,9.58
27.23,9.58
27.50,9.58
27.77,9.57
28.05,9.56
28.33,9.56
28.62,9.55
28.90,9.55
29.19,9.56
29.48,9.56
29.78,9.57
30.08,9.57
30.38,9.57
30.68,9.56
30.99,9.55
31.30,9.54
31.61,9.54
31.93,9.53
32.24,9.53
32.57,9.53
32.89,9.53
33.22,9.52
33.55,9.52
33.89,9.51
34.23,9.50
34.57,9.48
34.92,9.47
35.27,9.47
35.62,9.46
35.97,9.46
36.33,9.46
36.70,9.45
37.06,9.44
37.43,9.42
37.81,9.40
38.19,9.39
38.57,9.38
38.95,9.37
39.34,9.36
39.74,9.35
40.14,9.33
40.54,9.31
40.94,9.29
41.35,9.28
41.76,9.26
42.18,9.25
42.60,9.23
43.03,9.21
43.46,9.19
43.90,9.17
44.33,9.15
44.78,9.13
45.23,9.11
45.68,9.08
46.13,9.06
46.60,9.04
47.06,9.01
47.53,8.99
48.01,8.96
48.49,8.94
48.97,8.92
49.46,8.90
49.96,8.88
50.46,8.86
50.96,8.83
51.47,8.80
51.99,8.78
52.51,8.75
53.03,8.72
53.56,8.69
54.10,8.66
54.64,8.63
55.18,8.60
55.74,8.56
56.29,8.53
56.86,8.50
57.42,8.47
58.00,8.43
58.58,8.40
59.16,8.37
59.76,8.33
60.35,8.29
60.96,8.26
61.57,8.23
62.18,8.20
62.80,8.16
63.43,8.12
64.07,8.09
64.71,8.06
65.35,8.02
66.01,7.97
66.67,7.93
67.33,7.88
68.01,7.84
68.69,7.79
69.37,7.75
70.07,7.71
70.77,7.66
71.48,7.62
72.19,7.57
72.91,7.53
73.64,7.48
74.38,7.43
75.12,7.39
75.87,7.34
76.63,7.29
77.40,7.24
78.17,7.19
78.95,7.15
79.74,7.09
80.54,7.04
81.35,6.99
82.16,6.94
82.98,6.89
83.81,6.83
84.65,6.78
85.50,6.73
86.35,6.67
87.22,6.61
88.09,6.56
88.97,6.51
89.86,6.45
90.76,6.39
91.66,6.33
92.58,6.28
93.51,6.22
94.44,6.16
95.39,6.10
96.34,6.04
97.30,5.99
98.28,5.92
99.26,5.86
100.25,5.80
101.25,5.74
102.27,5.68
103.29,5.62
104.32,5.56
105.37,5.49
106.42,5.43
107.48,5.37
108.56,5.30
109.64,5.24
110.74,5.18
111.85,5.11
112.97,5.05
114.10,4.99
115.24,4.92
116.39,4.85
117.55,4.79
118.73,4.72
119.92,4.64
121.12,4.58
122.33,4.53
123.55,4.46
124.79,4.39
126.03,4.33
127.29,4.26
128.57,4.20
129.85,4.13
131.15,4.06
132.46,4.00
133.79,3.93
135.12,3.87
136.48,3.80
137.84,3.73
139.22,3.67
140.61,3.60
142.02,3.54
143.44,3.47
144.87,3.41
146.32,3.34
147.78,3.28
149.26,3.21
150.75,3.15
152.26,3.09
153.78,3.03
155.32,2.97
156.88,2.91
158.44,2.84
160.03,2.78
161.63,2.72
163.24,2.66
164.88,2.60
166.53,2.54
168.19,2.49
169.87,2.43
171.57,2.37
173.29,2.32
175.02,2.27
176.77,2.21
178.54,2.15
180.32,2.10
182.13,2.05
183.95,2.00
185.79,1.95
187.65,1.90
189.52,1.86
191.42,1.81
193.33,1.76
195.27,1.72
197.22,1.67
199.19,1.63
201.18,1.59
203.19,1.55
205.23,1.51
207.28,1.48
209.35,1.44
211.44,1.40
213.56,1.37
215.69,1.34
217.85,1.30
220.03,1.27
222.23,1.23
224.45,1.20
226.70,1.16
228.96,1.13
231.25,1.10
233.57,1.06
235.90,1.04
238.26,1.01
