frequency,raw
20.00,5.80
20.20,5.83
20.40,5.86
20.61,5.89
20.81,5.91
21.02,5.93
21.23,5.95
21.44,5.97
21.66,5.98
21.87,6.00
22.09,6.03
22.31,6.05
22.54,6.08
22.76,6.11
22.99,6.15
23.22,6.18
23.45,6.22
23.69,6.26
23.92,6.29
24.16,6.32
24.40,6.34
24.65,6.36
24.89,6.37
25.14,6.38
25.39,6.38
25.65,6.39
25.91,6.41
26.16,6.42
26.43,6.43
26.69,6.45
26.96,6.47
27.23,6.49
27.50,6.52
27.77,6.54
28.05,6.57
28.33,6.59
28.62,6.61
28.90,6.63
29.19,6.64
29.48,6.66
29.78,6.67
30.08,6.68
30.38,6.70
30.68,6.71
30.99,6.72
31.30,6.73
31.61,6.74
31.93,6.74
32.24,6.75
32.57,6.77
32.89,6.78
33.22,6.79
33.55,6.80
33.89,6.81
34.23,6.82
34.57,6.82
34.92,6.83
35.27,6.84
35.62,6.85
35.97,6.88
36.33,6.90
36.70,6.91
37.06,6.92
37.43,6.92
37.81,6.91
38.19,6.90
38.57,6.91
38.95,6.91
39.34,6.92
39.74,6.93
40.14,6.93
40.54,6.93
40.94,6.94
41.35,6.94
41.76,6.95
42.18,6.95
42.60,6.96
43.03,6.96
43.46,6.96
43.90,6.96
44.33,6.97
44.78,6.96
45.23,6.97
45.68,6.97
46.13,6.97
46.60,6.97
47.06,6.97
47.53,6.97
48.01,6.97
48.49,6.96
48.97,6.96
49.46,6.95
49.96,6.95
50.46,6.95
50.96,6.95
51.47,6.95
51.99,6.94
52.51,6.93
53.03,6.93
53.56,6.93
54.10,6.93
54.64,6.92
55.18,6.91
55.74,6.91
56.29,6.91
56.86,6.90
57.42,6.89
58.00,6.88
58.58,6.87
59.16,6.86
59.76,6.86
60.35,6.85
60.96,6.85
61.57,6.84
62.18,6.82
62.80,6.82
63.43,6.81
64.07,6.80
64.71,6.78
65.35,6.77
66.01,6.76
66.67,6.75
67.33,6.74
68.01,6.72
68.69,6.71
69.37,6.70
70.07,6.69
70.77,6.67
71.48,6.66
72.19,6.64
72.91,6.63
73.64,6.61
74.38,6.60
75.12,6.59
75.87,6.57
76.63,6.55
77.40,6.54
78.17,6.52
78.95,6.50
79.74,6.48
80.54,6.46
81.35,6.44
82.16,6.42
82.98,6.40
83.81,6.38
84.65,6.36
85.50,6.34
86.35,6.32
87.22,6.30
88.09,6.28
88.97,6.26
89.86,6.24
90.76,6.21
91.66,6.19
92.58,6.16
93.51,6.14
94.44,6.12
95.39,6.09
96.34,6.07
97.30,6.04
98.28,6.02
99.26,5.99
100.25,5.97
101.25,5.94
102.27,5.92
103.29,5.89
104.32,5.86
105.37,5.84
106.42,5.81
107.48,5.78
108.56,5.75
109.64,5.73
110.74,5.70
111.85,5.67
112.97,5.64
114.10,5.61
115.24,5.58
116.39,5.54
117.55,5.51
118.73,5.48
119.92,5.44
121.12,5.41
122.33,5.39
123.55,5.35
124.79,5.32
126.03,5.28
127.29,5.25
128.57,5.22
129.85,5.18
131.15,5.14
132.46,5.11
133.79,5.08
135.12,5.05
136.48,5.02
137.84,4.98
139.22,4.95
140.61,4.91
142.02,4.88
143.44,4.85
144.87,4.81
146.32,4.77
147.78,4.73
149.26,4.69
150.75,4.66
152.26,4.62
153.78,4.58
155.32,4.54
156.88,4.51
158.44,4.48
160.03,4.45
161.63,4.41
163.24,4.38
164.88,4.35
166.53,4.31
168.19,4.27
169.87,4.23
171.57,4.19
173.29,4.16
175.02,4.13
176.77,4.08
178.54,4.05
180.32,4.01
182.13,3.97
183.95,3.93
185.79,3.89
187.65,3.86
189.52,3.81
191.42,3.77
193.33,3.73
195.27,3.69
197.22,3.64
199.19,3.60
201.18,3.56
203.19,3.51
205.23,3.46
207.28,3.42
209.35,3.38
211.44,3.33
213.56,3.29
215.69,3.24
217.85,3.19
220.03,3.15
222.23,3.11
224.45,3.06
226.70,3.02
228.96,2.98
231.25,2.93
233.57,2.88
235.90,2.83
238.26,2.79
240.64,2.74
243.05,2.70
245.48,2.65
247.93,2.61
250.41,2.56
252.92,2.52
255.45,2.47
258.00,2.42
260.58,2.38
263.19,2.34
265.82,2.29
268.48,2.25
271.16,2.20
273.87,2.15
276.61,2.11
279.38,2.06
282.17,2.02
284.99,1.97
287.84,1.92
290.72,1.88
293.63,1.84
296.57,1.79
299.53,1.75
302.53,1.70
305.55,1.66
308.61,1.61
311.69,1.57
314.81,1.52
317.96,1.48
321.14,1.44
324.35,1.39
327.59,1.35
330.87,1.30
334.18,1.26
337.52,1.22
340.90,1.17
344.30,1.13
347.75,1.09
351.23,1.04
354.74,1.00
358.28,0.95
361.87,0.91
365.49,0.87
369.14,0.82
372.83,0.78
376.56,0.74
380.33,0.69
384.13,0.65
387.97,0.61
391.85,0.56
395.77,0.52
399.73,0.47
403.72,0.43
407.76,0.39
411.84,0.35
415.96,0.30
420.12,0.26
424.32,0.22
428.56,0.18
432.85,0.14
437.18,0.09
441.55,0.05
445.96,0.01
450.42,-0.03
454.93,-0.07
459.48,-0.12
464.07,-0.16
468.71,-0.20
473.40,-0.24
478.13,-0.28
482.91,-0.32
487.74,-0.36
492.62,-0.40
497.55,-0.44
502.52,-0.48
507.55,-0.52
512.62,-0.56
517.75,-0.60
522.93,-0.64
528.16,-0.68
533.44,-0.72
538.77,-0.76
544.16,-0.79
549.60,-0.83
555.10,-0.86
560.65,-0.90
566.25,-0.93
571.92,-0.97
577.64,-1.00
583.41,-1.03
589.25,-1.06
595.14,-1.09
601.09,-1.12
607.10,-1.14
613.17,-1.17
619.30,-1.19
625.50,-1.21
631.75,-1.22
638.07,-1.24
644.45,-1.24
650.89,-1.24
657.40,-1.23
663.98,-1.22
670.62,-1.21
677.32,-1.19
684.10,-1.16
690.94,-1.12
697.85,-1.07
704.83,-1.03
711.87,-0.98
718.99,-0.92
726.18,-0.86
733.44,-0.81
740.78,-0.76
748.19,-0.70
755.67,-0.64
763.23,-0.58
770.86,-0.52
778.57,-0.47
786.35,-0.42
794.22,-0.37
802.16,-0.33
810.18,-0.29
818.28,-0.27
826.46,-0.24
834.73,-0.23
843.08,-0.21
851.51,-0.20
860.02,-0.20
868.62,-0.20
877.31,-0.20
886.08,-0.19
894.94,-0.19
903.89,-0.18
912.93,-0.18
922.06,-0.17
931.28,-0.16
940.59,-0.15
950.00,-0.13
959.50,-0.11
969.09,-0.09
978.78,-0.07
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.06
1028.71,0.10
1039.00,0.15
1049.39,0.19
1059.88,0.24
1070.48,0.30
1081.19,0.35
1092.00,0.41
1102.92,0.47
1113.95,0.53
1125.09,0.59
1136.34,0.65
1147.70,0.72
1159.18,0.79
1170.77,0.85
1182.48,0.92
1194.30,0.99
1206.25,1.06
1218.31,1.13
1230.49,1.20
1242.80,1.26
1255.22,1.33
1267.78,1.40
1280.45,1.47
1293.26,1.54
1306.19,1.61
1319.25,1.68
1332.45,1.75
1345.77,1.82
1359.23,1.89
1372.82,1.95
1386.55,2.02
1400.41,2.09
1414.42,2.16
1428.56,2.23
1442.85,2.30
1457.28,2.38
1471.85,2.45
1486.57,2.53
1501.43,2.61
1516.45,2.69
1531.61,2.78
1546.93,2.87
1562.40,2.97
1578.02,3.08
1593.80,3.18
1609.74,3.29
1625.84,3.40
1642.10,3.52
1658.52,3.63
1675.10,3.75
1691.85,3.86
1708.77,3.97
1725.86,4.09
1743.12,4.19
1760.55,4.30
1778.15,4.41
1795.94,4.52
1813.90,4.62
1832.03,4.73
1850.36,4.83
1868.86,4.93
1887.55,5.03
1906.42,5.13
1925.49,5.22
1944.74,5.31
1964.19,5.40
1983.83,5.48
2003.67,5.56
2023.71,5.63
2043.94,5.71
2064.38,5.77
2085.03,5.83
2105.88,5.89
2126.94,5.94
2148.20,5.98
2169.69,6.02
2191.38,6.06
2213.30,6.08
2235.43,6.09
2257.78,6.09
2280.36,6.07
2303.17,6.05
2326.20,6.02
2349.46,5.98
2372.95,5.93
2396.68,5.89
2420.65,5.84
2444.86,5.79
2469.31,5.75
2494.00,5.73
2518.94,5.71
2544.13,5.69
2569.57,5.67
2595.27,5.65
2621.22,5.63
2647.43,5.60
2673.90,5.56
2700.64,5.52
2727.65,5.48
2754.93,5.44
2782.48,5.41
2810.30,5.38
2838.40,5.35
2866.79,5.33
2895.46,5.32
2924.41,5.31
2953.65,5.31
2983.19,5.32
3013.02,5.33
3043.15,5.35
3073.58,5.38
3104.32,5.41
3135.36,5.45
3166.72,5.50
3198.38,5.55
3230.37,5.61
3262.67,5.67
3295.30,5.75
3328.25,5.83
3361.53,5.92
3395.15,6.03
3429.10,6.14
3463.39,6.26
3498.03,6.39
3533.01,6.53
3568.34,6.66
3604.02,6.81
3640.06,6.95
3676.46,7.10
3713.22,7.24
3750.36,7.38
3787.86,7.50
3825.74,7.62
3864.00,7.72
3902.64,7.79
3941.66,7.85
3981.08,7.87
4020.89,7.87
4061.10,7.87
4101.71,7.81
4142.73,7.73
4184.15,7.63
4226.00,7.50
4268.26,7.36
4310.94,7.21
4354.05,7.02
4397.59,6.82
4441.56,6.60
4485.98,6.34
4530.84,6.06
4576.15,5.76
4621.91,5.44
4668.13,5.11
4714.81,4.78
4761.96,4.45
4809.58,4.13
4857.67,3.82
4906.25,3.52
4955.31,3.23
5004.87,2.96
5054.91,2.72
5105.46,2.49
5156.52,2.29
5208.08,2.11
5260.16,1.96
5312.77,1.82
5365.89,1.72
5419.55,1.65
5473.75,1.61
5528.49,1.60
5583.77,1.62
5639.61,1.69
5696.00,1.78
5752.96,1.93
5810.49,2.10
5868.60,2.34
5927.28,2.60
5986.56,2.89
6046.42,3.28
6106.89,3.72
6167.96,4.20
6229.64,4.74
6291.93,5.33
6354.85,5.97
6418.40,6.64
6482.58,7.32
6547.41,7.95
6612.88,8.53
6679.01,8.96
6745.80,9.19
6813.26,9.27
6881.39,9.11
6950.21,8.82
7019.71,8.47
7089.91,8.08
7160.81,7.73
7232.41,7.42
7304.74,7.18
7377.79,7.04
7451.56,6.99
7526.08,7.04
7601.34,7.18
7677.35,7.46
7754.13,7.78
7831.67,8.16
7909.98,8.49
7989.08,8.73
8068.98,8.67
8149.67,8.39
8231.16,7.80
8313.47,6.96
8396.61,6.02
8480.57,5.02
8565.38,4.05
8651.03,3.12
8737.54,2.24
8824.92,1.45
8913.17,0.78
9002.30,0.16
9092.32,-0.33
9183.25,-0.72
9275.08,-1.03
9367.83,-1.25
9461.51,-1.38
9556.12,-1.48
9651.68,-1.59
9748.20,-1.76
9845.68,-2.24
9944.14,-3.06
10043.58,-4.23
10144.02,-5.64
10245.46,-7.04
10347.91,-8.24
10451.39,-9.12
10555.91,-9.35
10661.46,-9.30
10768.08,-9.03
10875.76,-8.71
10984.52,-8.42
11094.36,-8.15
11205.31,-7.89
11317.36,-7.56
11430.53,-7.20
11544.84,-6.75
11660.29,-6.26
11776.89,-5.75
11894.66,-5.26
12013.60,-4.79
