frequency,raw
20.00,8.54
20.20,8.57
20.40,8.60
20.61,8.63
20.81,8.65
21.02,8.67
21.23,8.70
21.44,8.72
21.66,8.75
21.87,8.77
22.09,8.80
22.31,8.83
22.54,8.86
22.76,8.89
22.99,8.91
23.22,8.94
23.45,8.96
23.69,8.99
23.92,9.01
24.16,9.03
24.40,9.05
24.65,9.07
24.89,9.09
25.14,9.11
25.39,9.12
25.65,9.14
25.91,9.15
26.16,9.17
26.43,9.19
26.69,9.21
26.96,9.22
27.23,9.25
27.50,9.27
27.77,9.29
28.05,9.31
28.33,9.33
28.62,9.35
28.90,9.36
29.19,9.38
29.48,9.39
29.78,9.40
30.08,9.42
30.38,9.43
30.68,9.44
30.99,9.45
31.30,9.46
31.61,9.47
31.93,9.47
32.24,9.49
32.57,9.50
32.89,9.51
33.22,9.52
33.55,9.53
33.89,9.53
34.23,9.54
34.57,9.54
34.92,9.55
35.27,9.56
35.62,9.57
35.97,9.58
36.33,9.59
36.70,9.60
37.06,9.60
37.43,9.60
37.81,9.61
38.19,9.62
38.57,9.62
38.95,9.62
39.34,9.63
39.74,9.63
40.14,9.63
40.54,9.64
40.94,9.64
41.35,9.65
41.76,9.65
42.18,9.65
42.60,9.65
43.03,9.65
43.46,9.65
43.90,9.65
44.33,9.65
44.78,9.65
45.23,9.65
45.68,9.65
46.13,9.65
46.60,9.64
47.06,9.64
47.53,9.64
48.01,9.63
48.49,9.63
48.97,9.62
49.46,9.62
49.96,9.62
50.46,9.62
50.96,9.61
51.47,9.61
51.99,9.60
52.51,9.59
53.03,9.59
53.56,9.58
54.10,9.57
54.64,9.56
55.18,9.56
55.74,9.55
56.29,9.55
56.86,9.53
57.42,9.52
58.00,9.51
58.58,9.50
59.16,9.49
59.76,9.48
60.35,9.47
60.96,9.46
61.57,9.45
62.18,9.44
62.80,9.42
63.43,9.41
64.07,9.39
64.71,9.38
65.35,9.37
66.01,9.35
66.67,9.34
67.33,9.33
68.01,9.31
68.69,9.30
69.37,9.28
70.07,9.27
70.77,9.25
71.48,9.23
72.19,9.21
72.91,9.20
73.64,9.18
74.38,9.16
75.12,9.14
75.87,9.12
76.63,9.10
77.40,9.08
78.17,9.06
78.95,9.04
79.74,9.02
80.54,9.00
81.35,8.98
82.16,8.95
82.98,8.93
83.81,8.91
84.65,8.88
85.50,8.86
86.35,8.83
87.22,8.81
88.09,8.78
88.97,8.76
89.86,8.73
90.76,8.70
91.66,8.68
92.58,8.65
93.51,8.63
94.44,8.60
95.39,8.57
96.34,8.54
97.30,8.51
98.28,8.49
99.26,8.46
100.25,8.43
101.25,8.40
102.27,8.37
103.29,8.35
104.32,8.31
105.37,8.28
106.42,8.25
107.48,8.22
108.56,8.18
109.64,8.15
110.74,8.12
111.85,8.08
112.97,8.05
114.10,8.01
115.24,7.98
116.39,7.94
117.55,7.90
118.73,7.87
119.92,7.83
121.12,7.79
122.33,7.75
123.55,7.72
124.79,7.68
126.03,7.64
127.29,7.60
128.57,7.56
129.85,7.52
131.15,7.47
132.46,7.43
133.79,7.40
135.12,7.36
136.48,7.32
137.84,7.27
139.22,7.23
140.61,7.19
142.02,7.14
143.44,7.10
144.87,7.06
146.32,7.02
147.78,6.98
149.26,6.94
150.75,6.90
152.26,6.86
153.78,6.82
155.32,6.78
156.88,6.74
158.44,6.70
160.03,6.66
161.63,6.62
163.24,6.57
164.88,6.53
166.53,6.48
168.19,6.44
169.87,6.39
171.57,6.34
173.29,6.29
175.02,6.25
176.77,6.20
178.54,6.15
180.32,6.11
182.13,6.06
183.95,6.01
185.79,5.96
187.65,5.91
189.52,5.86
191.42,5.81
193.33,5.76
195.27,5.71
197.22,5.66
199.19,5.60
201.18,5.55
203.19,5.50
205.23,5.45
207.28,5.40
209.35,5.34
211.44,5.29
213.56,5.24
215.69,5.18
217.85,5.13
220.03,5.08
222.23,5.02
224.45,4.97
226.70,4.92
228.96,4.86
231.25,4.80
233.57,4.75
235.90,4.69
238.26,4.64
240.64,4.58
243.05,4.53
245.48,4.47
247.93,4.42
250.41,4.36
252.92,4.30
255.45,4.24
258.00,4.19
260.58,4.13
263.19,4.08
265.82,4.02
268.48,3.96
271.16,3.91
273.87,3.85
276.61,3.79
279.38,3.73
282.17,3.68
284.99,3.62
287.84,3.56
290.72,3.51
293.63,3.45
296.57,3.39
299.53,3.33
302.53,3.27
305.55,3.22
308.61,3.16
311.69,3.10
314.81,3.04
317.96,2.98
321.14,2.93
324.35,2.87
327.59,2.81
330.87,2.75
334.18,2.70
337.52,2.64
340.90,2.58
344.30,2.52
347.75,2.46
351.23,2.41
354.74,2.35
358.28,2.29
361.87,2.23
365.49,2.17
369.14,2.12
372.83,2.06
376.56,2.00
380.33,1.94
384.13,1.88
387.97,1.82
391.85,1.76
395.77,1.71
399.73,1.65
403.72,1.59
407.76,1.53
411.84,1.47
415.96,1.41
420.12,1.35
424.32,1.29
428.56,1.23
432.85,1.17
437.18,1.11
441.55,1.05
445.96,0.99
450.42,0.93
454.93,0.87
459.48,0.81
464.07,0.75
468.71,0.69
473.40,0.63
478.13,0.57
482.91,0.51
487.74,0.45
492.62,0.39
497.55,0.33
502.52,0.27
507.55,0.21
512.62,0.15
517.75,0.09
522.93,0.03
528.16,-0.03
533.44,-0.09
538.77,-0.15
544.16,-0.21
549.60,-0.27
555.10,-0.33
560.65,-0.39
566.25,-0.45
571.92,-0.50
577.64,-0.56
583.41,-0.62
589.25,-0.68
595.14,-0.73
601.09,-0.78
607.10,-0.83
613.17,-0.88
619.30,-0.93
625.50,-0.97
631.75,-1.01
638.07,-1.05
644.45,-1.07
650.89,-1.09
657.40,-1.10
663.98,-1.10
670.62,-1.11
677.32,-1.10
684.10,-1.08
690.94,-1.05
697.85,-1.00
704.83,-0.95
711.87,-0.90
718.99,-0.84
726.18,-0.77
733.44,-0.70
740.78,-0.64
748.19,-0.57
755.67,-0.49
763.23,-0.41
770.86,-0.34
778.57,-0.26
786.35,-0.20
794.22,-0.14
802.16,-0.08
810.18,-0.04
818.28,-0.00
826.46,0.02
834.73,0.04
843.08,0.05
851.51,0.06
860.02,0.06
868.62,0.06
877.31,0.05
886.08,0.04
894.94,0.03
903.89,0.02
912.93,0.01
922.06,0.00
931.28,-0.00
940.59,-0.01
950.00,-0.02
959.50,-0.02
969.09,-0.02
978.78,-0.02
988.57,-0.01
998.46,-0.00
1008.44,0.01
1018.53,0.02
1028.71,0.03
1039.00,0.05
1049.39,0.07
1059.88,0.09
1070.48,0.12
1081.19,0.14
1092.00,0.17
1102.92,0.20
1113.95,0.23
1125.09,0.26
1136.34,0.29
1147.70,0.33
1159.18,0.36
1170.77,0.39
1182.48,0.43
1194.30,0.46
1206.25,0.49
1218.31,0.52
1230.49,0.56
1242.80,0.59
1255.22,0.62
1267.78,0.65
1280.45,0.68
1293.26,0.71
1306.19,0.74
1319.25,0.77
1332.45,0.80
1345.77,0.83
1359.23,0.86
1372.82,0.89
1386.55,0.92
1400.41,0.95
1414.42,0.98
1428.56,1.02
1442.85,1.05
1457.28,1.09
1471.85,1.13
1486.57,1.17
1501.43,1.22
1516.45,1.27
1531.61,1.33
1546.93,1.39
1562.40,1.47
1578.02,1.55
1593.80,1.65
1609.74,1.76
1625.84,1.86
1642.10,1.97
1658.52,2.07
1675.10,2.17
1691.85,2.27
1708.77,2.37
1725.86,2.47
1743.12,2.56
1760.55,2.66
1778.15,2.76
1795.94,2.86
1813.90,2.96
1832.03,3.06
1850.36,3.16
1868.86,3.26
1887.55,3.36
1906.42,3.46
1925.49,3.55
1944.74,3.65
1964.19,3.74
1983.83,3.84
2003.67,3.93
2023.71,4.01
2043.94,4.10
2064.38,4.18
2085.03,4.25
2105.88,4.32
2126.94,4.37
2148.20,4.41
2169.69,4.44
2191.38,4.47
2213.30,4.48
2235.43,4.49
2257.78,4.48
2280.36,4.47
2303.17,4.45
2326.20,4.42
2349.46,4.39
2372.95,4.35
2396.68,4.31
2420.65,4.26
2444.86,4.22
2469.31,4.18
2494.00,4.15
2518.94,4.13
2544.13,4.12
2569.57,4.12
2595.27,4.11
2621.22,4.11
2647.43,4.10
2673.90,4.08
2700.64,4.06
2727.65,4.04
2754.93,4.01
2782.48,3.99
2810.30,3.97
2838.40,3.95
2866.79,3.94
2895.46,3.93
2924.41,3.93
2953.65,3.93
2983.19,3.95
3013.02,3.97
3043.15,3.99
3073.58,4.03
3104.32,4.07
3135.36,4.13
3166.72,4.18
3198.38,4.24
3230.37,4.31
3262.67,4.38
3295.30,4.46
3328.25,4.55
3361.53,4.64
3395.15,4.73
3429.10,4.83
3463.39,4.94
3498.03,5.04
3533.01,5.15
3568.34,5.27
3604.02,5.38
3640.06,5.49
3676.46,5.59
3713.22,5.69
3750.36,5.78
3787.86,5.86
3825.74,5.93
3864.00,5.98
3902.64,6.00
3941.66,6.03
3981.08,6.03
4020.89,6.00
4061.10,5.96
4101.71,5.89
4142.73,5.81
4184.15,5.71
4226.00,5.59
4268.26,5.46
4310.94,5.31
4354.05,5.14
4397.59,4.94
4441.56,4.72
4485.98,4.47
4530.84,4.20
4576.15,3.90
4621.91,3.59
4668.13,3.28
4714.81,2.97
4761.96,2.65
4809.58,2.35
4857.67,2.05
4906.25,1.77
4955.31,1.50
5004.87,1.26
5054.91,1.03
5105.46,0.81
5156.52,0.62
5208.08,0.45
5260.16,0.32
5312.77,0.20
5365.89,0.11
5419.55,0.05
5473.75,0.02
5528.49,0.02
5583.77,0.05
5639.61,0.13
5696.00,0.22
5752.96,0.38
5810.49,0.56
5868.60,0.80
5927.28,1.07
5986.56,1.39
6046.42,1.77
6106.89,2.21
6167.96,2.70
6229.64,3.24
6291.93,3.83
6354.85,4.48
6418.40,5.13
6482.58,5.79
6547.41,6.39
6612.88,6.93
6679.01,7.29
6745.80,7.45
6813.26,7.45
6881.39,7.22
6950.21,6.88
7019.71,6.48
7089.91,6.06
7160.81,5.68
7232.41,5.36
7304.74,5.10
7377.79,4.95
7451.56,4.89
7526.08,4.92
7601.34,5.05
7677.35,5.32
7754.13,5.62
7831.67,6.00
7909.98,6.33
7989.08,6.60
8068.98,6.57
8149.67,6.31
8231.16,5.76
8313.47,4.93
8396.61,4.01
8480.57,3.00
8565.38,2.01
8651.03,1.06
8737.54,0.17
8824.92,-0.63
8913.17,-1.31
9002.30,-1.95
9092.32,-2.42
9183.25,-2.81
9275.08,-3.12
9367.83,-3.33
9461.51,-3.45
9556.12,-3.52
9651.68,-3.61
9748.20,-3.75
9845.68,-4.18
9944.14,-4.90
10043.58,-5.92
10144.02,-7.13
10245.46,-8.28
10347.91,-9.23
10451.39,-9.88
10555.91,-9.99
10661.46,-9.92
10768.08,-9.70
10875.76,-9.45
10984.52,-9.23
11094.36,-9.02
11205.31,-8.79
11317.36,-8.48
11430.53,-8.12
11544.84,-7.69
11660.29,-7.21
11776.89,-6.70
11894.66,-6.28
12013.60,-5.88
12133.74,-5.69
12255.08,-5.81
12377.63,-6.14
12501.41,-6.65
12626.42,-7.32
12752.68,-7.98
12880.21,-8.52
13009.01,-8.98
13139.10,-9.45
13270.49,-9.63
13403.20,-9.71
13537.23,-9.55
13672.60,-9.28
13809.33,-8.91
13947.42,-8.51
14086.90,-8.33
14227.77,-8.29
14370.04,-8.54
14513.74,-9.10
14658.88,-9.83
14805.47,-10.44
14953.52,-10.88
15103.06,-11.02
15254.09,-11.02
15406.63,-10.60
15560.70,-10.17
15716.30,-9.71
15873.47,-9.80
16032.20,-10.22
16192.52,-11.39
16354.45,-12.97
16517.99,-14.86
16683.17,-17.31
16850.01,-20.14
17018.51,-23.32
17188.69,-27.24
17360.58,-31.69
17534.18,-36.12
17709.53,-39.19
17886.62,-39.64
18065.49,-39.48
18246.14,-39.63
18428.60,-40.60
18612.89,-41.12
18799.02,-41.16
18987.01,-40.72
19176.88,-39.42
19368.65,-37.89
19562.33,-36.67
19757.96,-36.35
19955.54,-36.03
