frequency,raw
20.00,8.53
20.20,8.56
20.40,8.59
20.61,8.62
20.81,8.64
21.02,8.67
21.23,8.69
21.44,8.72
21.66,8.74
21.87,8.77
22.09,8.80
22.31,8.82
22.54,8.85
22.76,8.88
22.99,8.90
23.22,8.93
23.45,8.95
23.69,8.98
23.92,9.00
24.16,9.02
24.40,9.04
24.65,9.06
24.89,9.09
25.14,9.11
25.39,9.13
25.65,9.14
25.91,9.16
26.16,9.18
26.43,9.19
26.69,9.21
26.96,9.22
27.23,9.24
27.50,9.26
27.77,9.28
28.05,9.30
28.33,9.31
28.62,9.32
28.90,9.33
29.19,9.34
29.48,9.34
29.78,9.36
30.08,9.37
30.38,9.39
30.68,9.41
30.99,9.43
31.30,9.45
31.61,9.47
31.93,9.48
32.24,9.49
32.57,9.49
32.89,9.50
33.22,9.50
33.55,9.51
33.89,9.52
34.23,9.53
34.57,9.54
34.92,9.55
35.27,9.56
35.62,9.56
35.97,9.57
36.33,9.58
36.70,9.59
37.06,9.59
37.43,9.60
37.81,9.61
38.19,9.61
38.57,9.62
38.95,9.62
39.34,9.62
39.74,9.63
40.14,9.63
40.54,9.63
40.94,9.63
41.35,9.64
41.76,9.64
42.18,9.64
42.60,9.64
43.03,9.64
43.46,9.64
43.90,9.64
44.33,9.64
44.78,9.64
45.23,9.64
45.68,9.64
46.13,9.64
46.60,9.64
47.06,9.63
47.53,9.63
48.01,9.63
48.49,9.62
48.97,9.62
49.46,9.61
49.96,9.61
50.46,9.61
50.96,9.61
51.47,9.60
51.99,9.59
52.51,9.58
53.03,9.58
53.56,9.57
54.10,9.56
54.64,9.55
55.18,9.55
55.74,9.54
56.29,9.53
56.86,9.52
57.42,9.51
58.00,9.50
58.58,9.50
59.16,9.49
59.76,9.48
60.35,9.47
60.96,9.45
61.57,9.44
62.18,9.43
62.80,9.42
63.43,9.41
64.07,9.39
64.71,9.38
65.35,9.37
66.01,9.35
66.67,9.34
67.33,9.32
68.01,9.31
68.69,9.29
69.37,9.28
70.07,9.26
70.77,9.24
71.48,9.23
72.19,9.21
72.91,9.19
73.64,9.17
74.38,9.16
75.12,9.14
75.87,9.12
76.63,9.10
77.40,9.08
78.17,9.06
78.95,9.04
79.74,9.01
80.54,8.99
81.35,8.97
82.16,8.95
82.98,8.93
83.81,8.90
84.65,8.88
85.50,8.85
86.35,8.83
87.22,8.80
88.09,8.78
88.97,8.75
89.86,8.73
90.76,8.70
91.66,8.68
92.58,8.65
93.51,8.62
94.44,8.60
95.39,8.57
96.34,8.55
97.30,8.52
98.28,8.49
99.26,8.46
100.25,8.43
101.25,8.40
102.27,8.37
103.29,8.35
104.32,8.32
105.37,8.29
106.42,8.25
107.48,8.22
108.56,8.19
109.64,8.15
110.74,8.12
111.85,8.08
112.97,8.05
114.10,8.02
115.24,7.98
116.39,7.94
117.55,7.91
118.73,7.87
119.92,7.83
121.12,7.80
122.33,7.76
123.55,7.72
124.79,7.68
126.03,7.64
127.29,7.60
128.57,7.56
129.85,7.52
131.15,7.48
132.46,7.44
133.79,7.40
135.12,7.36
136.48,7.32
137.84,7.27
