frequency,raw
20.00,9.16
20.20,9.15
20.40,9.14
20.61,9.13
20.81,9.11
21.02,9.09
21.23,9.08
21.44,9.06
21.66,9.04
21.87,9.02
22.09,9.01
22.31,8.99
22.54,8.98
22.76,8.97
22.99,8.95
23.22,8.94
23.45,8.92
23.69,8.90
23.92,8.88
24.16,8.85
24.40,8.82
24.65,8.79
24.89,8.77
25.14,8.74
25.39,8.72
25.65,8.70
25.91,8.69
26.16,8.67
26.43,8.65
26.69,8.63
26.96,8.61
27.23,8.58
27.50,8.55
27.77,8.52
28.05,8.49
28.33,8.47
28.62,8.44
28.90,8.42
29.19,8.39
29.48,8.37
29.78,8.34
30.08,8.31
30.38,8.29
30.68,8.26
30.99,8.23
31.30,8.20
31.61,8.18
31.93,8.14
32.24,8.11
32.57,8.08
32.89,8.05
33.22,8.02
33.55,7.99
33.89,7.96
34.23,7.93
34.57,7.90
34.92,7.86
35.27,7.83
35.62,7.80
35.97,7.76
36.33,7.73
36.70,7.69
37.06,7.66
37.43,7.63
37.81,7.59
38.19,7.56
38.57,7.52
38.95,7.49
39.34,7.45
39.74,7.41
40.14,7.37
40.54,7.34
40.94,7.30
41.35,7.27
41.76,7.23
42.18,7.19
42.60,7.15
43.03,7.10
43.46,7.06
43.90,7.02
44.33,6.99
44.78,6.95
45.23,6.92
45.68,6.87
46.13,6.83
46.60,6.79
47.06,6.74
47.53,6.70
48.01,6.66
48.49,6.62
48.97,6.59
49.46,6.55
49.96,6.51
50.46,6.46
50.96,6.42
51.47,6.37
51.99,6.33
52.51,6.28
53.03,6.24
53.56,6.19
54.10,6.15
54.64,6.10
55.18,6.05
55.74,6.01
56.29,5.96
56.86,5.92
57.42,5.87
58.00,5.82
58.58,5.77
59.16,5.72
59.76,5.67
60.35,5.62
60.96,5.58
61.57,5.53
62.18,5.49
62.80,5.44
63.43,5.40
64.07,5.36
64.71,5.31
65.35,5.26
66.01,5.20
66.67,5.16
67.33,5.11
68.01,5.06
68.69,5.01
69.37,4.97
70.07,4.92
70.77,4.87
71.48,4.82
72.19,4.77
72.91,4.72
73.64,4.66
74.38,4.61
75.12,4.57
75.87,4.52
76.63,4.47
77.40,4.42
78.17,4.36
78.95,4.31
79.74,4.26
80.54,4.21
81.35,4.16
82.16,4.11
82.98,4.06
83.81,4.01
84.65,3.96
85.50,3.91
86.35,3.86
87.22,3.81
88.09,3.76
88.97,3.70
89.86,3.65
90.76,3.60
91.66,3.55
92.58,3.50
93.51,3.45
94.44,3.40
95.39,3.35
96.34,3.30
97.30,3.24
98.28,3.19
99.26,3.14
100.25,3.09
101.25,3.04
102.27,2.99
103.29,2.94
104.32,2.89
105.37,2.84
106.42,2.79
107.48,2.74
108.56,2.69
109.64,2.64
110.74,2.59
111.85,2.54
112.97,2.49
114.10,2.44
115.24,2.39
116.39,2.34
117.55,2.29
118.73,2.25
119.92,2.20
121.12,2.15
122.33,2.10
123.55,2.05
124.79,2.00
126.03,1.95
127.29,1.91
128.57,1.86
129.85,1.81
131.15,1.77
132.46,1.72
133.79,1.67
135.12,1.62
136.48,1.58
137.84,1.53
139.22,1.49
140.61,1.44
142.02,1.40
143.44,1.35
144.87,1.31
146.32,1.26
147.78,1.22
149.26,1.17
150.75,1.13
152.26,1.08
153.78,1.04
155.32,1.00
156.88,0.95
158.44,0.91
160.03,0.86
161.63,0.82
163.24,0.78
164.88,0.73
166.53,0.69
168.19,0.64
169.87,0.60
171.57,0.56
173.29,0.51
175.02,0.46
176.77,0.41
178.54,0.38
180.32,0.35
182.13,0.30
183.95,0.26
185.79,0.24
187.65,0.22
189.52,0.21
191.42,0.19
193.33,0.18
195.27,0.16
197.22,0.13
199.19,0.11
201.18,0.08
203.19,0.05
205.23,0.02
207.28,-0.01
209.35,-0.05
211.44,-0.08
213.56,-0.11
215.69,-0.14
217.85,-0.17
220.03,-0.21
222.23,-0.24
224.45,-0.27
226.70,-0.29
228.96,-0.33
231.25,-0.35
233.57,-0.38
235.90,-0.41
238.26,-0.43
240.64,-0.45
243.05,-0.49
245.48,-0.52
247.93,-0.54
250.41,-0.57
252.92,-0.59
255.45,-0.62
258.00,-0.64
260.58,-0.66
263.19,-0.68
265.82,-0.71
268.48,-0.73
271.16,-0.75
273.87,-0.77
276.61,-0.79
279.38,-0.81
282.17,-0.83
284.99,-0.85
287.84,-0.87
290.72,-0.89
293.63,-0.91
296.57,-0.93
299.53,-0.95
302.53,-0.96
305.55,-0.98
308.61,-1.00
311.69,-1.01
314.81,-1.03
317.96,-1.05
321.14,-1.06
324.35,-1.07
327.59,-1.09
330.87,-1.10
334.18,-1.11
337.52,-1.12
340.90,-1.14
344.30,-1.15
347.75,-1.16
351.23,-1.18
354.74,-1.19
358.28,-1.21
361.87,-1.23
365.49,-1.24
369.14,-1.25
372.83,-1.26
376.56,-1.27
380.33,-1.28
384.13,-1.28
387.97,-1.29
391.85,-1.30
395.77,-1.30
399.73,-1.31
403.72,-1.32
407.76,-1.33
411.84,-1.34
415.96,-1.35
420.12,-1.36
424.32,-1.37
428.56,-1.38
432.85,-1.39
437.18,-1.40
441.55,-1.41
445.96,-1.42
450.42,-1.43
454.93,-1.43
459.48,-1.45
464.07,-1.45
468.71,-1.46
473.40,-1.47
478.13,-1.48
482.91,-1.49
487.74,-1.49
492.62,-1.50
497.55,-1.51
502.52,-1.52
507.55,-1.52
512.62,-1.53
517.75,-1.54
522.93,-1.54
528.16,-1.55
533.44,-1.55
538.77,-1.56
544.16,-1.56
549.60,-1.56
555.10,-1.57
560.65,-1.57
566.25,-1.58
571.92,-1.58
577.64,-1.58
583.41,-1.59
589.25,-1.59
595.14,-1.60
601.09,-1.60
607.10,-1.60
613.17,-1.60
619.30,-1.61
625.50,-1.61
631.75,-1.61
638.07,-1.60
644.45,-1.60
650.89,-1.60
657.40,-1.60
663.98,-1.59
670.62,-1.57
677.32,-1.56
684.10,-1.55
690.94,-1.53
697.85,-1.51
704.83,-1.49
711.87,-1.47
718.99,-1.44
726.18,-1.40
733.44,-1.37
740.78,-1.33
748.19,-1.29
755.67,-1.24
763.23,-1.20
770.86,-1.15
778.57,-1.11
786.35,-1.06
794.22,-1.01
802.16,-0.96
810.18,-0.92
818.28,-0.88
826.46,-0.83
834.73,-0.80
843.08,-0.76
851.51,-0.72
860.02,-0.68
868.62,-0.64
877.31,-0.61
