frequency,raw
20.00,7.55
20.20,7.58
20.40,7.62
20.61,7.65
20.81,7.68
21.02,7.71
21.23,7.73
21.44,7.76
21.66,7.78
21.87,7.81
22.09,7.83
22.31,7.85
22.54,7.88
22.76,7.90
22.99,7.93
23.22,7.96
23.45,7.98
23.69,8.01
23.92,8.03
24.16,8.05
24.40,8.07
24.65,8.09
24.89,8.11
25.14,8.12
25.39,8.14
25.65,8.17
25.91,8.19
26.16,8.21
26.43,8.23
26.69,8.25
26.96,8.26
27.23,8.28
27.50,8.29
27.77,8.31
28.05,8.32
28.33,8.34
28.62,8.35
28.90,8.37
29.19,8.38
29.48,8.40
29.78,8.41
30.08,8.42
30.38,8.43
30.68,8.45
30.99,8.46
31.30,8.47
31.61,8.49
31.93,8.50
32.24,8.51
32.57,8.52
32.89,8.53
33.22,8.54
33.55,8.55
33.89,8.56
34.23,8.57
34.57,8.58
34.92,8.58
35.27,8.59
35.62,8.60
35.97,8.61
36.33,8.62
36.70,8.62
37.06,8.63
37.43,8.63
37.81,8.64
38.19,8.65
38.57,8.65
38.95,8.66
39.34,8.66
39.74,8.67
40.14,8.67
40.54,8.67
40.94,8.68
41.35,8.68
41.76,8.68
42.18,8.68
42.60,8.68
43.03,8.69
43.46,8.69
43.90,8.69
44.33,8.69
44.78,8.69
45.23,8.69
45.68,8.69
46.13,8.69
46.60,8.69
47.06,8.69
47.53,8.69
48.01,8.69
48.49,8.69
48.97,8.69
49.46,8.68
49.96,8.68
50.46,8.68
50.96,8.68
51.47,8.67
51.99,8.67
52.51,8.66
53.03,8.66
53.56,8.66
54.10,8.65
54.64,8.65
55.18,8.64
55.74,8.63
56.29,8.63
56.86,8.62
57.42,8.62
58.00,8.61
58.58,8.60
59.16,8.59
59.76,8.58
60.35,8.57
60.96,8.57
61.57,8.56
62.18,8.55
62.80,8.54
63.43,8.53
64.07,8.52
64.71,8.51
65.35,8.50
66.01,8.49
66.67,8.48
67.33,8.47
68.01,8.46
68.69,8.45
69.37,8.43
70.07,8.42
70.77,8.41
71.48,8.40
72.19,8.38
72.91,8.37
73.64,8.35
74.38,8.34
75.12,8.33
75.87,8.31
76.63,8.29
77.40,8.28
78.17,8.26
78.95,8.24
79.74,8.23
80.54,8.21
81.35,8.20
82.16,8.18
82.98,8.16
83.81,8.14
84.65,8.12
85.50,8.10
86.35,8.08
87.22,8.06
88.09,8.04
88.97,8.02
89.86,8.00
90.76,7.98
91.66,7.96
92.58,7.94
93.51,7.92
94.44,7.89
95.39,7.87
96.34,7.85
97.30,7.83
98.28,7.80
99.26,7.78
100.25,7.75
101.25,7.73
102.27,7.70
103.29,7.68
104.32,7.65
105.37,7.62
106.42,7.60
107.48,7.57
108.56,7.55
109.64,7.52
110.74,7.49
111.85,7.46
112.97,7.43
114.10,7.40
115.24,7.37
116.39,7.34
117.55,7.32
118.73,7.28
119.92,7.25
121.12,7.22
122.33,7.19
123.55,7.16
124.79,7.13
126.03,7.09
127.29,7.06
128.57,7.03
129.85,7.00
131.15,6.96
132.46,6.93
133.79,6.89
135.12,6.86
136.48,6.83
137.84,6.79
139.22,6.75
140.61,6.72
142.02,6.68
143.44,6.65
144.87,6.61
146.32,6.58
147.78,6.54
149.26,6.50
150.75,6.46
152.26,6.42
153.78,6.38
155.32,6.34
156.88,6.30
158.44,6.25
160.03,6.20
161.63,6.17
163.24,6.14
164.88,6.10
166.53,6.05
168.19,6.01
169.87,5.97
171.57,5.93
173.29,5.88
175.02,5.84
176.77,5.79
178.54,5.75
180.32,5.70
182.13,5.66
183.95,5.62
185.79,5.57
187.65,5.53
189.52,5.48
191.42,5.44
193.33,5.40
195.27,5.36
197.22,5.32
199.19,5.28
201.18,5.24
203.19,5.21
205.23,5.17
207.28,5.14
209.35,5.10
211.44,5.06
213.56,5.02
215.69,4.98
217.85,4.94
220.03,4.89
222.23,4.85
224.45,4.80
226.70,4.75
228.96,4.70
231.25,4.65
233.57,4.60
235.90,4.55
238.26,4.50
240.64,4.44
243.05,4.39
245.48,4.34
247.93,4.29
250.41,4.24
252.92,4.19
255.45,4.13
258.00,4.08
260.58,4.03
263.19,3.98
265.82,3.93
268.48,3.89
271.16,3.84
273.87,3.79
276.61,3.74
279.38,3.69
282.17,3.64
284.99,3.59
287.84,3.54
290.72,3.49
293.63,3.45
296.57,3.40
299.53,3.34
302.53,3.29
305.55,3.24
308.61,3.19
311.69,3.14
314.81,3.09
317.96,3.04
321.14,2.98
324.35,2.93
327.59,2.88
330.87,2.83
334.18,2.77
337.52,2.72
340.90,2.67
344.30,2.62
347.75,2.56
351.23,2.51
354.74,2.46
358.28,2.40
361.87,2.35
365.49,2.29
369.14,2.24
372.83,2.18
376.56,2.12
380.33,2.06
384.13,2.01
387.97,1.95
391.85,1.90
395.77,1.85
399.73,1.80
403.72,1.75
407.76,1.70
411.84,1.65
415.96,1.61
420.12,1.56
424.32,1.51
428.56,1.47
432.85,1.43
437.18,1.38
441.55,1.34
445.96,1.30
450.42,1.26
454.93,1.22
459.48,1.18
464.07,1.14
468.71,1.10
473.40,1.06
478.13,1.02
482.91,0.99
487.74,0.95
492.62,0.91
497.55,0.87
502.52,0.83
507.55,0.80
512.62,0.76
517.75,0.73
522.93,0.70
528.16,0.67
533.44,0.64
538.77,0.61
544.16,0.58
549.60,0.55
555.10,0.53
560.65,0.51
566.25,0.49
571.92,0.47
577.64,0.45
583.41,0.43
589.25,0.42
595.14,0.41
601.09,0.40
607.10,0.40
613.17,0.39
619.30,0.40
625.50,0.40
631.75,0.41
638.07,0.43
644.45,0.43
650.89,0.44
657.40,0.44
663.98,0.43
670.62,0.43
677.32,0.41
684.10,0.40
690.94,0.38
697.85,0.37
704.83,0.35
711.87,0.34
718.99,0.32
726.18,0.31
733.44,0.29
740.78,0.28
748.19,0.28
755.67,0.28
763.23,0.29
770.86,0.31
778.57,0.34
786.35,0.37
794.22,0.41
802.16,0.44
810.18,0.44
818.28,0.42
826.46,0.37
834.73,0.30
843.08,0.21
851.51,0.13
860.02,0.05
868.62,-0.01
877.31,-0.07
886.08,-0.11
894.94,-0.13
903.89,-0.16
912.93,-0.17
922.06,-0.17
931.28,-0.17
940.59,-0.16
950.00,-0.15
959.50,-0.13
969.09,-0.10
978.78,-0.07
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.08
1028.71,0.12
1039.00,0.17
1049.39,0.22
1059.88,0.28
1070.48,0.33
1081.19,0.39
1092.00,0.45
1102.92,0.51
1113.95,0.58
1125.09,0.65
1136.34,0.72
1147.70,0.80
1159.18,0.86
1170.77,0.92
1182.48,0.98
1194.30,1.04
1206.25,1.10
1218.31,1.17
1230.49,1.23
1242.80,1.29
1255.22,1.34
1267.78,1.40
1280.45,1.46
1293.26,1.51
1306.19,1.56
1319.25,1.61
1332.45,1.66
1345.77,1.71
1359.23,1.76
1372.82,1.80
1386.55,1.85
1400.41,1.89
1414.42,1.93
1428.56,1.98
1442.85,2.02
1457.28,2.06
1471.85,2.10
1486.57,2.15
1501.43,2.19
1516.45,2.24
1531.61,2.28
1546.93,2.33
1562.40,2.38
1578.02,2.43
1593.80,2.48
1609.74,2.53
1625.84,2.58
1642.10,2.64
1658.52,2.70
1675.10,2.76
1691.85,2.82
1708.77,2.89
1725.86,2.96
1743.12,3.03
1760.55,3.10
1778.15,3.17
1795.94,3.25
1813.90,3.33
1832.03,3.41
1850.36,3.49
1868.86,3.58
1887.55,3.67
1906.42,3.76
1925.49,3.85
1944.74,3.95
1964.19,4.04
1983.83,4.14
2003.67,4.24
2023.71,4.33
2043.94,4.43
2064.38,4.53
2085.03,4.63
2105.88,4.73
2126.94,4.82
2148.20,4.92
2169.69,5.01
2191.38,5.10
2213.30,5.19
2235.43,5.28
2257.78,5.36
2280.36,5.45
2303.17,5.52
2326.20,5.60
2349.46,5.67
2372.95,5.74
2396.68,5.81
2420.65,5.88
2444.86,5.94
2469.31,6.00
2494.00,6.05
2518.94,6.09
2544.13,6.13
2569.57,6.14
2595.27,6.13
2621.22,6.10
2647.43,6.04
2673.90,5.93
2700.64,5.81
2727.65,5.67
2754.93,5.50
2782.48,5.33
2810.30,5.15
2838.40,4.97
2866.79,4.80
2895.46,4.63
2924.41,4.48
2953.65,4.34
2983.19,4.20
3013.02,4.07
3043.15,3.95
3073.58,3.83
3104.32,3.72
3135.36,3.60
3166.72,3.48
3198.38,3.36
3230.37,3.21
3262.67,3.05
3295.30,2.88
3328.25,2.68
3361.53,2.46
3395.15,2.23
3429.10,2.00
3463.39,1.78
3498.03,1.58
3533.01,1.44
3568.34,1.35
3604.02,1.30
3640.06,1.34
3676.46,1.43
3713.22,1.57
3750.36,1.75
3787.86,1.97
3825.74,2.20
3864.00,2.46
3902.64,2.72
3941.66,2.97
3981.08,3.22
4020.89,3.45
4061.10,3.67
4101.71,3.89
4142.73,4.15
4184.15,4.44
4226.00,4.79
4268.26,5.15
4310.94,5.53
4354.05,5.89
4397.59,6.21
4441.56,6.52
4485.98,6.74
4530.84,6.88
4576.15,6.92
4621.91,6.89
4668.13,6.74
4714.81,6.54
4761.96,6.33
4809.58,6.12
4857.67,5.94
4906.25,5.77
4955.31,5.60
5004.87,5.38
5054.91,5.09
5105.46,4.77
5156.52,4.41
5208.08,4.03
5260.16,3.65
5312.77,3.27
5365.89,2.92
5419.55,2.59
5473.75,2.30
5528.49,2.04
5583.77,1.83
5639.61,1.68
5696.00,1.55
5752.96,1.50
5810.49,1.48
5868.60,1.52
5927.28,1.61
5986.56,1.73
6046.42,1.90
6106.89,2.12
6167.96,2.37
6229.64,2.65
6291.93,2.97
6354.85,3.33
6418.40,3.71
6482.58,4.09
6547.41,4.47
6612.88,4.85
6679.01,5.21
6745.80,5.53
6813.26,5.84
6881.39,6.12
6950.21,6.37
7019.71,6.61
7089.91,6.83
7160.81,7.03
7232.41,7.22
7304.74,7.40
7377.79,7.58
7451.56,7.77
7526.08,7.95
7601.34,8.12
7677.35,8.29
7754.13,8.45
7831.67,8.57
7909.98,8.65
7989.08,8.69
8068.98,8.62
8149.67,8.50
8231.16,8.29
8313.47,8.00
8396.61,7.67
8480.57,7.27
8565.38,6.84
8651.03,6.38
8737.54,5.91
8824.92,5.44
8913.17,5.00
9002.30,4.56
9092.32,4.18
9183.25,3.85
9275.08,3.56
9367.83,3.31
9461.51,3.12
9556.12,2.95
9651.68,2.80
9748.20,2.67
9845.68,2.56
9944.14,2.46
10043.58,2.40
10144.02,2.37
10245.46,2.45
10347.91,2.57
10451.39,2.70
10555.91,2.70
10661.46,2.53
10768.08,2.19
10875.76,1.68
10984.52,1.19
11094.36,0.76
11205.31,0.44
11317.36,0.34
11430.53,0.33
11544.84,0.51
11660.29,0.81
11776.89,1.17
11894.66,1.64
12013.60,2.10
12133.74,2.47
12255.08,2.68
12377.63,2.77
12501.41,2.86
12626.42,3.10
12752.68,3.50
12880.21,3.69
13009.01,3.74
13139.10,3.80
13270.49,3.27
13403.20,2.63
13537.23,2.03
13672.60,1.54
13809.33,1.18
13947.42,1.09
14086.90,1.23
14227.77,1.53
14370.04,1.99
14513.74,2.62
14658.88,3.21
14805.47,3.50
14953.52,3.28
15103.06,2.47
15254.09,1.40
15406.63,0.25
15560.70,-0.81
15716.30,-1.74
15873.47,-1.95
16032.20,-1.97
16192.52,-1.95
16354.45,-1.80
16517.99,-1.71
16683.17,-2.53
16850.01,-5.41
17018.51,-9.92
17188.69,-16.42
17360.58,-21.39
17534.18,-24.26
17709.53,-21.95
17886.62,-19.00
18065.49,-16.24
18246.14,-14.11
18428.60,-13.14
18612.89,-13.48
18799.02,-14.97
18987.01,-17.38
19176.88,-20.13
19368.65,-22.78
19562.33,-25.16
19757.96,-27.14
19955.54,-29.13
