frequency,raw
20.00,7.84
20.20,7.87
20.40,7.90
20.61,7.93
20.81,7.96
21.02,7.99
21.23,8.02
21.44,8.04
21.66,8.07
21.87,8.10
22.09,8.12
22.31,8.14
22.54,8.16
22.76,8.19
22.99,8.21
23.22,8.23
23.45,8.25
23.69,8.27
23.92,8.29
24.16,8.31
24.40,8.33
24.65,8.35
24.89,8.37
25.14,8.40
25.39,8.42
25.65,8.44
25.91,8.46
26.16,8.49
26.43,8.51
26.69,8.53
26.96,8.54
27.23,8.56
27.50,8.57
27.77,8.58
28.05,8.59
28.33,8.60
28.62,8.61
28.90,8.63
29.19,8.64
29.48,8.66
29.78,8.67
30.08,8.69
30.38,8.70
30.68,8.71
30.99,8.72
31.30,8.73
31.61,8.74
31.93,8.75
32.24,8.76
32.57,8.77
32.89,8.78
33.22,8.79
33.55,8.80
33.89,8.81
34.23,8.82
34.57,8.83
34.92,8.84
35.27,8.84
35.62,8.85
35.97,8.86
36.33,8.87
36.70,8.87
37.06,8.88
37.43,8.88
37.81,8.89
38.19,8.89
38.57,8.90
38.95,8.90
39.34,8.90
39.74,8.91
40.14,8.91
40.54,8.91
40.94,8.92
41.35,8.92
41.76,8.92
42.18,8.92
42.60,8.92
43.03,8.93
43.46,8.93
43.90,8.93
44.33,8.93
44.78,8.93
45.23,8.93
45.68,8.93
46.13,8.93
46.60,8.92
47.06,8.92
47.53,8.92
48.01,8.92
48.49,8.91
48.97,8.91
49.46,8.91
49.96,8.90
50.46,8.90
50.96,8.90
51.47,8.90
51.99,8.89
52.51,8.88
53.03,8.88
53.56,8.87
54.10,8.87
54.64,8.86
55.18,8.85
55.74,8.85
56.29,8.84
56.86,8.83
57.42,8.83
58.00,8.82
58.58,8.81
59.16,8.81
59.76,8.80
60.35,8.78
60.96,8.77
61.57,8.77
62.18,8.76
62.80,8.75
63.43,8.74
64.07,8.73
64.71,8.71
65.35,8.70
66.01,8.69
66.67,8.68
67.33,8.67
68.01,8.65
68.69,8.64
69.37,8.63
70.07,8.61
70.77,8.60
71.48,8.59
72.19,8.57
72.91,8.56
73.64,8.54
74.38,8.53
75.12,8.51
75.87,8.49
76.63,8.47
77.40,8.46
78.17,8.44
78.95,8.42
79.74,8.41
80.54,8.39
81.35,8.37
82.16,8.35
82.98,8.33
83.81,8.31
84.65,8.29
85.50,8.27
86.35,8.25
87.22,8.23
88.09,8.21
88.97,8.19
89.86,8.16
90.76,8.14
91.66,8.12
92.58,8.09
93.51,8.07
94.44,8.04
95.39,8.02
96.34,8.00
97.30,7.97
98.28,7.94
99.26,7.92
100.25,7.89
101.25,7.86
102.27,7.84
103.29,7.81
104.32,7.78
105.37,7.75
106.42,7.72
107.48,7.69
108.56,7.66
109.64,7.64
110.74,7.61
111.85,7.57
112.97,7.54
114.10,7.51
115.24,7.48
116.39,7.44
117.55,7.41
118.73,7.37
119.92,7.34
121.12,7.31
122.33,7.28
123.55,7.24
124.79,7.20
126.03,7.17
127.29,7.14
128.57,7.10
129.85,7.07
131.15,7.04
132.46,7.01
133.79,6.98
135.12,6.94
136.48,6.91
137.84,6.88
139.22,6.84
140.61,6.81
142.02,6.77
143.44,6.74
144.87,6.70
146.32,6.66
147.78,6.62
149.26,6.58
150.75,6.54
152.26,6.49
153.78,6.45
155.32,6.41
156.88,6.37
158.44,6.32
160.03,6.25
161.63,6.23
163.24,6.19
164.88,6.14
166.53,6.10
168.19,6.06
169.87,6.02
171.57,5.98
173.29,5.95
175.02,5.92
176.77,5.89
178.54,5.86
180.32,5.83
182.13,5.80
183.95,5.77
185.79,5.74
187.65,5.71
189.52,5.67
191.42,5.63
193.33,5.59
195.27,5.54
197.22,5.50
199.19,5.45
201.18,5.40
203.19,5.35
205.23,5.30
207.28,5.25
209.35,5.20
211.44,5.15
213.56,5.10
215.69,5.05
217.85,5.00
220.03,4.95
222.23,4.90
224.45,4.85
226.70,4.80
228.96,4.75
231.25,4.70
233.57,4.65
235.90,4.61
238.26,4.56
240.64,4.51
243.05,4.45
245.48,4.40
247.93,4.35
250.41,4.30
252.92,4.25
255.45,4.20
258.00,4.15
260.58,4.10
263.19,4.05
265.82,4.00
268.48,3.94
271.16,3.89
273.87,3.84
276.61,3.79
279.38,3.74
282.17,3.69
284.99,3.64
287.84,3.58
290.72,3.53
293.63,3.48
296.57,3.43
299.53,3.37
302.53,3.32
305.55,3.27
308.61,3.22
311.69,3.16
314.81,3.11
317.96,3.05
321.14,3.00
324.35,2.94
327.59,2.89
330.87,2.84
334.18,2.78
337.52,2.73
340.90,2.67
344.30,2.62
347.75,2.57
351.23,2.52
354.74,2.46
358.28,2.41
361.87,2.35
365.49,2.30
369.14,2.25
372.83,2.19
376.56,2.14
380.33,2.09
384.13,2.04
387.97,1.99
391.85,1.95
395.77,1.90
399.73,1.86
403.72,1.81
407.76,1.77
411.84,1.72
415.96,1.68
420.12,1.63
424.32,1.59
428.56,1.54
432.85,1.50
437.18,1.46
441.55,1.41
445.96,1.37
450.42,1.33
454.93,1.29
459.48,1.25
464.07,1.21
468.71,1.16
473.40,1.12
478.13,1.09
482.91,1.05
487.74,1.01
492.62,0.98
497.55,0.94
502.52,0.91
507.55,0.88
512.62,0.85
517.75,0.82
522.93,0.79
528.16,0.76
533.44,0.73
538.77,0.71
544.16,0.68
549.60,0.65
555.10,0.62
560.65,0.60
566.25,0.57
571.92,0.55
577.64,0.52
583.41,0.50
589.25,0.48
595.14,0.46
