frequency,raw
20.00,4.70
20.20,4.71
20.40,4.73
20.61,4.74
20.81,4.76
21.02,4.78
21.23,4.79
21.44,4.82
21.66,4.84
21.87,4.86
22.09,4.88
22.31,4.90
22.54,4.91
22.76,4.92
22.99,4.93
23.22,4.94
23.45,4.95
23.69,4.96
23.92,4.97
24.16,4.98
24.40,5.00
24.65,5.01
24.89,5.02
25.14,5.03
25.39,5.04
25.65,5.05
25.91,5.06
26.16,5.06
26.43,5.06
26.69,5.06
26.96,5.06
27.23,5.05
27.50,5.05
27.77,5.05
28.05,5.06
28.33,5.07
28.62,5.08
28.90,5.10
29.19,5.11
29.48,5.11
29.78,5.11
30.08,5.11
30.38,5.10
30.68,5.09
30.99,5.09
31.30,5.09
31.61,5.09
31.93,5.10
32.24,5.10
32.57,5.09
32.89,5.08
33.22,5.07
33.55,5.06
33.89,5.06
34.23,5.06
34.57,5.06
34.92,5.05
35.27,5.05
35.62,5.05
35.97,5.04
36.33,5.03
36.70,5.03
37.06,5.02
37.43,5.01
37.81,5.00
38.19,4.99
38.57,4.99
38.95,4.98
39.34,4.97
39.74,4.96
40.14,4.95
40.54,4.94
40.94,4.94
41.35,4.93
41.76,4.92
42.18,4.91
42.60,4.90
43.03,4.88
43.46,4.87
43.90,4.86
44.33,4.85
44.78,4.84
45.23,4.82
45.68,4.81
46.13,4.80
46.60,4.79
47.06,4.77
47.53,4.76
48.01,4.74
48.49,4.72
48.97,4.71
49.46,4.70
49.96,4.68
50.46,4.67
50.96,4.65
51.47,4.63
51.99,4.61
52.51,4.59
53.03,4.58
53.56,4.56
54.10,4.54
54.64,4.53
55.18,4.51
55.74,4.50
56.29,4.48
56.86,4.46
57.42,4.44
58.00,4.42
58.58,4.43
59.16,4.44
59.76,4.43
60.35,4.39
60.96,4.33
61.57,4.30
62.18,4.28
62.80,4.25
63.43,4.23
64.07,4.21
64.71,4.20
65.35,4.18
66.01,4.15
66.67,4.12
67.33,4.10
68.01,4.08
68.69,4.07
69.37,4.04
70.07,4.02
