frequency,raw
20.00,4.39
20.20,4.41
20.40,4.42
20.61,4.44
20.81,4.46
21.02,4.47
21.23,4.49
21.44,4.52
21.66,4.54
21.87,4.57
22.09,4.59
22.31,4.62
22.54,4.63
22.76,4.65
22.99,4.65
23.22,4.66
23.45,4.66
23.69,4.67
23.92,4.67
24.16,4.68
24.40,4.69
24.65,4.71
24.89,4.72
25.14,4.73
25.39,4.74
25.65,4.75
25.91,4.76
26.16,4.76
26.43,4.77
26.69,4.77
26.96,4.78
27.23,4.78
27.50,4.79
27.77,4.79
28.05,4.79
28.33,4.79
28.62,4.79
28.90,4.80
29.19,4.80
29.48,4.81
29.78,4.82
30.08,4.82
30.38,4.82
30.68,4.82
30.99,4.81
31.30,4.81
31.61,4.80
31.93,4.80
32.24,4.81
32.57,4.81
32.89,4.81
33.22,4.81
33.55,4.81
33.89,4.81
34.23,4.80
34.57,4.79
34.92,4.79
35.27,4.78
35.62,4.78
35.97,4.78
36.33,4.78
36.70,4.78
37.06,4.77
37.43,4.77
37.81,4.75
38.19,4.74
38.57,4.73
38.95,4.72
39.34,4.71
39.74,4.71
40.14,4.70
40.54,4.70
40.94,4.69
41.35,4.68
41.76,4.67
42.18,4.66
42.60,4.65
43.03,4.64
43.46,4.63
43.90,4.62
44.33,4.61
44.78,4.60
45.23,4.58
45.68,4.57
46.13,4.56
46.60,4.55
47.06,4.54
47.53,4.52
48.01,4.50
48.49,4.48
48.97,4.47
49.46,4.46
49.96,4.45
50.46,4.43
50.96,4.42
51.47,4.40
51.99,4.38
52.51,4.37
53.03,4.36
53.56,4.34
54.10,4.32
54.64,4.29
55.18,4.27
55.74,4.26
56.29,4.25
56.86,4.23
57.42,4.22
58.00,4.20
58.58,4.16
59.16,4.11
59.76,4.07
60.35,4.07
60.96,4.08
61.57,4.09
62.18,4.07
62.80,4.06
63.43,4.03
64.07,4.01
64.71,3.99
65.35,3.97
66.01,3.95
66.67,3.93
67.33,3.91
68.01,3.89
68.69,3.86
69.37,3.84
70.07,3.82
