frequency,raw
20.00,5.15
20.20,5.17
20.40,5.18
20.61,5.20
20.81,5.21
21.02,5.22
21.23,5.23
21.44,5.24
21.66,5.25
21.87,5.26
22.09,5.28
22.31,5.30
22.54,5.33
22.76,5.35
22.99,5.38
23.22,5.40
23.45,5.41
23.69,5.42
23.92,5.43
24.16,5.43
24.40,5.44
24.65,5.44
24.89,5.44
25.14,5.45
25.39,5.46
25.65,5.47
25.91,5.48
26.16,5.49
26.43,5.50
26.69,5.51
26.96,5.51
27.23,5.51
27.50,5.51
27.77,5.51
28.05,5.51
28.33,5.51
28.62,5.51
28.90,5.51
29.19,5.51
29.48,5.51
29.78,5.52
30.08,5.52
30.38,5.52
30.68,5.52
30.99,5.51
31.30,5.51
31.61,5.50
31.93,5.49
32.24,5.49
32.57,5.49
32.89,5.48
33.22,5.48
33.55,5.48
33.89,5.47
34.23,5.47
34.57,5.47
34.92,5.46
35.27,5.46
35.62,5.46
35.97,5.46
36.33,5.46
36.70,5.45
37.06,5.45
37.43,5.44
37.81,5.43
38.19,5.43
38.57,5.42
38.95,5.41
39.34,5.40
39.74,5.39
40.14,5.39
40.54,5.38
40.94,5.36
41.35,5.35
41.76,5.33
42.18,5.32
42.60,5.31
43.03,5.31
43.46,5.30
43.90,5.29
44.33,5.28
44.78,5.27
45.23,5.26
45.68,5.25
46.13,5.23
46.60,5.22
47.06,5.20
47.53,5.19
48.01,5.18
48.49,5.16
48.97,5.14
49.46,5.12
49.96,5.10
50.46,5.09
50.96,5.08
51.47,5.07
51.99,5.07
52.51,5.06
53.03,5.05
53.56,5.02
54.10,5.00
54.64,4.97
55.18,4.95
55.74,4.94
56.29,4.92
56.86,4.90
57.42,4.89
58.00,4.87
58.58,4.85
59.16,4.83
59.76,4.80
60.35,4.77
60.96,4.76
61.57,4.75
62.18,4.73
62.80,4.71
63.43,4.70
64.07,4.68
64.71,4.65
65.35,4.62
66.01,4.60
66.67,4.58
67.33,4.56
68.01,4.55
68.69,4.52
69.37,4.50
70.07,4.48
70.77,4.46
71.48,4.43
72.19,4.41
72.91,4.39
73.64,4.37
74.38,4.34
75.12,4.32
75.87,4.29
76.63,4.27
77.40,4.25
78.17,4.22
78.95,4.20
79.74,4.17
80.54,4.15
81.35,4.12
82.16,4.10
82.98,4.08
83.81,4.05
84.65,4.02
85.50,4.00
86.35,3.98
87.22,3.95
88.09,3.92
88.97,3.90
89.86,3.87
90.76,3.84
91.66,3.82
92.58,3.79
93.51,3.76
94.44,3.74
95.39,3.71
96.34,3.68
97.30,3.65
98.28,3.63
99.26,3.60
100.25,3.57
101.25,3.54
102.27,3.51
103.29,3.49
104.32,3.46
105.37,3.43
106.42,3.40
107.48,3.37
108.56,3.34
109.64,3.31
110.74,3.28
111.85,3.25
112.97,3.22
114.10,3.19
115.24,3.16
116.39,3.12
117.55,3.09
118.73,3.05
119.92,3.02
121.12,2.99
122.33,2.98
123.55,2.95
124.79,2.91
126.03,2.88
127.29,2.85
128.57,2.81
129.85,2.78
131.15,2.75
132.46,2.72
133.79,2.69
135.12,2.65
136.48,2.62
137.84,2.60
139.22,2.57
140.61,2.54
142.02,2.52
143.44,2.50
