frequency,raw
20.00,11.41
20.20,11.40
20.40,11.39
20.61,11.39
20.81,11.37
21.02,11.36
21.23,11.34
21.44,11.33
21.66,11.32
21.87,11.30
22.09,11.29
22.31,11.28
22.54,11.27
22.76,11.26
22.99,11.25
23.22,11.23
23.45,11.22
23.69,11.20
23.92,11.19
24.16,11.17
24.40,11.15
24.65,11.13
24.89,11.12
25.14,11.10
25.39,11.09
25.65,11.08
25.91,11.06
26.16,11.04
26.43,11.02
26.69,11.00
26.96,10.97
27.23,10.94
27.50,10.92
27.77,10.91
28.05,10.89
28.33,10.88
28.62,10.87
28.90,10.86
29.19,10.84
29.48,10.81
29.78,10.79
30.08,10.77
30.38,10.76
30.68,10.75
30.99,10.72
31.30,10.69
31.61,10.65
31.93,10.59
32.24,10.54
32.57,10.51
32.89,10.50
33.22,10.50
33.55,10.51
33.89,10.50
34.23,10.48
34.57,10.45
34.92,10.40
35.27,10.36
35.62,10.33
35.97,10.30
36.33,10.28
36.70,10.26
37.06,10.23
37.43,10.20
37.81,10.17
38.19,10.14
38.57,10.11
38.95,10.08
39.34,10.05
39.74,10.01
40.14,9.98
40.54,9.95
40.94,9.91
41.35,9.88
41.76,9.85
42.18,9.81
42.60,9.78
43.03,9.75
43.46,9.71
43.90,9.67
44.33,9.63
44.78,9.60
45.23,9.56
45.68,9.52
46.13,9.48
46.60,9.44
47.06,9.40
47.53,9.37
48.01,9.33
48.49,9.30
48.97,9.27
49.46,9.25
49.96,9.21
50.46,9.17
50.96,9.13
51.47,9.09
51.99,9.06
52.51,9.01
53.03,8.96
53.56,8.92
54.10,8.89
54.64,8.88
55.18,8.85
55.74,8.81
56.29,8.78
56.86,8.75
57.42,8.72
58.00,8.69
58.58,8.65
59.16,8.61
59.76,8.56
60.35,8.52
60.96,8.48
61.57,8.44
62.18,8.39
62.80,8.34
63.43,8.29
64.07,8.25
64.71,8.21
65.35,8.16
66.01,8.12
66.67,8.07
67.33,8.02
68.01,7.98
68.69,7.93
69.37,7.89
70.07,7.84
70.77,7.80
71.48,7.76
72.19,7.71
72.91,7.67
73.64,7.62
74.38,7.57
75.12,7.53
75.87,7.48
76.63,7.44
77.40,7.39
78.17,7.34
78.95,7.29
79.74,7.25
80.54,7.20
81.35,7.15
82.16,7.11
82.98,7.06
83.81,7.01
84.65,6.96
85.50,6.91
86.35,6.86
87.22,6.81
88.09,6.76
88.97,6.71
89.86,6.66
90.76,6.62
91.66,6.57
92.58,6.52
93.51,6.47
94.44,6.42
95.39,6.37
96.34,6.32
97.30,6.27
98.28,6.22
99.26,6.17
100.25,6.12
101.25,6.07
102.27,6.02
103.29,5.97
104.32,5.92
105.37,5.88
106.42,5.83
107.48,5.78
108.56,5.73
109.64,5.68
110.74,5.62
111.85,5.57
112.97,5.52
114.10,5.47
115.24,5.42
116.39,5.37
117.55,5.32
118.73,5.27
119.92,5.21
121.12,5.17
