frequency,raw
20.00,9.75
20.20,9.74
20.40,9.72
20.61,9.71
20.81,9.70
21.02,9.68
21.23,9.66
21.44,9.65
21.66,9.63
21.87,9.62
22.09,9.60
22.31,9.58
22.54,9.57
22.76,9.55
22.99,9.53
23.22,9.52
23.45,9.50
23.69,9.50
23.92,9.49
24.16,9.49
24.40,9.48
24.65,9.48
24.89,9.46
25.14,9.45
25.39,9.43
25.65,9.40
25.91,9.38
26.16,9.36
26.43,9.33
26.69,9.31
26.96,9.29
27.23,9.26
27.50,9.24
27.77,9.21
28.05,9.19
28.33,9.16
28.62,9.14
28.90,9.12
29.19,9.10
29.48,9.08
29.78,9.06
30.08,9.04
30.38,9.01
30.68,8.99
30.99,8.97
31.30,8.94
31.61,8.92
31.93,8.90
32.24,8.87
32.57,8.84
32.89,8.82
33.22,8.79
33.55,8.76
33.89,8.74
34.23,8.71
34.57,8.68
34.92,8.65
35.27,8.62
35.62,8.59
35.97,8.56
36.33,8.53
36.70,8.50
37.06,8.47
37.43,8.45
37.81,8.41
38.19,8.38
38.57,8.35
38.95,8.32
39.34,8.28
39.74,8.25
40.14,8.22
40.54,8.19
40.94,8.16
41.35,8.12
41.76,8.09
42.18,8.05
42.60,8.01
43.03,7.98
43.46,7.94
43.90,7.90
44.33,7.87
44.78,7.83
45.23,7.79
45.68,7.75
46.13,7.72
46.60,7.68
47.06,7.65
47.53,7.61
48.01,7.57
48.49,7.53
48.97,7.49
49.46,7.45
49.96,7.42
50.46,7.38
50.96,7.34
51.47,7.29
51.99,7.25
52.51,7.21
53.03,7.18
53.56,7.13
54.10,7.08
54.64,7.04
55.18,6.99
55.74,6.94
56.29,6.89
56.86,6.85
57.42,6.81
58.00,6.78
58.58,6.75
59.16,6.70
59.76,6.65
60.35,6.60
60.96,6.55
61.57,6.51
62.18,6.46
62.80,6.41
63.43,6.37
64.07,6.32
64.71,6.27
65.35,6.22
66.01,6.17
66.67,6.13
67.33,6.08
68.01,6.03
68.69,5.98
69.37,5.93
70.07,5.89
70.77,5.84
71.48,5.79
72.19,5.74
72.91,5.69
73.64,5.64
74.38,5.59
75.12,5.54
75.87,5.48
76.63,5.43
77.40,5.38
78.17,5.33
78.95,5.28
79.74,5.23
80.54,5.17
81.35,5.12
82.16,5.07
82.98,5.02
83.81,4.96
84.65,4.91
85.50,4.86
86.35,4.80
87.22,4.75
88.09,4.70
88.97,4.64
89.86,4.59
90.76,4.53
91.66,4.48
92.58,4.43
93.51,4.37
94.44,4.32
95.39,4.27
96.34,4.21
97.30,4.16
98.28,4.10
99.26,4.05
100.25,4.00
101.25,3.94
102.27,3.88
103.29,3.83
104.32,3.77
105.37,3.72
106.42,3.66
107.48,3.61
108.56,3.55
109.64,3.50
110.74,3.44
111.85,3.39
112.97,3.33
114.10,3.28
115.24,3.22
116.39,3.17
117.55,3.11
118.73,3.06
119.92,3.02
121.12,2.96
122.33,2.89
123.55,2.84
124.79,2.79
126.03,2.73
127.29,2.67
128.57,2.62
129.85,2.57
131.15,2.51
132.46,2.46
133.79,2.40
135.12,2.35
136.48,2.29
137.84,2.24
139.22,2.19
140.61,2.13
142.02,2.08
143.44,2.02
144.87,1.97
146.32,1.91
147.78,1.86
149.26,1.80
150.75,1.75
152.26,1.69
153.78,1.64
155.32,1.58
156.88,1.53
158.44,1.47
160.03,1.42
161.63,1.36
163.24,1.30
164.88,1.25
166.53,1.20
